Reaction	EC-Number	In-Pathway	Common-Name	Names	Enzymes of a reaction
THYKI-RXN	EC-2.7.1.145 // EC-2.7.1.21	PWY-7199		Chemical Reactions	CPLX0-8261 // CPLX-8627 // AT3G07800-MONOMER // AT5G23070-MONOMER // CPLX66-354 // HS09420-MONOMER // MONOMER-17889
RXN-11310	EC-2.3.2.16	PWY-6462		Chemical Reactions	EF_RS12605-MONOMER
RXN-19583	EC-4.4.1.13			Small-Molecule Reactions	CPLX-1345
RXN-12814	EC-2.5.1.153			Chemical Reactions	CPLX185E-109
RXN-8660			[histone-H3]-lysine-36 demethylase	Chemical Reactions	
RXN-13184	EC-1.4.1.23			Chemical Reactions	CPLX-8557
RXN-25564	EC-2.5.1			Chemical Reactions	
RXN-25327		RXN-25326		Chemical Reactions	MONOMER-125012
RXN-17435	EC-4.2.1.169	PWY-7760 // PWY-7758 // PWY-7759		Chemical Reactions	MONOMER-19709 // MONOMER-19706 // MONOMER-19716
RXN2DNV-20	EC-2.4.1	PWY2DNV-5		Chemical Reactions	HP_RS00785-MONOMER
RXN-21496	EC-1.1.1	PWY-8155		Chemical Reactions	
RXN-23837	EC-3.2.1.220			Chemical Reactions	
6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN	EC-1.14.20.13	PWY-5317 // PWY-7341		Chemical Reactions	MONOMER-16825 // MONOMER-13616
RXN-25274		PWY-8580		Chemical Reactions	MONOMER-124989
RXN-13726	EC-2.1.1.9			Chemical Reactions	MONOMER-17693
RXN-18481	EC-3.5.1.127	PWY-7859		Chemical Reactions	MONOMER-20145 // AT1G44350-MONOMER // MONOMER-4141
RXN2DNV-2	EC-2.4.1.182	PWYI-14		Chemical Reactions	HP_RS04230-MONOMER
ISOVALERYLCOA-DHLIPOAMIDE-RXN	EC-2.3.1.168	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN	dihydrolipoyllysine-residue (3-methylbutanoyl)transferase	Chemical Reactions	CPLXQT-2 // CPLX-7050 // CPLX8J2-279
ORNITHINE-RACEMASE-RXN	EC-5.1.1.10 // EC-5.1.1.12	PWY-6344 // PWY-7990		Chemical Reactions	MONOMER-20490 // CPLX-7173 // FY484_RS06640-MONOMER
RXN-7674	EC-2.5.1.62	PWY-5068		Chemical Reactions	AT3G51820-MONOMER
RXN-18346	EC-1.14.99.57	PWY-7848		Chemical Reactions	CPLX-9169
RXN-13162	EC-2.5.1.21			Small-Molecule Reactions	MONOMER-20363 // HS01329-MONOMER // MONOMER-13442 // YHR190W-MONOMER // AT4G34650-MONOMER // AT4G34640-MONOMER
RXN-21516	EC-1.14.19	PWY-8158		Chemical Reactions	MONOMER-21259
RXN-13858	EC-1.14.19.12	PWY-7152		Chemical Reactions	MONOMER-17794
RXN-23232		PWY-8379		Chemical Reactions	MONOMER-22177
RXN-20968	EC-2.4.1.M56	PWY-6036		Chemical Reactions	MONOMER-20988
RXN-19126	EC-3.1.3			Chemical Reactions	MONOMER-124874
RXN-20230	EC-2.3.1.26			Chemical Reactions	
RXN-19464	EC-6.2.1.69	PWY-8358 // PWY-8343		Chemical Reactions	MONOMER-21984 // MONOMER-20471 // MONOMER-21901
GENTAMICIN-2-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.59			Chemical Reactions	
RXN-23442	EC-1.13.11.33	PWY-8396		Chemical Reactions	
RXN-14997				Chemical Reactions	
RXN-17611				Chemical Reactions	
RXN-15066	EC-2.3.1.23	PWY-7416		Chemical Reactions	G3O-33688-MONOMER // MONOMER-16595 // G3O-34275-MONOMER // MONOMER-18572 // MONOMER-18574 // HS16664-MONOMER
RXN-10949	EC-3.1.3.25			Chemical Reactions	CPLX-7935 // CPLX-7936 // HS02567-MONOMER
RXN-25024		PWY-8562		Small-Molecule Reactions	MONOMER-124862
RXN-16499		RXN-24457 // PWY-7650		Chemical Reactions	MONOMER-19232
RXN-21008		PWY-8104 // RXN-7575		Chemical Reactions	MONOMER-12010 // MONOMER-12009 // MONOMER-11694 // CPLX-9450
RXN-17136	EC-1.11.1.14			Chemical Reactions	MONOMER-14336 // MONOMER-14338 // MONOMER-14339 // MONOMER-14340 // MONOMER-14341 // MONOMER-14342 // MONOMER-14343 // MONOMER-14344 // MONOMER-14345 // MONOMER-14346
RXN-17725	EC-3.1.3			Chemical Reactions	ALKAPHOSPHA-CPLX // EG11470-MONOMER // EG11195-MONOMER // G7187-MONOMER // G6425-MONOMER
RXN-25042	EC-2.1.1.401			Chemical Reactions	
RXN-22938		PWY-8344		Chemical Reactions	MONOMER-21907
RXN66-82	EC-2.1.1.49			Chemical Reactions	HS00305-MONOMER
RXN-14233	EC-1.1.1.359			Chemical Reactions	CPLX-3781
RXN-8958	EC-5.4.99.63	PWY-7854 // PWY-5741		Chemical Reactions	CPLX-8972
HEXANOL-RXN	EC-1.1.1	PWY-6863		Chemical Reactions	MONOMER-15847 // G185E-4280-MONOMER // CPLX-8687 // CPLX-8688 // CPLX-8689 // G18NG-12424-MONOMER // ADHE-CPLX // CPLX0-8015
RXN-12424	EC-3.2.1.81	PWY-6815		Chemical Reactions	MONOMER-16651
GLYC3PDEHYDROG-RXN	EC-1.1.5.3			Chemical Reactions	YIL155C-MONOMER
RXN-10105	EC-5.5.1.7	PWY-6191		Chemical Reactions	CPLX-7712
CYTIDEAM-RXN	EC-3.5.4.5	PWY-7181 // PWY-7199		Chemical Reactions	CYTIDEAM-CPLX // MONOMER-124968 // CPLX-8626 // CPLX-8623 // CPLX-8106 // CPLX-8612
RXN-23873				Chemical Reactions	
RXN-22270	EC-1.1.1.141			Chemical Reactions	CPLX-9620
RXN-21633	EC-1.3.1.9	PWY-8173		Chemical Reactions	CPLX-7647 // CPLX-8539 // MONOMER-17581 // SCO1814-MONOMER // CPLX8J2-88 // ATU0149-MONOMER // CPLX0-8006
RXN-23747		PWY-8438		Chemical Reactions	MONOMER-124390 // CPLX-85439
RXN-20045	EC-4.2.3.200			Chemical Reactions	
RXN-23785	EC-2.5.1	PWY-8442		Chemical Reactions	MONOMER-124402
2.4.1.218-RXN	EC-2.4.1.218			Chemical Reactions	
3.2.1.82-RXN	EC-3.2.1.82	PWY-7246		Chemical Reactions	MONOMER-15662
RXN-1301	EC-1.17.99.2	PWY-481		Chemical Reactions	CPLX-2821 // CPLX-1202
RXN-7401	EC-2.7.7.37	PWY-82		Chemical Reactions	AT5G52560-MONOMER // MONOMER-11146
RXN-20777	EC-3.1.1.38			Chemical Reactions	
RXN-15514	EC-1.3.1.107	PWY-5287		Chemical Reactions	MONOMER-13854
RXN-19216		PWY-7951		Chemical Reactions	
1.1.1.178-RXN	EC-1.1.1.178	PWY-5109 // ILEUDEG-PWY		Chemical Reactions	CPLX-8784 // CPLX-6987 // CPLX-6986
ACETYLPUTRESCINE-DEACETYLASE-RXN	EC-3.5.1.62			Chemical Reactions	CPLX-7629
RXN-13207	EC-2.4.2	PWY-7018		Chemical Reactions	MONOMER-17265
THTOREDUCT-RXN	EC-1.8.4			Chemical Reactions	
RXN-15423	EC-4.1.1	PWY-7480	2-hydroxy-3-carboxy-muconic semialdehyde decarboxylase	Chemical Reactions	MONOMER-18585
RXN-12787	EC-1.1.1	PWY-6948	3-oxo-24-ethyl-26-hydroxy-cholest-4-ene dehydrogenase	Chemical Reactions	
DAPASYN-RXN	EC-2.6.1.62	PWY0-1507		Chemical Reactions	DAPASYN-CPLX // G185E-5756-MONOMER
2.3.1.49-RXN	EC-2.3.1.49	P2-PWY		Chemical Reactions	MONOMER-6581
RXN-2962	EC-1.1.1.284	PWY-1801		Chemical Reactions	ADHC-CPLX // CPLX66-470 // CPLX-7009 // CPLX-3381 // CPLX-3401
ENTMULTI-RXN	EC-6.3.2.14			Small-Molecule Reactions	ENTMULTI-CPLX
RXN-17095	EC-3.1.1.99	PWY-7722		Chemical Reactions	MONOMER-19522
RXN-16803	EC-1.14.12.23			Chemical Reactions	CPLX-3981
RXN-19844	EC-6.2.1.60			Chemical Reactions	MONOMER-19800
RXN1A0-6307	EC-3.1.2	PWY1A0-6325		Chemical Reactions	SCO5091-MONOMER
RXN-17675	EC-2.4.1.115			Chemical Reactions	AT5G17050-MONOMER // MONOMER-18000 // MONOMER-12084
RXNN-404	EC-3.5.1.4	PWY-581 // PWY-5025 // PWY-3161		Chemical Reactions	CPLX-7277 // AT1G08980-MONOMER // MONOMER-7862 // MONOMER-7681
RXN-18793	EC-4.2.3.166			Chemical Reactions	
RXN-3766	EC-1.3.1.45	PWY-2464		Chemical Reactions	MONOMER-6024 // MONOMER-5883
2.3.1.180-RXN	EC-2.3.1.180	PWY-4381 // PWY1A0-6120		Chemical Reactions	CPLX0-252 // SCO2388-MONOMER // BSU10170-MONOMER // BSU11330-MONOMER // SCO5888-MONOMER // MONOMER-17580 // CPLX-6301
GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN	EC-1.2.1.17	PWY-6696		Chemical Reactions	MONOMER-16185
RXN-13992	EC-3.5.4.37			Chemical Reactions	
RXN-19089	EC-1.14.99.59	PWY-7936		Chemical Reactions	MONOMER-20334
IMIDAZOLE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.2			Chemical Reactions	
RXN-11263	EC-2.1.1	PWY-6442		Chemical Reactions	AT1G67990-MONOMER
RXN-9502	EC-1.14.14.117	PWY-5960		Chemical Reactions	MONOMER-14044
RXN-19801	EC-1.3.8	PWY-8152 // PWY-6944		Chemical Reactions	G185E-7840-MONOMER // CPLX-9506
2.3.1.143-RXN	EC-2.3.1.143	PWY-5475		Chemical Reactions	MONOMER-13000
D-XYLULOSE-REDUCTASE-RXN	EC-1.1.1.9	LARABITOLUTIL-PWY		Chemical Reactions	MONOMER-17164 // MONOMER-13195 // MONOMER-19889 // CPLX-8657 // MONOMER-13244 // MONOMER-13193 // MONOMER-13192 // MONOMER-12203 // MONOMER-12201 // MONOMER-12199 // CPLX-6953 // CPLX-6951 // MONOMER-21872
RXN-18661	EC-2.7.7.99	PWY-7883		Chemical Reactions	G1G01-443-MONOMER
RXN-16152	EC-2.3.1.23	PWY-6433		Chemical Reactions	MONOMER-19024
H2-METHYLENE-THMPT-DEHYDRO-RXN	EC-1.12.98.2	PWY-7784 // METHANOGENESIS-PWY		Chemical Reactions	CPLX-622
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54	NAGLIPASYN-PWY		Chemical Reactions	EG12666-MONOMER // MONOMER-20143 // MONOMER-20142
RXN-9887	EC-3.1.1.45	PWY-6093		Chemical Reactions	MONOMER-14382 // MONOMER-14406
RXN-10859		PWY-6326		Chemical Reactions	
RXN-12096	EC-3.7.1.26	PWY-8318 // PWY-6714		Chemical Reactions	MONOMER-21868 // MONOMER-16237 // MONOMER-21812
RXN-11237	EC-1.17.5.3			Chemical Reactions	
RXN-16479	EC-1.14.13.181	PWY-7352		Chemical Reactions	MONOMER-18172
RXN-8755	EC-1.17.99.M4	P164-PWY		Chemical Reactions	CPLX-7376
RXN18C3-27	EC-2.3.1	PWY18C3-8	sucrose 4-decanoyltransferase	Chemical Reactions	MONOMER18C3-31 // MONOMER18C3-30
RXN-8902		PWY-5706		Chemical Reactions	
RXN-17107	EC-1.2.1.50	PWY-7723		Chemical Reactions	CPLX-9033
RXN-14612		RXN-14601		Chemical Reactions	CPLX-8719 // CPLX-8718
RXN-23420	EC-1.14.14	PWY-8397		Chemical Reactions	
RXN-20377	EC-4.2.1.134	PWY-7035		Chemical Reactions	AT5G10480-MONOMER // MONOMER3O-85 // CPLX-7066 // MONOMER-17592 // CPLX66-275 // CPLX-8704 // MONOMER-18955 // MONOMER-124751
RXN-18014	EC-6.2.1.54	PWY-7815 // PWY-7818 // TEICHOICACID-PWY // PWY-7816 // PWY-7817 // PWY-8040 // PWY-8343		Chemical Reactions	MONOMER-21900 // MONOMER-20020 // MONOMER-19990 // BSU38500-MONOMER // MONOMER-19971 // MONOMER-20781
ARG-OXIDATION-RXN	EC-1.4.3.25	ARGDEG-IV-PWY		Chemical Reactions	CPLX-9182 // MONOMER-11561 // CPLX-9181
RXN-14609		RXN-14600		Chemical Reactions	CPLX-8719 // CPLX-8718
RXN-13054	EC-6.3.2.38	AEROBACTINSYN-PWY		Chemical Reactions	MONOMER-11597
SORBOSE-DEHYDROGENASE-RXN	EC-1.1.99.12			Chemical Reactions	
RXN-17642	EC-1.1.2.9	PWY-7780		Chemical Reactions	MONOMER-19863
RXN-21283	EC-2.6.1			Chemical Reactions	
RXN0-703	EC-1.1.1.130	PWY-6961		Chemical Reactions	CPLX0-2061
RXN-16449	EC-1.5.3	PWY-7638		Chemical Reactions	SGL_RS15345-MONOMER
RXN-17462		PWY-7760 // RXN-18421		Chemical Reactions	
RXN-11103	EC-6.3.2.33	PWY-8456		Chemical Reactions	CPLX-7971
RXN-15792		PWY-6955		Chemical Reactions	
RXN-11560	EC-2.8.2	PWY-6567		Chemical Reactions	ENSG00000111962-MONOMER
RXN-24377		PWY-8498		Chemical Reactions	MONOMER-124574
1.2.1.55-RXN	EC-1.1.1.279			Chemical Reactions	
RXN-18776	EC-2.4.1.371	PWY-7905		Chemical Reactions	MONOMER-20267
RXNQT-4364		PWYQT-4477		Chemical Reactions	
RXN-22042	EC-2.4.1	PWY-8204		Chemical Reactions	MONOMER-21448
RXN-11524	EC-4.4.1.4	PWY-6539		Chemical Reactions	CPLX-8953
RXN-12753		PWY-6938-1 // PWY-6938		Chemical Reactions	CPLX-8377
RXN-25513	EC-1.14.14.M71	PWY-8605		Chemical Reactions	MONOMER-125090
1.3.7.2-RXN	EC-1.3.7.2	PWY-5915 // PWY-7579		Chemical Reactions	MONOMER-18994 // MONOMER-13950
3.2.1.111-RXN	EC-3.2.1.111			Chemical Reactions	
RXN-21692	EC-4.2.1.59	PWY-8175		Chemical Reactions	CPLX-7648 // G66-33210-MONOMER // G3O-31118-MONOMER // CPLX1UA-2 // BSU36370-MONOMER // HMPREF1322_RS03560-MONOMER // FABZ-CPLX // FABA-CPLX
RXN-21982	EC-1.1.1.146	PWY-8202		Chemical Reactions	CPLX66-461 // ENSG00000176387-MONOMER
RXN-18406	EC-1.8.5.7	PCPDEG-PWY // TECH1REDHAL-RXN		Chemical Reactions	CPLX-9187 // CPLX-1581
RXN-18057	EC-2.4.1	PWY-7819		Chemical Reactions	BSU35680-MONOMER
RXN-8001	EC-1.1.1.23			Small-Molecule Reactions	HISTDEHYD-CPLX // CPLX-7200 // MONOMER-471
RXN-17163	EC-1.14.14	RXN-19730 // PWY-7736		Chemical Reactions	MONOMER-19602
RXN-17861	EC-2.3.1.255	PWY-7800		Chemical Reactions	CPLX-9129
2.7.9.3-RXN	EC-2.7.9.3	PWY-6281 // PWY0-901		Chemical Reactions	CPLX0-7957 // MONOMER-14953 // MONOMER-14949
RXN-16533		PWY-7653		Chemical Reactions	
RXN-15698	EC-2.5.1.126	PWY-8115		Chemical Reactions	MONOMER-21055
RXN-8730	EC-3.1.3.56	PWY-6362 // PWY-6364		Chemical Reactions	HS00936-MONOMER // HS01279-MONOMER // HS04546-MONOMER // HS05626-MONOMER // HS05898-MONOMER // HS08354-MONOMER // HS09233-MONOMER // HS09849-MONOMER // HS11950-MONOMER // AT1G34120-MONOMER
RXN66-511	EC-1.13.11.34	PWY-8400 // PWY-8355 // PWY66-397		Chemical Reactions	HS00336-MONOMER
RXN-21726	EC-2.3.1.86	PWYG-321		Chemical Reactions	YKL182W-MONOMER // G185E-6762-MONOMER
RXN-13856	EC-1.13.11.73	PWY-8067		Chemical Reactions	MONOMER-17793
RXN-14092	EC-3.2.1.187			Chemical Reactions	MONOMER-18165
RXN-17256	EC-6.2.1.M2			Chemical Reactions	
RXN-10845	EC-1.13.12.17	PWY-6324		Chemical Reactions	MONOMER-15088 // MONOMER-15089
RXN-22891	EC-3.2.1.62			Chemical Reactions	
RXN-23623		PWY-8424		Chemical Reactions	CPLX-85423
RXN-9346				Chemical Reactions	
RXN-12455	EC-1.3.1.88			Chemical Reactions	G3O-32671-MONOMER
RXN1G-445	EC-2.3.1.41	PWYG-321		Chemical Reactions	CPLX-9320 // CPLX-7644 // BSU11340-MONOMER // FABB-CPLX // 3-OXOACYL-ACP-SYNTHII-CPLX
RXN-20517	EC-3.1.4.54			Chemical Reactions	ENSG00000161048-MONOMER
DIENOYLCOAREDUCT-RXN	EC-1.3.1.34			Chemical Reactions	DIENOYLCOAREDUCT-MONOMER
RXN-22	EC-4.3.2.1	PWY-5		Chemical Reactions	MONOMER-49
RXN-20771		PWY-6409		Chemical Reactions	MONOMER-20876
TREHALOSE6PSYN-RXN	EC-2.4.1.15	TRESYN-PWY		Chemical Reactions	TREHALOSE6PSYN-MONOMER // CPLX3O-4031 // MONOMER-17100 // CPLX-9246 // MONOMER-5983 // YBR126C-MONOMER
RXN-22176	EC-2.4.1			Chemical Reactions	
RXN-13118	EC-1.1.1.329	PWY-7014 // PWY-8367 // PWY-7000		Chemical Reactions	MONOMER-17231 // MONOMER-17186 // MONOMER-22080
RXN-20438	EC-1.14.14.154	PWY18C3-1		Small-Molecule Reactions	MONOMER18C3-409 // MONOMER18C3-394
RXN-20226	EC-2.3.1.26			Chemical Reactions	
RXN-9667	EC-1.14.19.35	PWY-5997		Chemical Reactions	CPLX-1906 // CPLX-1905
RXN-13824		PWY-7376 // 2.1.1.132-RXN		Chemical Reactions	CPLX-7428
RXN-18919		PWY-7919 // RXN-18911		Chemical Reactions	HS04162-MONOMER // HS05846-MONOMER // HS03480-MONOMER
RXN-15369	EC-3.13.1	PWY-7898		Chemical Reactions	
RXN18C3-23	EC-1.14.13	PWY18C3-7		Chemical Reactions	MONOMER18C3-20
RXN-8871	EC-4.1.2.66	PWY-5754 // PWY-6431 // PWY-5665		Small-Molecule Reactions	MONOMER-15418 // MONOMER-13423
RXN-15734	EC-2.5.1.105	PWY-6148		Chemical Reactions	MONOMER-14570
RXN-18837		PWY-7912		Small-Molecule Reactions	
RXN-20604		RXN-21595 // RXN-20616		Chemical Reactions	HS07446-MONOMER // HS09047-MONOMER // HS13221-MONOMER // HS11979-MONOMER // ENSG00000115593-MONOMER // ENSG00000143499-MONOMER // HS04019-MONOMER // HS00145-MONOMER
RXN-25608	EC-1.3.1.az			Chemical Reactions	CPLX2DDB-1114
RXN-15851	EC-1.1.3.47			Small-Molecule Reactions	MONOMER-17167
2.3.1.154-RXN	EC-2.3.1.176			Chemical Reactions	
ISOFLAVONE-2-HYDROXYLASE-RXN	EC-1.14.14.89	PWY-2463		Chemical Reactions	MONOMER-5882 // MONOMER-7402 // MONOMER-5945
RXN-20630		RXN-20640		Chemical Reactions	MONOMER66-43915 // ENSG00000132510-MONOMER // ENSG00000147050-MONOMER
RXN-24693		PWY-8532		Chemical Reactions	MONOMER-124717
RXN-21791	EC-2.7.2.14			Chemical Reactions	CPLX-9311
SPERMINE-SYNTHASE-RXN	EC-2.5.1.22	ARGSPECAT-PWY // POLYAMINSYN3-PWY		Chemical Reactions	YLR146C-MONOMER // CPLX-6908 // CPLX-6905
3.2.1.61-RXN	EC-3.2.1.61			Chemical Reactions	
RXNQT-4174	EC-1.1.1.85			Small-Molecule Reactions	AT5G14200-MONOMER
RXN0-5294	EC-2.4.99.26			Chemical Reactions	EG11424-MONOMER
RXN-16100	EC-2.3.1	PWY-7602		Chemical Reactions	
RXN2DNV-8	EC-3.1.3.M9	PWY2DNV-3		Chemical Reactions	HP_RS00125-MONOMER
RXN-20666	EC-3.6.1.69	PWY-8061 // RXN-14205		Chemical Reactions	G185E-7240-MONOMER // BSU30630-MONOMER
RXN-21089	EC-2.7.8.28	PWY-8112		Chemical Reactions	CPLX-7095
RXN-14641	EC-1.1.1.359	PWY-7294	xylose dehydrogenase	Chemical Reactions	CPLX-3781
RXN-1901	EC-3.13.1.7	PWY-743 // PWY-7926 // RXN-14638 // PWY-5336 // PWY-1164		Chemical Reactions	HS05785-MONOMER // CPLX-9259 // CPLX-8717
RXN-21043	EC-5.2.1.M1			Chemical Reactions	MONOMER-21024
RXN-7852	EC-2.3.1.206			Small-Molecule Reactions	CPLX-8550
RXN-13710	EC-1.14.18.9	PWY66-3	4&alpha;-methyl-cholesta-8-enol 4- monooxygenase	Small-Molecule Reactions	HS00650-MONOMER
RXN-23017	EC-2.3.2.2	PWY-8355		Chemical Reactions	CPLX66-414
RXN-17449	EC-2.1.1.333			Chemical Reactions	MONOMER-19715
RXN-15091	EC-2.7.1.174	PWY-7420	diacylglycerol kinase	Chemical Reactions	
RXN-8479	EC-2.4.1	PWY-5399		Chemical Reactions	MONOMER-12783
RXN-16779	EC-2.4.1.295	PWY-7678		Chemical Reactions	MONOMER-19362
RXN-15707	EC-4.2.3.150			Chemical Reactions	
RXN-15022	EC-2.5.1	PWY-7407 // PWY-7405		Chemical Reactions	MONOMER-18341 // MONOMER-18333
2.5.1.43-RXN	EC-2.5.1.43	PWY-5912 // PWY-5957		Chemical Reactions	MONOMER-14045 // MONOMER-13940 // MONOMER-13939 // MONOMER-13937 // MONOMER-13933
RXN-22007	EC-1.3.1.22	PWY-8202		Chemical Reactions	HS00619-MONOMER // HS07261-MONOMER // AT2G38050-MONOMER
RXN-8434	EC-5.4.99.40	PWY-7251 // PWY-5377 // PWY-6109		Chemical Reactions	MONOMER-18684 // MONOMER-17972 // AT1G78500-MONOMER // MONOMER-14450 // AT1G78960-MONOMER
RXN-25495	EC-2.7.8.M15	PWY-8601		Chemical Reactions	CPLX3O-10935
RXN185E-62	EC-2.3.1			Chemical Reactions	
RXN-14181	EC-3.1.3.1 // EC-3.1.3.74	PWY-8077 // PWY-7204		Chemical Reactions	ALKAPHOSPHA-CPLX
GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN	EC-1.1.1.281 // EC-1.1.1.187	GDPRHAMSYN-PWY		Chemical Reactions	MONOMER-12854 // MONOMER-12852
RXN-10036	EC-3.1.3.86	PWY-6368		Chemical Reactions	AT2G32010-MONOMER // AT1G47510-MONOMER // AT2G31830-MONOMER // HS01279-MONOMER // HS04546-MONOMER // HS05626-MONOMER // HS05898-MONOMER // HS08354-MONOMER // HS09233-MONOMER // HS09270-MONOMER // HS09849-MONOMER // HS12255-MONOMER
RXN-11279		PWY-6447		Chemical Reactions	MONOMER-15450
RXN-22070	EC-2.4.1	PWY-8244 // PWY-8209		Chemical Reactions	MONOMER-21473 // MONOMER-21629
CPM-KDOSYNTH-RXN	EC-2.7.7.38	PWY-1269		Chemical Reactions	CPM-KDOSYNTH-MONOMER // MONOMER-11935
RXN66-498	EC-1.14.99	PWY-8400 // PWY66-395		Chemical Reactions	CPLX-9723
RXN-18681	EC-2.4.1.M24	PWY-7885		Chemical Reactions	
RXN-23336		PWY-5410		Chemical Reactions	
1.13.11.48-RXN	EC-1.13.11.48			Chemical Reactions	
RXN-25312				Chemical Reactions	BETAGALACTOSID-CPLX
RXN-24337	EC-6.2.1	PWY-8492		Chemical Reactions	MONOMER-124568
RXN-14986	EC-1.1.1.85	PWY-7396		Small-Molecule Reactions	CPLX-8763
GLY3KIN-RXN	EC-2.7.1.31	PWY-181 // PWY-8363		Chemical Reactions	AT1G80380-MONOMER // MONOMER-22039
RXN-24599	EC-2.1.1	PWY-8523		Chemical Reactions	MONOMER-124656
RXN-20614		RXN-20620		Chemical Reactions	HS02643-MONOMER
RXN-17875	EC-3.4.11.18	PWY-7800		Chemical Reactions	HS03371-MONOMER // HS08982-MONOMER
RXN-5469	EC-2.4.1.261	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS		Chemical Reactions	YNL219C-MONOMER
RXN-19015	EC-2.4.1	PWY-7921		Chemical Reactions	G3O-30008-MONOMER
RXN-21986	EC-1.1.1.149			Chemical Reactions	HS10741-MONOMER
RXN-16666		PWY-7667		Small-Molecule Reactions	
CHOLOYLGLYCINE-HYDROLASE-RXN	EC-3.5.1.24	PWY-8135		Chemical Reactions	CPLX-8074 // CPLX-8072 // CPLX-8071
GLUCOKIN-RXN	EC-2.7.1.1 // EC-2.7.1.2	P124-PWY // PWY-7385 // PWY-5514 // PWY-5661 // ANAGLYCOLYSIS-PWY // GLYCOCAT-PWY // PWY-5941 // UDPNACETYLGALSYN-PWY // GLUCOSE1PMETAB-PWY // PWY0-1182 // PWY-2722 // TREDEGLOW-PWY // PWY-7238 // P122-PWY // PWY-621 // PWY-2723		Chemical Reactions	GLUCOKIN-MONOMER // YFR053C-MONOMER // YGL253W-MONOMER // MONOMER-19002 // AT4G29130-MONOMER // AT2G19860-MONOMER // MONOMER-12872 // HS08548-MONOMER // HS08399-MONOMER // HS08136-MONOMER // CPLX-4241 // MONOMER-9282 // MONOMER-17038 // YCL040W-MONOMER // HS02935-MONOMER // CPLX-4221 // BSU24850-MONOMER
RXN0-6510	EC-5.3.3.18	PWY0-321		Chemical Reactions	MONOMER-15951
RXN-14704	EC-3.1.3.91			Chemical Reactions	
RXN-16539	EC-1.3.1	PWY-7653		Chemical Reactions	MONOMER-19273
POLYSACCHARIDE-O-METHYLTRANSFERASE-RXN	EC-2.1.1.18			Chemical Reactions	
RXN-21336	EC-4.2.1.106	PWY-7754		Chemical Reactions	CPLX-1441
SULFUR-DIOXYGENASE-RXN		SULFUROX-PWY // FESULFOX-PWY	Sulfur dioxygenase	Chemical Reactions	
RXN-18166	EC-1.14.14	PWY-601		Chemical Reactions	
RXN-14525	EC-3.1.3.34			Chemical Reactions	APHA-CPLX
RXN-18011		RXN-23795 // RXN-18014		Chemical Reactions	MONOMER-124408 // MONOMER-21900 // MONOMER-20020 // MONOMER-19990 // BSU38500-MONOMER // MONOMER-19971 // MONOMER-20781
RXN-17954	EC-2.7.8.37	PWY-7805		Chemical Reactions	EG10718-MONOMER
RXN-20933	EC-1.1.1.421	PWY-8090 // PWY-8091 // PWY-8092		Chemical Reactions	MONOMER-20960 // MONOMER-20970 // MONOMER-20972
RXN-10000	EC-2.3.1.202	PWY-6143		Chemical Reactions	HP0327-MONOMER
RXN-5464	EC-2.4.1.131	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS		Chemical Reactions	MONOMER3O-36
RXN-18715		PWY-7895		Chemical Reactions	
RXN-8924		PWY-5701		Chemical Reactions	
RXN-24989	EC-2.7.12.1			Chemical Reactions	HS02690-MONOMER
RXN-15224	EC-2.4.1.166	PWY-6524		Chemical Reactions	
RXN-19081		PWY-7930 // RXN-19067		Chemical Reactions	CPLX-9261
RXN-8288	EC-2.4.1	PWY-5342		Chemical Reactions	MONOMER-12485
SUCCGLUDESUCC-RXN	EC-3.5.1.96	AST-PWY		Chemical Reactions	SUCCGLUDESUCC-MONOMER
RXN-9824	EC-2.4.1.M58	PWY-6036		Chemical Reactions	MONOMER-14325
R602-RXN	EC-1.14.12	P661-PWY		Chemical Reactions	CPLX-1663
RXN-20039				Chemical Reactions	
RXN-22626	EC-2.4.2.5			Chemical Reactions	
RXN-12151	EC-1.7.1	PWY-6720		Chemical Reactions	MONOMER-16216
RXN-19060	EC-1.14.19.M18	PWY-7932		Chemical Reactions	MONOMER-20331 // MONOMER-20312
RXN-8324	EC-1.14.19.22	PWY-762		Chemical Reactions	CPLX-1902
RXN-17550		RXN-18025		Chemical Reactions	MONOMER-19786
RXN-11842	EC-5.4.99.28			Chemical Reactions	EG12609-MONOMER // YOL066C-MONOMER // G3O-29460-MONOMER
RXN-712	EC-1.1	PWY-699 // PWY-2582		Chemical Reactions	
RXN-20187	EC-1.14.11.77			Chemical Reactions	CPLX-9352 // G185E-7683-MONOMER
RXN-21694	EC-1.3.1.104 // EC-1.3.1.10	PWY-8175		Chemical Reactions	CPLX-8758 // CPLX8J2-89 // CPLX1P3V-880 // CPLX0-8006
