Pathways	Object ID	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type	Ontology -  all instances of class	Species	Taxonomic-Range
xylogalacturonan biosynthesis	PWY-5980	xylogalacturonan biosynthesis	xylogalacturonan &beta;-1,3-xylosyltransferase	a homogalacturonan + UDP-alpha-D-xylose  ->  a xylogalacturonan + UDP + H+	Glycan Pathways // Cell Structure Biosynthesis // Carbohydrate Biosynthesis		Arabidopsis thaliana	Viridiplantae
xylitol degradation II	PWY-8393	xylitol degradation II	pentitolphosphate dehydrogenase Lmo2663 // pentitolphosphate dehydrogenase Lmo2664 // protein-<em>N</em><small><sup>&pi;</sup></small>-phosphohistidine&mdash;D-arabinitol/D-xylitol phosphotransferase	an [HPr protein]-Npi-phospho-L-histidine + xylitol[out]  ->  xylitol 5-phosphate[in] + an [HPr]-L-histidine // xylitol 5-phosphate + NAD+  <-->  D-xylulose 5-phosphate + NADH + H+	Alcohol Degradation // Carbohydrate Degradation		Listeria monocytogenes	Bacillota
xylitol degradation I	LARABITOLUTIL-PWY	xylitol degradation I // L-arabitol and xylitol utilization // L-arabitol and xylitol degradation	D-xylulose reductase // xylitol dehydrogenase // xylitol dehydrogenase // xylitol dehydrogenase // NAD+-dependent xylitol dehydrogenase // D-sorbitol dehydrogenase / NAD-xylitol dehydrogenase // NAD-dependent xylitol dehydrogenase // <small>L</small>-arabinitol 4-dehydrogenase // L-arabinitol dehydrogenase / xylitol dehydrogenase / sorbitol dehydrogenase // D-xyulokinase // D-xyulokinase // D-xylulokinase // D-xylulose kinase subunit // D-xylulokinase	D-xylulose + ATP  ->  D-xylulose 5-phosphate + ADP + H+ // xylitol + NAD+  <-->  D-xylulose + NADH + H+	Alcohol Degradation // Carbohydrate Degradation		Aspergillus niger // Aspergillus oryzae // Bos taurus // Cavia porcellus // Morganella morganii // Providencia stuartii // Serratia marcescens // Trichoderma reesei	Vertebrata <vertebrates> // Fungi // Pseudomonadota
xylan biosynthesis	PWY-5800	xylan biosynthesis	1,4-&beta;-<small>D</small>-xylan synthase // 1,4-&beta;-<small>D</small>-xylan synthase // 1,4-&beta;-<small>D</small>-xylan synthase // arabinoxylan arabinosyltransferase // glucuronoxylan glucuronyltransferase	UDP-alpha-D-glucuronate + a (1->4)-beta-D-xylan  ->  a glucuronoxylan + UDP // UDP-beta-L-arabinopyranose + a (1->4)-beta-D-xylan  ->  an arabinoxylan + UDP // UDP-alpha-D-xylose + [(1->4)-beta-D-xylan](n)  ->  UDP + [(1->4)-beta-D-xylan](n+1)	Cell Structure Biosynthesis		Phaseolus vulgaris // Pisum sativum // Triticum aestivum	Viridiplantae
xanthommatin biosynthesis	PWY-8249	xanthommatin biosynthesis	Cardinal // xanthommatin reductase	5,12-dihydroxanthommatin + NAD+  <-  xanthommatin + NADH + H+ // xanthommatin + H+  ->  decarboxylated xanthommatin + CO2 // 2 3-hydroxy-L-kynurenine + 3 hydrogen peroxide  ->  uncyclized xanthommatin + 6 H2O // uncyclized xanthommatin + oxidized electron carrier  ->  xanthommatin + ammonia + reduced two electron carrier + 2 H+	Other Biosynthesis		Doryteuthis pealeii // Drosophila melanogaster // Musca domestica	Cephalopoda // Arthropoda
xanthohumol biosynthesis	PWY-5135	xanthohumol biosynthesis	naringenin chalcone synthase // 2-acylphloroglucinol 4-prenyltransferase	desmethylxanthohumol + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + xanthohumol + H+ // naringenin chalcone + prenyl diphosphate  ->  desmethylxanthohumol + diphosphate + H+ // (E)-4-coumaroyl-CoA + 3 malonyl-CoA + 3 H+  ->  naringenin chalcone + 3 CO2 + 4 coenzyme A // 4-coumarate + coenzyme A + ATP  ->  (E)-4-coumaroyl-CoA + AMP + diphosphate	Aromatic Compound Biosynthesis		Humulus lupulus	Cannabaceae
xanthine and xanthosine salvage	SALVPURINE2-PWY	xanthine and xanthosine salvage	xanthine-guanine phosphoribosyltransferase // purine nucleoside phosphorylase // xanthosine phosphorylase // nucleoside phosphorylase PpnP	xanthosine + phosphate  <-->  xanthine + alpha-D-ribose-1-phosphate // XMP + diphosphate  <-  xanthine + 5-phospho-alpha-D-ribose 1-diphosphate	Nucleoside and Nucleotide Biosynthesis		Escherichia coli	Archaea // Bacteria <bacteria> // Eukaryota
xanthan biosynthesis	PWY-6655	xanthan biosynthesis	undecaprenyl-phosphate glucose phosphotransferase // GDP-mannose:cellobiosyl-diphosphopolyprenol &alpha;-mannosyltransferase // &alpha;-D-glucopyranosyl-diphosphoundecaprenol glucosyltransferase // GlcA-&beta;-(1,2)-D-Man-&alpha;-(1,3)-D-Glc-&beta;-(1,4)-D-Glc-&alpha;-1-diphosphoundecaprenol 4-&beta;-mannosyltransferase // D-Man-alpha-(1,3)-D-Glc-beta-(1,4)-D-Glc-alpha-1-diphosphoundecaprenol beta-1,2-glucuronyltransferase // beta-D-mannose-(1,4)-beta-D-glucoronate-(1,2)-alpha-D-mannosyl-(1,3)-beta-D-glucosyl-(1,4)-alpha-D-glucosyl-diphosphoundecaprenol mannosyl acetylase // beta-D-mannose-(1,4)-beta-D-glucoronate-(1,2)-alpha-N-acetyl-D-mannosyl-(1,3)-beta-D-glucosyl-(1,4)-alpha-D-glucosyl-diphosphoundecaprenol mannosyl acetylase // xanthan ketal pyruvate transferase	6-O-acetyl-beta-D-mannosyl-(1,4)-beta-D-glucoronate-(1,2)-alpha-N-acetyl-D-mannosyl-(1,3)-beta-D-glucosyl-(1,4)-alpha-D-glucosyl-PP-Und  ->  xanthan + di-trans,octa-cis-undecaprenyl diphosphate // D-Man-beta-(1->4)-GlcA-beta-(1->2)-6-O-acetyl-D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-PP-Und + phosphoenolpyruvate  ->  4,6-CH3(COO-)C-beta-D-Man-(1->4)-beta-GlcA-(1->2)-6-O-acetyl-alpha-D-Man-(1->3)-beta-D-Glc-(1->4)-alpha-D-Glc-PP-Und + phosphate // acetyl-CoA + D-Man-beta-(1->4)-GlcA-beta-(1->2)-6-O-acetyl-D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-PP-Und  ->  6-O-acetyl-beta-D-mannosyl-(1,4)-beta-D-glucoronate-(1,2)-alpha-N-acetyl-D-mannosyl-(1,3)-beta-D-glucosyl-(1,4)-alpha-D-glucosyl-PP-Und + coenzyme A // xanthan acetylase (GumF) // xanthan synthase // UDP-alpha-D-glucuronate + alpha-D-Man-(1->3)-beta-D-Glc-(1->4)-alpha-D-Glc-PP-Und  ->  UDP + beta-D-GlcA-(1->2)-alpha-D-Man-(1->3)-beta-D-Glc-(1->4)-alpha-D-Glc-1-diphospho-ditrans,octacis-undecaprenol + H+ // GDP-alpha-D-mannose + beta-D-GlcA-(1->2)-alpha-D-Man-(1->3)-beta-D-Glc-(1->4)-alpha-D-Glc-1-diphospho-ditrans,octacis-undecaprenol  ->  GDP + D-Man-beta-(1->4)-GlcA-beta-(1->2)-D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-PP-Und + H+ // UDP-alpha-D-glucose + alpha-D-Glc-PP-Und  ->  beta-D-Glc-(1->4)-alpha-D-Glc-PP-Und + UDP + H+ // GDP-alpha-D-mannose + beta-D-Glc-(1->4)-alpha-D-Glc-PP-Und  ->  GDP + alpha-D-Man-(1->3)-beta-D-Glc-(1->4)-alpha-D-Glc-PP-Und + H+ // UDP-alpha-D-glucose + di-trans,octa-cis-undecaprenyl phosphate  ->  UMP + alpha-D-Glc-PP-Und	Glycan Pathways // Carbohydrate Biosynthesis		Xanthomonas campestris // Xanthomonas oryzae	Bacteria <bacteria>
wybutosine biosynthesis	PWY-7283	wybutosine biosynthesis	tRNA wybutosine-synthesizing protein 4 // tRNA wybutosine-synthesizing protein 3 // tRNA wybutosine-synthesizing protein 2 // tRNA-4-demethylwyosine synthase // tRNA (guanine<small><sup>37</sup></small>-<em>N</em><small><sup>1</sup></small>)-methyltransferase	guanine37 in tRNAPhe + S-adenosyl-L-methionine  ->  an N1-methylguanine37 in tRNAPhe + S-adenosyl-L-homocysteine + H+ // an N1-methylguanine37 in tRNAPhe + pyruvate + S-adenosyl-L-methionine  ->  4-demethylwyosine37 in tRNAPhe + L-methionine + 5'-deoxyadenosine + CO2 + H2O // 4-demethylwyosine37 in tRNAPhe + S-adenosyl-L-methionine  ->  S-methyl-5'-thioadenosine + 7-[(3S)-3-amino-3-carboxypropyl]-4-demethylwyosine37 in tRNAPhe + H+ // 7-[(3S)-3-amino-3-carboxypropyl]-4-demethylwyosine37 in tRNAPhe + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + 7-[(3S)-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + H+ // 7-[(3S)-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + S-adenosyl-L-methionine  ->  7-[(3S)-4-methoxy-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + S-adenosyl-L-homocysteine // 7-[(3S)-4-methoxy-(3-amino-3-carboxypropyl)]-wyosine37 in tRNAPhe + CO2 + S-adenosyl-L-methionine  ->  wybutosine37 in tRNAPhe + S-adenosyl-L-homocysteine + 2 H+	Superpathways // Nucleic Acid Processing		Saccharomyces cerevisiae	Eukaryota
wogonin metabolism	PWY-7213	wogonin metabolism	baicalein 7-<i>O</i>-glucuronosyltransferase // baicalin-&beta;-D-glucuronidase // flavonoid 7-<i>O</i>-glucosyltransferase	UDP-alpha-D-glucose + wogonin  ->  wogonin 7-O-beta-D-glucoside + UDP + H+ // wogonin 7-O-beta-D-glucuronate + H2O  ->  wogonin + D-glucopyranuronate // UDP-alpha-D-glucuronate + wogonin  ->  UDP + wogonin 7-O-beta-D-glucuronate + H+	Aromatic Compound Biosynthesis		Scutellaria baicalensis	Viridiplantae
willardiine and isowillardiine biosynthesis	PWY-5021	willardiine and isowillardiine biosynthesis	isowillardiine synthase / willardiine synthase	O-acetyl-L-serine + uracil  ->  L-isowillardiine + acetate + H+ // uracil + O-acetyl-L-serine  ->  L-willardiine + acetate + H+	Secondary Metabolite Biosynthesis		Albizia julibrissin // Fagus crenata // Lathyrus odoratus // Leucaena leucocephala // Pisum sativum	fabids
wighteone and luteone biosynthesis	PWY-4502	wighteone and luteone biosynthesis	isoflavone-2'-hydroxylase // isoflavone 2'-hydroxylase // DMAPP:isoflavone dimethylallyl transferase	genistein + prenyl diphosphate  ->  lupiwighteone + diphosphate // genistein + prenyl diphosphate  ->  isowighteone + diphosphate // 2'-hydroxygenistein + prenyl diphosphate  ->  phaseoluteone + diphosphate // genistein + prenyl diphosphate  ->  wighteone + diphosphate // 2'-hydroxygenistein + prenyl diphosphate  ->  luteone + diphosphate // genistein + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  2'-hydroxygenistein + oxidized [NADPH-hemoprotein reductase] + H2O	Aromatic Compound Biosynthesis // Secondary Metabolite Biosynthesis		Glycine max // Glycyrrhiza echinata // Lupinus albus	Fabaceae
wax esters biosynthesis II	PWY-5885	wax esters biosynthesis II	fatty acyl-CoA reductase // wax ester synthase WSD5 // wax ester synthase WSD2 // wax ester synthase	a fatty acyl-CoA + a long-chain fatty alcohol  ->  coenzyme A + a long-chain alcohol wax ester // a long-chain fatty acyl-CoA + 2 NADH + 2 H+  ->  a long-chain fatty alcohol + coenzyme A + 2 NAD+	Fatty Acid and Lipid Biosynthesis		Euglena gracilis	Euglenozoa
wax esters biosynthesis I	PWY-5884	wax esters biosynthesis I // jojoba wax biosynthesis // liquid seed wax biosynthesis	wax ester synthase // bifunctional wax ester synthase/acyl-CoA diacylglycerol acyltransferase // alcohol-forming fatty acyl-CoA reductase // alcohol-forming fatty acyl-CoA reductase	a long-chain fatty acyl-CoA + 2 NADPH + 2 H+  ->  a long-chain fatty alcohol + coenzyme A + 2 NADP+ // a fatty acyl-CoA + a long-chain fatty alcohol  ->  coenzyme A + a long-chain alcohol wax ester	Fatty Acid and Lipid Biosynthesis		Acinetobacter baylyi // Simmondsia chinensis // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota // Viridiplantae // Simmondsia
VTC2 cycle	PWY4FS-12	VTC2 cycle // beta-L-galactose 1-phosphate biosynthesis	GDP-L-galactose phosphorylase // GDP-D-mannose-3,5-epimerase	GDP-alpha-D-mannose  ->  GDP-beta-L-galactose // GDP-beta-L-galactose + alpha-D-mannose 1-phosphate  ->  GDP-alpha-D-mannose + beta-L-galactose 1-phosphate	Carbohydrate Degradation		Arabidopsis thaliana	Viridiplantae
volatile esters biosynthesis (during fruit ripening)	PWY-6801	volatile esters biosynthesis (during fruit ripening) // ethylene-stimulated fruit ester biosynthesis	alcohol acyltransferase // benzoyl-coenzyme A:benzyl alcohol benzoyltransferase // benzoyl-CoA:alcohol O-acyltransferase // acyl-CoA:alcohol O-acyltransferase // benzoyl-CoA:alcohol benzoyltransferase	benzoyl-CoA + propan-1-ol  ->  propyl benzoate + coenzyme A // propanoyl-CoA + ethanol  ->  ethyl propanoate + coenzyme A // acetyl-CoA + propan-1-ol  ->  propyl acetate + coenzyme A // propanoyl-CoA + butan-1-ol  ->  butyl propanoate + coenzyme A // benzoyl-CoA + butan-1-ol  ->  butyl benzoate + coenzyme A // benzoyl-CoA + benzyl alcohol  ->  benzyl benzoate + coenzyme A // acetyl-CoA + butan-1-ol  ->  butyl acetate + coenzyme A	Metabolic Clusters // Aromatic Compound Biosynthesis		Actinidia chinensis // Actinidia deliciosa // Actinidia eriantha // Clarkia breweri	Viridiplantae
volatile cinnamoic ester biosynthesis	PWY-4201	volatile cinnamoic ester biosynthesis	MONOMER-10583 // SAM isoeugenol O-methyltransferase [multifunctional] // S-adenosyl-L-methionine:(iso)eugenol-O-methyltransferase // EOMT1 subunit // S-adenosyl-L-methionine eugenol-O-methyltransferase // CVOMT1 subunit // SAM: chavicol O- methyltransferase	chavicol + S-adenosyl-L-methionine  ->  methylchavicol + S-adenosyl-L-homocysteine + H+ // eugenol + S-adenosyl-L-methionine  ->  methyleugenol + S-adenosyl-L-homocysteine + H+ // isoeugenol + S-adenosyl-L-methionine  ->  isomethyleugenol + S-adenosyl-L-homocysteine + H+ // trans-cinnamate + S-adenosyl-L-methionine  ->  methylcinnamate + S-adenosyl-L-homocysteine	Metabolic Clusters // Aromatic Compound Biosynthesis		Pimpinella anisum // Clarkia breweri // Anethum foeniculum // Ocimum basilicum // Rosa chinensis	Magnoliopsida
volatile benzenoid biosynthesis I (ester formation)	PWY-4203	volatile benzenoid biosynthesis I (ester formation)	S-adenosyl-L-methionine:benzoic acid-salicylic acid carboxymethyltransferase // S-adenosyl-L-methionine:benzoic acid-salicylic acid carboxymethyltransferase // benzoyl-coenzyme A:benzyl alcohol benzoyltransferase // acetyl-coenzyme A:acetyl alcohol acetyltransferase	acetyl-CoA + benzyl alcohol  ->  benzyl acetate + coenzyme A // benzoyl-CoA + benzyl alcohol  ->  benzyl benzoate + coenzyme A // salicylate + S-adenosyl-L-methionine  ->  methylsalicylate + S-adenosyl-L-homocysteine // benzoate + S-adenosyl-L-methionine  ->  methyl benzoate + S-adenosyl-L-homocysteine	Metabolic Clusters // Aromatic Compound Biosynthesis		Arabidopsis lyrata // Clarkia breweri // Arabidopsis thaliana	Magnoliopsida
vitexin and derivatives biosynthesis	PWY-6015	vitexin and derivatives biosynthesis // vitexin and vitexin glycosides biosynthesis	vitexin beta-glucosyltransferase // vitexin 2''-O-rhamnoside 7-O-methyltransferase	vitexin 2''-O-beta-L-rhamnoside + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + 7-O-methylvitexin 2''-O-beta-L-rhamnoside // UDP-alpha-D-glucose + vitexin  ->  vitexin 2''-O-beta-D-glucoside + UDP + H+ // UDP-beta-L-rhamnose + vitexin  ->  vitexin 2''-O-beta-L-rhamnoside + UDP + H+ // UDP-alpha-D-glucose + apigenin  ->  vitexin + UDP + H+	Aromatic Compound Biosynthesis		Avena sativa // Silene latifolia	Viridiplantae
vitamin K-epoxide cycle	PWY-7999	vitamin K-epoxide cycle // vitamin K cycle	vitamin-K-epoxide reductase // peptidyl-glutamate 4-carboxylase // NAD(P)H dehydrogenase (quinone) 1 // [vitamin K epoxide reductase]-like protein	protein with a disulfide bond + phylloquinol  <-  protein with reduced L-cysteine residues + phylloquinone // NAD(P)H + phylloquinone + H+  ->  NAD(P)+ + phylloquinol // a [protein] 4-carboxy-L-glutamate + vitamin K 2,3-epoxide + H+ + H2O  <-  CO2 + a [protein]-alpha-L-glutamate + phylloquinol + dioxygen // protein with a disulfide bond + phylloquinone + H2O  <-  vitamin K 2,3-epoxide + protein with reduced L-cysteine residues	Cofactor, Carrier, and Vitamin Biosynthesis		Homo sapiens	Metazoa
vitamin K degradation	PWY-8000	vitamin K degradation // 4-menaquinone degradation // phylloquinone degradation	cytochrome P450 CYP4F2	omega-carboxyphylloquinone  ->  D-glucuronosyl-(4E)-4-methyl-6-(3-methyl-1,4-dioxonaphthalen-2-yl)hex-4-enoate // omega-oxophylloquinone + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  oxidized [NADPH-hemoprotein reductase] + omega-carboxyphylloquinone + H2O + H+ // omega-hydroxyphylloquinone + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  omega-oxophylloquinone + oxidized [NADPH-hemoprotein reductase] + 2 H2O // reduced [NADPH-hemoprotein reductase] + phylloquinone + dioxygen  ->  omega-hydroxyphylloquinone + oxidized [NADPH-hemoprotein reductase] + H2O // D-glucuronosyl-(4E)-4-methyl-6-(3-methyl-1,4-dioxonaphthalen-2-yl)hex-4-enoate  ->  2-methyl-4-(3-methyl-1,4-dioxonaphthalen-2-yl)butanoate // omega-carboxymenaquinone-4  ->  D-glucuronosyl-(4E)-4-methyl-6-(3-methyl-1,4-dioxonaphthalen-2-yl)hex-4-enoate // UDP-alpha-D-glucuronate + 2-methyl-4-(3-methyl-1,4-dioxonaphthalen-2-yl)butanoate  ->  UDP + beta-D-glucuronosyl-2-methyl-4-(3-methyl-1,4-dioxonaphthalen-2-yl)butanoate // UDP-alpha-D-glucuronate + D-glucuronosyl-(4E)-4-methyl-6-(3-methyl-1,4-dioxonaphthalen-2-yl)hex-4-enoate  ->  beta-D-glucuronosyl-(4E)-4-methyl-6-(3-methyl-1,4-dioxonaphthalen-2-yl)hex-4-enoate + UDP // reduced [NADPH-hemoprotein reductase] + omega-oxomenaquinone-4 + dioxygen  ->  oxidized [NADPH-hemoprotein reductase] + omega-carboxymenaquinone-4 + H2O + H+ // reduced [NADPH-hemoprotein reductase] + omega-hydroxymenaquinone-4 + dioxygen  ->  oxidized [NADPH-hemoprotein reductase] + omega-oxomenaquinone-4 + 2 H2O // reduced [NADPH-hemoprotein reductase] + menaquinone-4 + dioxygen  ->  oxidized [NADPH-hemoprotein reductase] + omega-hydroxymenaquinone-4 + H2O	Cofactor, Carrier, and Vitamin Degradation		Homo sapiens // Rattus norvegicus	Vertebrata <vertebrates>
vitamin E biosynthesis (tocotrienols)	PWY-7436	vitamin E biosynthesis (tocotrienols) // tocotrienol biosynthesis	homogentisate geranylgeranyl transferase // 2-methyl-6-phytyl-1,4-hydroquinone methyltransferase // tocopherol cyclase // delta-tocotrienol methyltransferase [multifunctional]	gamma-tocotrienol + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + alpha-tocotrienol + H+ // gamma-tocotrienol  <-  2,3-dimethyl-6-geranylgeranyl-1,4-benzoquinol // 2-methyl-6-geranylgeranyl-1,4-benzoquinol + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + 2,3-dimethyl-6-geranylgeranyl-1,4-benzoquinol + H+ // delta-tocotrienol + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + beta-tocotrienol + H+ // delta-tocotrienol  <-  2-methyl-6-geranylgeranyl-1,4-benzoquinol // geranylgeranyl diphosphate + homogentisate + H+  ->  2-methyl-6-geranylgeranyl-1,4-benzoquinol + CO2 + diphosphate	Cofactor, Carrier, and Vitamin Biosynthesis		Arabidopsis thaliana // Hordeum vulgare // Arabidopsis thaliana	Magnoliopsida
vitamin E biosynthesis (tocopherols)	PWY-1422	vitamin E biosynthesis (tocopherols) // tocopherol biosynthesis	4-hydroxyphenylpyruvate dioxygenase // 4-hydroxyphenylpyruvate dioxygenase // homogentisate phytyltransferase // homogentisate phytyltransferase // 2-methyl-6-phytyl-1,4-hydroquinone methyltransferase // 2-methyl-6-phytyl-1,4-benzoquinone methyltransferase [multifunctional] // tocopherol cyclase // tocopherol cyclase // delta-tocotrienol methyltransferase [multifunctional] // tocopherol methyltransferase	delta-tocopherol + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + beta-tocopherol + H+ // delta-tocopherol  <-  2-methyl-6-phytyl-1,4-benzoquinol // gamma-tocopherol + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + alpha-tocopherol + H+ // gamma-tocopherol  <-  2,3-dimethyl-6-phytyl-1,4-benzoquinol // 2-methyl-6-phytyl-1,4-benzoquinol + S-adenosyl-L-methionine  ->  2,3-dimethyl-6-phytyl-1,4-benzoquinol + S-adenosyl-L-homocysteine + H+ // phytyl diphosphate + homogentisate + H+  ->  2-methyl-6-phytyl-1,4-benzoquinol + CO2 + diphosphate // 3-(4-hydroxyphenyl)pyruvate + dioxygen  ->  CO2 + homogentisate	Cofactor, Carrier, and Vitamin Biosynthesis		Synechocystis sp. PCC 6803 // Arabidopsis thaliana	Cyanobacteriota // Chlorophyta // Phaeophyceae // Rhodophyta // Viridiplantae
vitamin D<sub>3</sub> biosynthesis	PWY-6076	vitamin D3 biosynthesis // 1,25-dihydroxyvitamin D3 biosynthesis // vitamin D biosynthesis	cytochrome P450 2R1 // cytochrome p450 27B1	calcidiol + 2 reduced  adrenodoxin + dioxygen + 2 H+  ->  calcitriol + 2 oxidized adrenodoxin + H2O // vitamin D3 + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  calcidiol + oxidized [NADPH-hemoprotein reductase] + H2O // pre-vitamin D3 + heat  ->  vitamin D3 // 7-dehydrocholesterol + UV light  ->  pre-vitamin D3	Cofactor, Carrier, and Vitamin Biosynthesis // Hormone, Neurotransmitter, and Signaling Molecule Biosynthesis		Gallus gallus // Homo sapiens // Mus musculus // Rattus norvegicus // Sus scrofa	Vertebrata <vertebrates>
vitamin B<sub>6</sub> degradation II	PWY-8384	vitamin B6 degradation II // pyridoxine degradation // pyridoxamine degradation // pyridoxal degradation	pyridoxine 5-dehydrogenase // isopyridoxal dehydrogenase // 5-pyridoxate monooxygenase // 2-(hydroxymethyl)-3-(acetamidomethylene)succinate hydrolase // 5-pyridoxolactonase	5-pyridoxolactone + H2O  ->  5-pyridoxate + H+ // 2-(hydroxymethyl)-3-(acetamidomethylene)succinate + 2 H2O + H+  ->  2-hydroxymethyl-4-oxobutanoate + acetate + CO2 + ammonium // 5-pyridoxate + NADPH + dioxygen  ->  2-(hydroxymethyl)-3-(acetamidomethylene)succinate + NADP+ // isopyridoxal + NAD+ + H2O  ->  5-pyridoxate + NADH + 2 H+ // isopyridoxal + NAD+  ->  5-pyridoxolactone + NADH + H+ // pyridoxine + oxidized electron carrier  ->  isopyridoxal + reduced two electron carrier	Cofactor, Carrier, and Vitamin Degradation		Arthrobacter sp. Cr-7 // Pseudomonas IA	Bacteria <bacteria>
vitamin B<sub>6</sub> degradation I	PWY-5499	vitamin B6 degradation I // pyridoxine degradation // pyridoxamine degradation // pyridoxal degradation	pyridoxamine-pyruvate aminotransferase subunit // pyridoxine 4-oxidase // pyridoxal 4-dehydrogenase subunit // 4-pyridoxolactonase subunit // 4-pyridoxate dehydrogenase // 5-formyl-3-hydroxy-2-methylpyridine 4-carboxylate 5-dehydrogenase // 3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase // 3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase // 3-hydroxy-2-methylpyridinecarboxylate monooxygenase // 3-hydroxy-2-methylpyridinecarboxylate monooxygenase // alpha-(N-acetylaminomethylene)succiate hydrolase // 2-(acetamidomethylene)succinate hydrolase	E-2-(acetamidomethylidene)succinate + 2 H2O + H+  ->  succinate semialdehyde + acetate + CO2 + ammonium // 3-hydroxy-2-methylpyridine-5-carboxylate + NAD(P)H + dioxygen  ->  E-2-(acetamidomethylidene)succinate + NAD(P)+ // 3-hydroxy-2-methylpyridine-4,5-dicarboxylate + H+  ->  3-hydroxy-2-methylpyridine-5-carboxylate + CO2 // 5-formyl-3-hydroxy-2-methylpyridine-4-carboxylate + NAD+ + H2O  ->  3-hydroxy-2-methylpyridine-4,5-dicarboxylate + NADH + 2 H+ // 4-pyridoxate + oxidized electron carrier  ->  5-formyl-3-hydroxy-2-methylpyridine-4-carboxylate + reduced two electron carrier // 4-pyridoxolactone + H2O  ->  4-pyridoxate + H+ // pyridoxal + NAD+  ->  4-pyridoxolactone + NADH + H+ // pyridoxine + dioxygen  ->  pyridoxal + hydrogen peroxide // pyridoxamine + pyruvate  <-->  pyridoxal + L-alanine	Cofactor, Carrier, and Vitamin Degradation		Mesorhizobium loti // Microbacterium luteolum // Ochrobactrum // Pseudomonas sp. MA-1	Bacteria <bacteria>
viridicatumtoxin biosynthesis	PWY-7659	viridicatumtoxin biosynthesis	viridicatumtoxin synthase // malonamate-CoA ligase // 4-(3-acetyl-2,5,7,10-tetrahydroxy-4-oxo-3-hydroanthracen-2-yl)-3-oxobutanamide-ACP synthase // 12a-deshydroxy-desmethylanthrotainin thioesterase // 12a-deshydroxy-desmethylanthrotainin 12a-hydroxylase // desmethylanthrotainin 5-hydroxylase // 5-hydroxy-desmethylanthrotainin 8-<i>O</i>-methyltransferase // 5-hydroxyanthrotainin geranyltransferase // geranyl diphosphate synthase	prenyl diphosphate + isopentenyl diphosphate  ->  geranyl diphosphate + diphosphate // 5-hydroxyanthrotainin + geranyl diphosphate  ->  previridicatumtoxin + diphosphate // 5-hydroxy-desmethylanthrotainin + S-adenosyl-L-methionine  ->  5-hydroxyanthrotainin + S-adenosyl-L-homocysteine + H+ // desmethyl-anthrotainine 5-hydroxylase // 12a-deshydroxy-desmethylanthrotainin + NADPH + H+ + dioxygen  ->  desmethylanthrotainin + NADP+ + H2O // 4-(3-acetyl-2,5,7,10-tetrahydroxy-4-oxo-3-hydroanthracen-2-yl)-3-oxobutanamyl-[acp]  ->  12a-deshydroxy-desmethylanthrotainin + an acyl-carrier protein + H+ // malonamoyl-CoA + 8 malonyl-CoA + an acyl-carrier protein + 8 H+  ->  4-(3-acetyl-2,5,7,10-tetrahydroxy-4-oxo-3-hydroanthracen-2-yl)-3-oxobutanamyl-[acp] + 9 coenzyme A + 8 CO2 + 2 H2O // malonamate + ATP + coenzyme A  ->  malonamoyl-CoA + AMP + diphosphate // previridicatumtoxin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  viridicatumtoxin + oxidized [NADPH-hemoprotein reductase] + 2 H2O	Secondary Metabolite Biosynthesis		Penicillium aethiopicum	Fungi
viridicatin biosynthesis	PWY-7704	viridicatin biosynthesis	cyclopeptine synthetase // cyclopeptine synthetase // 4'-methoxycyclopenine synthase // cyclopenase AsqI	methyl isocyanate + H2O + H+  ->  methylamine + CO2 // (-)-cyclopenine  ->  viridicatin + methyl isocyanate + H+ // cyclopenin dioxygenase // cyclopenin dioxygenase // 2 ATP + anthranilate + L-phenylalanine + S-adenosyl-L-methionine  ->  cyclopeptine + 2 AMP + S-adenosyl-L-homocysteine + 2 diphosphate + 2 H+	Secondary Metabolite Biosynthesis		Aspergillus nidulans // Penicillium crustosum // Penicillium cyclopium // Penicillium palitans // Penicillium viridicatum	Fungi
