Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
CPLX-8396		citrate lyase &beta; subunit hexamer	CITLY-RXN // CITTRANS-RXN // CITRYLY-RXN	EC-4.1.3.6 // EC-2.8.3.10 // EC-4.1.3.34
G185E-4508-MONOMER	GO:0034605 // GO:0042026 // GO:0040007 // GO:0019538 // GO:0016485 // GO:0009408	disaggregase ClpB // HtpM // ClpB // heat shock protein F84.1 // ClpB protein	RXN185E-10	
MONOMER-19761		phosphonoformate--CTP cytidylyltransferase // PhpF	RXN-10834	EC-2.7.7.93
FBGN0001404-MONOMER	GO:0048935 // GO:0016325 // GO:0006688 // GO:0001744 // GO:0045434 // GO:0008049 // GO:0007411 // GO:0007299 // GO:0007298 // GO:0046662 // GO:0042248 // GO:0016333 // GO:0007281 // GO:0045165 // GO:0030720 // GO:0030707 // GO:0007293	egghead // &beta;-1,4-mannosyltransferase egh // Egh // beta1,4-mannosyltransferase	RXN-25587	EC-2.4.1
MONOMER-15149		cytochrome P450 StaP // StaP // CYP245A1	RXN-10924	
CPLX-85433		tartrate dehydrogenase	RXN-8643 // TARTRATE-DEHYDROGENASE-RXN	EC-1.1.1.93
CPLX-9661			RXN-7566	EC-1.21.4.2
MONOMER-13687			4-COUMARATE--COA-LIGASE-RXN	EC-6.2.1.12
CPLX-9219		anhydro-<i>N</i>-acetylmuramic acid kinase	RXN0-4621	EC-2.7.1.170
MONOMER-13549	GO:0016106		RXN-8422	EC-4.2.3.47
MONOMER-19389		stipitaldehyde monooxygenase	RXN-16828	EC-1.14.14
CPLX-7949		desferrioxamine E synthetase	RXN-10997 // RXN-10998	EC-6.3.3
CPLX-8125		<i>N</i>-acetylglucosamine-6-sulfatase form B // glucosamine-6-sulfatase // G6S	3.1.6.14-RXN // RXN-11570	EC-3.1.6.14
YDL104C-MONOMER	GO:0006400 // GO:0070525 // GO:0072670 // GO:0008033 // GO:0002949	<em>N</em><small><sup>6</sup></small>-<small>L</small>-threonylcarbamoyladenine synthase	RXN-14570	EC-2.3.1.234
CPLX-9487		<i>N,N</i>-dimethyl-phenylurea <i>N</i> demethylase oxygenase component	RXN-21364 // RXN-21363 // RXN-21360 // RXN-21354 // RXN-21361 // RXN-21362 // RXN-21359 // RXN-21353	EC-1.14.15.38
AT1G74470-MONOMER		chloroplastic geranylgeranyl diphosphate reductase // geranylgeranyl dehydrogenase	RXN-17428 // RXN-7664 // RXN-7665 // RXN-7666 // RXN-10625 // RXN-7658 // RXN-7659 // RXN-7660	EC-1.3.1.83
G6208-MONOMER	GO:0046294 // GO:0046292	<i>S</i>-formylglutathione hydrolase FrmB // YaiM // FrmB	S-FORMYLGLUTATHIONE-HYDROLASE-RXN	EC-3.1.2.12
PYRUVATEDEH-CPLX			RXN-7716 // RXN-8629 // RXN-15119 // PYRUVDEH-RXN // RXN0-1134 // RXN-12583 // RXN-12508 // RXN0-1133 // RXN0-1132	EC-1.8.1.4 // EC-1.97.1 // EC-1.2.1.104 // EC-1.2.4.1 // EC-2.3.1.12
EG11620-MONOMER	GO:0016070 // GO:0006402 // GO:0006401 // GO:0016078	RNase II // Rnb // ribonuclease II // exoribonuclease II // exoribonuclease 2	RXN0-6524 // 3.1.13.1-RXN // RXN-24139	EC-3.1.13.1
CPLX-7668		dimethylsulfide dehydrogenase	RXN-9763	EC-1.8.2.4
CPLX0-8160		complex II // succinate-ubiquinone oxidoreductase // SQR // SdhCDAB // succinate dehydrogenase // succinate-Q reductase	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1
MONOMER-124678		PacV	RXN-24625	EC-2.1.1
MONOMER-19683		mycosporine glycine seryltransferase	ENTF-RXN // RXN-17367	
AT4G20960-MONOMER		diaminohydroxyphosphoribosylaminopyrimidine deaminase	RIBOFLAVINSYNDEAM-RXN	EC-3.5.4.26
MONOMER-19978		teichoic acid ribitol-phosphate primase/polymerase // TarL	RXN-18008 // RXN-18007	EC-2.7.8.14
CPLX-8106		cytidine deaminase	CYTIDEAM-RXN // CYTIDEAM2-RXN	EC-3.5.4.5
CPLX0-8211		hydroxyethylthiazole kinase	RXN-23965 // THIAZOLSYN3-RXN // RXN0-7298	EC-2.7.1.50 // EC-2.7.1.32
MONOMER-13784		AscE	RXN-9188	EC-5.1.3.M5
MONOMER-16357		adenosine deaminase	ADENINE-DEAMINASE-RXN // RXN-10035	EC-3.5.4.2 // EC-3.5.4.31
YCL040W-MONOMER		GLK	GLUCOKIN-RXN	EC-2.7.1.1 // EC-2.7.1.2
AT3G50740-MONOMER		UDPG:glucosyltransferase	RXN-92 // RXN-91	EC-2.4.1
CPLX-9178		L-malyl-CoA/&beta;-methylmalyl-CoA lyase	MALYL-COA-LYASE-RXN // RXN-8961	EC-4.1.3.24
MONOMER-18084		NovH	RXN-14666	
