Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
MONOMER-16352		LegG	RXN-12236	EC-3.2.1
G185E-5525-MONOMER	GO:0019540	long-chain fatty acyl-[acyl-carrier protein] dehydrogenase MbtN // MbtN	RXN-22682	EC-1.3.8
CPLX-8898		propanoyl-CoA transferase	RXN-15724 // PROPIONATE-COA-TRANSFERASE-RXN // LACCOA-RXN // RXN-15723	EC-2.8.3.1
MONOMER18C3-17		cembratrienol synthase	RXN18C3-21 // RXN18C3-20	EC-4.2.3
MONOMER-18910		BcmD	RXN-15914	EC-2.7.6
AT1G01280-MONOMER		laurate 7-monooxygenase // laurate 7-hydroxylase	RXN-12186	EC-1.14.14.130
CPLX-7742			RXN-9990	EC-2.7.7.43
MONOMER-18316		L-ornithine carbamoyltransferase // ArgF	ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
CPLX-9374		spectinabilin polyketide synthase complex	RXN-20242 // RXN-20234 // RXN-20236	EC-2.3.1.290
MONOMER-18020		DcsA	RXN-12537	EC-1.14.11
MONOMER-1053		4-coumarate coenzyme A ligase // 4CL // 4-cinnamoyl coenzyme A ligase	RXN-1122	EC-6.2.1.12
MONOMER-16257		mesaconyl-CoA hydratase // Mch	RXN-8960	EC-4.2.1.148
MONOMER-19259		2,5-dihydroxypyridine dioxygenase // VppE	1.13.11.9-RXN	EC-1.13.11.9
MONOMER-19262		(11<i>E</i>)-tetradecenoyl-CoA 9<i>Z</i> desaturase	RXN-16547	EC-1.14.19
AT5G55120-MONOMER		GDP-L-galactose phosphorylase // galactose-1-phosphate guanylyltransferase (GDP)	RXNQT-4141	EC-2.7.7.69
FORMYLTHFDEFORMYL-CPLX		formyl-FH<sub>4</sub> hydrolase // formylTHF deformylase	FORMYLTHFDEFORMYL-RXN	EC-3.5.1.10
HS07593-MONOMER	GO:0005975	&alpha;-(1,3)-fucosyltransferase 4 // ELAM-1 ligand fucosyltransferase // Fuc-TIV // fucosyltransferase IV // FucT-IV // myeloid &alpha;-3-fucosyltransferase	RXN-18260 // GALACTOSIDE-3-FUCOSYLTRANSFERASE-RXN	EC-2.4.1.152
MONOMER-19410		methylfusarubin monooxygenase	RXN-16861 // RXN-16860 // RXN-16867 // RXN-16864 // RXN-16859	EC-1.1.1 // EC-1.14.13
CPLX-85562		polyketide synthase KecDE	RXN-25448	
CPLX-4063			RXN-14377 // RXN-3962	EC-3.5.1.46
CPLX66-558		cytochrome <i>bc</i><sub>1</sub> complex	1.10.2.2-RXN	EC-7.1.1.8
AMP-NUCLEOSID-CPLX			AMP-NUCLEOSID-RXN	EC-3.2.2.4
SGL_RS08600-MONOMER		glycerate dehydrogenase // HprA	GLYCERATE-DEHYDROGENASE-RXN	EC-1.1.1.29
MONOMER-20666		3&beta;-hydroxysteroid-4&alpha;-carboxylate 3-dehydrogenase (decarboxylating)/3&beta;-hydroxysteroid 3-dehydrogenase // SdmB	RXN66-19 // RXN-20125 // RXN66-314 // RXN-20116 // RXN-20109 // RXN-20100 // 1.1.1.270-RXN	EC-1.1.1.270 // EC-1.1.1.417
MONOMER-17301		fatty-acyl-[acp] elongase/decarboxylase // Ols	RXN-13258 // RXN-13259 // RXN-13261 // RXN-13260	EC-2.3.1
MONOMER-13235			RXN-13689 // L-GULONOLACTONE-OXIDASE-RXN	EC-1.1.3.8
AT1G05560-MONOMER			RXN-8155	EC-2.4.1.263
MONOMER-19868		anthocyanidin reductase 2	RXN-9725 // RXN-9724 // RXN-9723 // RXN-10693	EC-1.3.1.77
MONOMER-19421		hydrogen carbonate phosphorylase // GdnU	RXN-16909	
2OXOGLUTARATEDEH-CPLX		2-oxoglutarate dehydrogenase complex // OGDH	RXN-8629 // RXN0-1132 // RXN-15119 // 2OXOGLUTARATEDEH-RXN // 2OXOGLUTDECARB-RXN // RXN0-1147 // RXN-7716	EC-1.8.1.4 // EC-1.97.1 // EC-1.2.1.105 // EC-1.2.4.2 // EC-2.3.1.61
HS01816-MONOMER	GO:0015980 // GO:0006637	carnitine O-acetyltransferase // carnitine acetylase // carnitine acetyltransferase	CARNITINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.7
MONOMER-11635		gibberellin 2-oxidase // SoGA2OX2	RXN-171 // RXN-113 // RXN-115	EC-1.14.11.13
CPLX8J2-102		cytochrome <i>bd</i> menaquinol oxidase	RXN-20993 // RXN-21392	EC-7.1.1.7
ENSG00000179477-MONOMER	GO:0034440 // GO:0070257 // GO:0061436 // GO:0051122 // GO:0046513 // GO:0043651 // GO:0043410 // GO:0019372 // GO:0019369 // GO:0010628 // GO:0006665 // GO:0006631 // GO:0006629 // GO:0006497 // GO:0019370 // GO:0008544	arachidonate 12-lipoxygenase, 12R type // 12R-lipoxygenase // 12R-LOX // Epidermis-type lipoxygenase 12	RXN-23031 // RXN-12760 // RXN66-657	EC-1.13.11.61
MONOMER-11580			RXN-7488 // BENZOATE--COA-LIGASE-RXN	EC-6.2.1.37 // EC-6.2.1.25
MONOMER-17746		rutin hydrolase	RXN-12530	EC-3.2.1
CPLX-7799		diamine oxidase // amine oxidase (copper-containing) // DAO // amiloride-sensitive amine oxidase [copper-containing] // amiloride-binding protein // ABP	RXN-9600	EC-1.4.3.22
MONOMER-17307		aldehyde decarbonylase	RXN-13281	EC-4.1.99
CPLX-2661		benzoate-CoA ligase (aerobic)	BENZOATE--COA-LIGASE-RXN	EC-6.2.1.25
MONOMER-20278		&beta;-D-galactofuranosidase	RXN-18818 // RXN-18817	EC-3.2.1.M10
MONOMER-17170		HmfD	2-FUROATE--COA-LIGASE-RXN // RXN-13094	EC-6.2.1.31 // EC-6.2.1
MONOMER-13967		3&prime;&prime;-deamino-3&prime;&prime;-oxonicotianamine reductase	1.1.1.285-RXN	EC-1.1.1.285
CPLX-7066		enoyl-CoA hydratase 2 // 2-enoyl-CoA hydratase II // very-long-chain 3-hydroxyacyl-CoA dehydratase	RXN-16155 // 3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN // RXN-20334 // RXN-13304 // RXN-16113 // RXN-20338 // RXN-25136 // RXN-16130 // RXN-9545 // RXN-20342 // RXN-14276 // RXN-24774 // RXN-20381 // RXN-20377 // RXN-24781 // RXN-13302 // RXN-20350 // RXN-13305 // RXN-17110 // RXN-20346 // RXN-13303 // RXN-14805 // RXN-16096 // RXN-11750 // RXN-7699	EC-4.2.1.134 // EC-4.2.1.55 // EC-4.2.1.119
MONOMER-20118		magnesium dechelatase // chloroplastic Protein STAY-GREEN 1	RXN-8378	EC-4.99.1.10
MONOMER-21600		UDP-Gal:&beta;-D-Gal-(1&rarr;4)-[&beta;-D-GlcNAc-(1&rarr;2)]-&beta;-D-Glc-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &beta;-(1&rarr;4)-galactosyltransferase // WclN	RXN-22187	EC-2.4.1
MONOMER-124935		sulfur-carrier protein TusA // TusA	RXN-25186	EC-2.8.1
MONOMER-17537		cytochrome <i>c</i>554 // Hcy // CycA	RXN-13572 // NITRIC-OXIDE-REDUCTASE-RXN	EC-1.7.2.5
CPLX-6916		<i>N<sup>6</sup></i>-hydroxylysine <i>N</i>-acetyltransferase	N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.102
EG11779-MONOMER	GO:0006400 // GO:0036265 // GO:0032259 // GO:0008033 // GO:0106004 // GO:0030488	tRNA m<sup>7</sup>G46 methyltransferase // YggH // TrmB // TrmI	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EC-2.1.1.33
MONOMER-20005		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase // PgsA	PHOSPHAGLYPSYN-RXN	EC-2.7.8.5
CPLX-9080		phenol 2-monooxygenase (FADH<sub>2</sub>)	RXN-17504	EC-1.14.14.20
MONOMER-18115		cytochrome P450 CYP315A1 // Sad // shadow	RXN-14682	EC-1.14.15.M22
HS05502-MONOMER		indoleamine 2,3-dioxygenase // IDO	RXN-8664 // RXN-16824 // RXN-16823 // RXN-8665	EC-1.13.11.52 // EC-1.11.2.M1 // EC-1.13.11.11
E2O		2-oxoglutarate dehydrogenase E2 subunit	2OXOGLUTARATEDEH-RXN // 2OXOGLUTDECARB-RXN // RXN-7716 // RXN0-1147	EC-1.2.1.105 // EC-1.2.4.2 // EC-1.8.1.4 // EC-2.3.1.61
CPLX66-141		dopamine &beta;-monooxygenase // dopamine &beta;-hydroxylase // 4-(2-aminoethyl)pyrocatechol &beta;-oxidase // dopa &beta;-hydroxylase // dopamine &beta;-oxidase // dopamine hydroxylase // phenylamine &beta;-hydroxylase // (3,4-dihydroxyphenethylamine)-&beta;-mono-oxygenase // 3,4-dihydroxyphenethylamine,ascorbate:oxygen oxidoreductase (&beta;-hydroxylating)	RXN-19390 // RXN-19389 // DOPAMINE-BETA-MONOOXYGENASE-RXN	EC-1.14.17.1
MONOMER-22126		benzene carboxylase // AbcA	RXN-23214	EC-4.1.1
BSU10540-MONOMER	GO:0017000 // GO:0008152	kanosamine-6-phosphate phosphatase // YhjK // NtdB	RXN8J2-138	EC-3.1.3.92
CPLX-8590		3-amino-4-hydroxybenzoic acid reductase complex	RXN-13867	
MONOMER-124718			GUANIDINOBUTANAMIDE-NH3-RXN	EC-3.5.1.4
MONOMER-124725		lydicamycin polyketide synthase 8	RXN-24710 // RXN-24709	
MONOMER-13464	GO:0016099	(<i>S</i>)-linalool synthase	4.2.3.25-RXN	EC-4.2.3.25
CISZOG1-MONOMER		<i>cis</i>-ZOG1	RXN-4735	EC-2.4.1.215
AT1G31860-MONOMER			HISTCYCLOHYD-RXN // HISTPRATPHYD-RXN	EC-3.5.4.19 // EC-3.6.1.31
CPLX-668		methyl-coenzyme M reductase II // MCR II // MR II // methyl-CoM reductase II	METHYL-COM-HTP-RXN	EC-2.8.4.1
EG10950-MONOMER	GO:0071555 // GO:0000270 // GO:0009253	soluble lytic murein transglycosylase // SltY // Slt // Slt70	RXN-17392 // RXN-17391	EC-4.2.2.29
MONOMER-21174		salviol synthase // cytochrome P450 71BE52	RXN-18882	EC-1.14.14.62
EG11013-MONOMER	GO:0007059 // GO:0006265	DNA topoisomerase I // SupX // TopA // Topo I // DNA topoisomerase I (&omega; protein) // DNA topoisomerase 1	5.99.1.2-RXN	EC-5.6.2.1
YJR117W-MONOMER		CAAX prenyl protease 1	RXN-11698	EC-3.4.26.1 // EC-3.4.24.84
BSU23760-MONOMER	GO:0016310 // GO:0015937	type I pantothenate kinase // YqjS // CoaA	PANTOTHENATE-KIN-RXN // PANTETHEINE-KINASE-RXN	EC-2.7.1.33 // EC-2.7.1.34
MONOMER-21830		D-tagatose-1-phosphate kinase // TagK	RXN-22448	EC-2.7.1.234
CPLX-9053		4-hydroxyprotoasukamycin monooxygenase	RXN-17360	EC-1.14.13
MONOMER-15811		achromobactin synthetase protein C // AcsC	RXN-11610	EC-6.3.2
MONOMER-17897		hexanoyl-CoA synthetase	RXN-14172	EC-6.2.1.2
MONOMER-4906			4OH2OXOGLUTARALDOL-RXN // KDPGALDOL-RXN	EC-4.1.3.16 // EC-4.1.2.55 // EC-4.1.2.14
MONOMER-19580		trichothecene 15-<i>O</i>-acetyltransferase	RXN-17037	EC-2.3.1
AT1G74540-MONOMER		cytochrome P450 98A8 // CYP98A8	RXN-11262 // RXN-11260	EC-1.14.14
MONOMER-124751			RXN-16155 // 3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN // RXN-20334 // RXN-13304 // RXN-16113 // RXN-20338 // RXN-25136 // RXN-16130 // RXN-9545 // RXN-20342 // RXN-14276 // RXN-24774 // RXN-20381 // RXN-20377 // RXN-24781 // RXN-13302 // RXN-20350 // RXN-13305 // RXN-17110 // RXN-20346 // RXN-13303 // RXN-14805 // RXN-16096 // RXN-11750 // RXN-7699	EC-4.2.1.134 // EC-4.2.1.55 // EC-4.2.1.119
CPLX2S1Y-137		putrescine carbamoyltransferase	PUTRESCINE-CARBAMOYLTRANSFERASE-RXN	EC-2.1.3.6
MONOMER-16747			HOMOGLUTATHIONE-SYNTHASE-RXN	EC-6.3.2.23
EF_RS10265-MONOMER		<i>N</i>-acetylmuramoyl-<i>N</i>-glucosaminyl-diphosphoundecaprenyl-hexapeptide:alanine alanyltransferase // FemAB family protein // UDP-N-acetylmuramoylhexapeptide-alanine alanyltransferase // MurN // FibB	RXN-11307	EC-2.3.2
MONOMER-16121		citrol dehydrogenase	RXN-11969 // RXN-11968	EC-1.1.1.347
CPLX-6951		D-sorbitol dehydrogenase	L-IDITOL-2-DEHYDROGENASE-RXN // D-XYLULOSE-REDUCTASE-RXN // RXN-7644	EC-1.1.1.14 // EC-1.1.1.9
MONOMER-16819		thiaminase I	THIAMIN-PYRIDINYLASE-RXN	EC-2.5.1.2
CPLX-8821			TAUROCYAMINE-KINASE-RXN	EC-2.7.3.4
MONOMER-124696		KtmA	RXN-24651	
CPLX0-8008			UDPGLCNACEPIM-RXN	EC-5.1.3.14
MONOMER-13679			RXN-9022 // RXN-9021	EC-2.1.1
MONOMER-13547	GO:0016106	(<i>E</i>)-&beta;-farnesene synthase	RXN-8422	EC-4.2.3.47
SM2011_RS25830-MONOMER		3-dehydrocarnitine cleavage enzyme // CdhC	RXN-20778	EC-2.3.1.317
MONOMER-18815		dihydroxyacid dehydratase // IlvD // dihydroxy-acid dehydratase // DHAD	DIHYDROXYMETVALDEHYDRAT-RXN // DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9
MONOMER-18602		tetracenomycin B2  oxygenase // ElmG // Tcm B2 oxygenase	RXN-15407	EC-1.14.13.200
CPLX-4142			RXN-4465 // RXN-4444	EC-1.1.3 // EC-1.1.3.20
CPLX-2202		endo-polygalacturonase isozyme 1 // pectin depolymerase	RXN-2103	EC-3.2.1.15
MONOMER-19863		1-butanol dehydrogenase (cytochrome c) // Bdh	RXN1G01-42 // RXN-17642	EC-1.1.2.8 // EC-1.1.2.9
MONOMER-124155		2-amino-4-deoxychorismate synthase // DkpF	RXN-9028	EC-2.6.1.86
MONOMER-17392		CouB	4-COUMARATE--COA-LIGASE-RXN	EC-6.2.1.12
MONOMER-6184			RXN-4705	
AT2G39030-MONOMER		L-ornithine <i>N</i><sup>&delta;</sup>-acetyltransferase	RXN-19536 // RXN-0 // RXN-12667	EC-2.3.1.57 // EC-2.3.1.M89
CPLX-85432		L-tartrate dehydrogenase/meso-tartrate decarboxylase/D-malate dehydrogenase (decarboxylating) // L-tartrate dehydrogenase/D-malate dehydrogenase (decarboxylating)	1.1.1.83-RXN // RXN-23715 // OXALODECARB-RXN // TARTRATE-DEHYDROGENASE-RXN // RXN-23710 // RXN-8643 // RXN-23713 // RXN0-5289	EC-1.1.1.83 // EC-4.1.1.112 // EC-1.1.1.93 // EC-4.1.1.M27 // EC-4.1.1.54 // EC-1.1.1.60
MONOMER-124819		<i>N</i>-acetylglutamate synthase // DUF1611 domain-containing protein	N-ACETYLTRANSFER-RXN	EC-2.3.1.1
MONOMER-18730		UDP-<i>N</i>-acetyl-&alpha;-D-quinovosamine dehydrogenase // LpsQ // WreQ	RXN-14767	EC-1.1.1.426
MONOMER-12783			RXN-8479	EC-2.4.1
MONOMER-965		(<i>R</i>)-6-hydroxynicotine oxidase // 6-Hdno // 6-hydroxy-D-nicotine oxidase	R-6-HYDROXYNICOTINE-OXIDASE-RXN // RXN-16528	EC-1.5.3.6
MONOMER-12840		cytosolic 6-phosphofructokinase // cytosolic ATP:fructose 6-phosphate 1-phosphotransferase // PFK<sub>c</sub>	6PFRUCTPHOS-RXN	EC-2.7.1.11
MONOMER-12918			RXN-8639	EC-1.2.1.49
MONOMER-11532			HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN	EC-1.2.1.64
MONOMER-20187		4-phospho-D-erythronate 3-dehydrogenase	RXN-18601 // RXN-18598 // RXN-18589	EC-1.1.1.409 // EC-4.1.1.104
MONOMER-14240		dimethylsulfoniopropanoate:acetyl-CoA transferase // DddD	RXN-9760	EC-2.3.1
ENSG00000120733-MONOMER	GO:0098869 // GO:0072718 // GO:0006355 // GO:0006351	lysine-specific demethylase 3B // JmjC domain-containing histone demethylation protein 2B // Jumonji domain-containing protein 1B // nuclear protein 5qNCA	RXN-20641 // RXN-20629 // RXN-20635	EC-1.14.11.65
MONOMER-16773		2-oxoglutarate-dependent ethylene/succinate-forming enzyme // Efe	RXN-12536 // RXN-14542 // RXN-12538	EC-1.14.11.41 // EC-1.13.12.19
G7517-MONOMER	GO:0006083 // GO:0006084	YgfH // ScpC	RXN0-268	EC-2.8.3.27
MONOMER-19390		stipitatonate decarboxylase	RXN-16832 // STIPITATONATE-DECARBOXYLASE-RXN	EC-4.1.1.60
CPLX-85406		arginine 2-monooxygenase	ARGININE-2-MONOOXYGENASE-RXN	EC-1.13.12.1
SGL_RS02550-MONOMER	GO:0009446 // GO:0033389 // GO:0008295	<em>N</em><small><sup>1</sup></small>-aminopropylagmatine ureohydrolase	RXN-12515	EC-3.5.3.24
CPLX3O-10530		dehydrodolichyl diphosphate synthase complex	RXN-11963 // RXN-9969	EC-2.5.1.87
MONOMER-6002		OtsB // TPP	TREHALOSEPHOSPHA-RXN	EC-3.1.3.12
MONOMER-19225		<em>N</em>-sulfoglucosamine sulfohydrolase	N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN	EC-3.10.1.1
MONOMER-20679		3-oxopimeloyl-CoA:CoA acetyltransferase // PimB	RXN-8032	EC-2.3.1
MONOMER-18248		chloroplastic/chromoplastic lycopene &beta; cyclase	RXN-12496 // RXN1F-151 // RXN1F-150	EC-5.5.1.19
MONOMER-11878			RXN-5822	EC-3.1.3.1 // EC-3.1.3.108
HP0326-MONOMER		pseudaminic acid cytidylyltransferase // PseF	RXN-10003	EC-2.7.7.81
MONOMER-19268		2-(2,4-dihydroxy-6-methylbenzoyl)benzene-1,3,5-triol 3-<i>O</i>-methyltransferase	RXN-16534	EC-2.1.1
MONOMER-19577		isotrichodermol 3-acetyltransferase	RXN-17035	EC-2.3.1
MONOMER-14862		endo-polygalacturonase	RXN-2103	EC-3.2.1.15
MONOMER-124642		strychnine-10-hydroxylase // CYP82D36	RXN-24560	EC-1.14.14.189
CPLX-7584			CDP-GLUCOSE-46-DEHYDRATASE-RXN	EC-4.2.1.45
CPLX-8089		phenylacetaldehyde dehydrogenase	PHENDEHYD-RXN	EC-1.2.1.39
CPLX-7035		(<i>S</i>)-3-hydroxybutyryl-CoA dehydrogenase	RXN-12570 // RXN-11662	EC-1.1.1.35
HS01185-MONOMER	GO:0008152 // GO:0007264 // GO:0006935 // GO:0006644 // GO:0016042 // GO:0007265	phospholipase D1 // choline phosphatase 1 // hPLD1 // phosphatidylcholine-hydrolyzing phospholipase D1 // PLD 1	RXN-20531 // PHOSCHOL-RXN	EC-3.1.4.4
CPLX-8057			GLUCARDEHYDRA-RXN	EC-4.2.1.40
G18NG-12357-MONOMER		L-glutamate <i>N</i>-acetyltransferase	N-ACETYLTRANSFER-RXN	EC-2.3.1.1
EG11822-MONOMER	GO:0009447	&gamma;-glutamylputrescine oxidase // YcjA // OrdL // PuuB	RXN0-3921	EC-1.4.3.M3
AT5G58860-MONOMER		long-chain fatty acid &omega;-hydroxylase // CYP86A1	RXN-16400	EC-1.14.14.80
MONOMER-14591		AroD	3-DEHYDROQUINATE-DEHYDRATASE-RXN	EC-4.2.1.10
EF_RS02195-MONOMER		MenE	O-SUCCINYLBENZOATE-COA-LIG-RXN	EC-6.2.1.26
MONOMER-2847		NAD-dependent succinate semialdehyde dehydrogenase	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.24
CPLX-7315			ASPAMINOTRANS-RXN	EC-2.6.1.1
MONOMER-16379		phytoene desaturase	RXN-12410 // RXN-8023 // RXN-8024	EC-1.3.99.29
MONOMER-20559		pectin monosaccharide-lyase	RXN-19794	EC-4.2.2.27
CPLX0-7659		fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	RIBOFLAVINSYNDEAM-RXN // RIBOFLAVINSYNREDUC-RXN	EC-3.5.4.26 // EC-1.1.1.193
CPLX-7559		nicotinate nucleotide adenylyltransferase	NICONUCADENYLYLTRAN-RXN // 2.7.7.1-RXN	EC-2.7.7.18 // EC-2.7.7.1
G185E-6493-MONOMER		cyclo(L-tyrosyl-L-tyrosyl) synthase	RXN-15418 // RXN-14336	EC-2.3.2.21
MONOMER-12150			RXN-20565 // RXN-17023 // RXN-17010 // RXN-17008 // RXN-20512 // RXN-17021 // RXN-17019 // RXN-16118 // RXN-15043 // RXN-17011 // RXN-17009 // RXN-20528 // RXN-16032 // RXN-1623	EC-2.3.1.51
CPLX-1702		granule-bound starch synthase I // GBSSI	RXN-14378	EC-2.4.1.242
MONOMER-8325			RXN-20531 // PHOSCHOL-RXN	EC-3.1.4.4
CPLX-85476		UDP-<i>N</i>-acetyl-&alpha;-D-glucosaminouronate C4-epimerase // UDP-<i>N</i>-acetylglucosaminuronic acid 4-epimerase	UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN // RXN-16259	EC-5.1.3.7 // EC-5.1.3.45
MONOMER-18314		[amino group carrier protein]-C-terminal-L-glutamyl-&gamma;-L-lysine aminotransferase // ArgD // LysJ // [LysW]-aminoadipate semialdehyde/glutamate semialdehyde transaminase	RXN-5184 // RXN-15007	EC-2.6.1.118 // EC-2.6.1.124
MONOMER-13976		limonene 1,2-monooxygenase // LimB	RXN-9409 // RXN-9407	EC-1.14.13.107
MONOMER-124990		olimycin ring hydroxylase OvmE // OvmE	RXN-25278 // RXN-25292 // RXN-25294	EC-1.14.13
HS00650-MONOMER		sterol C4-methyl monooxygenase // sterol-C4-methyl oxidase-like // C4 methyl sterol oxidase // methylsterol monooxygenase // C-4 methyl sterol oxidase	RXN-13711 // RXN66-15 // RXN66-16 // RXN66-17 // RXN-13710 // RXN66-20 // RXN66-21 // RXN66-22 // RXN-13709 // RXN66-315 // RXN66-316 // RXN66-317 // RXN-13712 // RXN66-310 // RXN66-311 // RXN66-312	EC-1.14.18.9
ENSG00000127663-MONOMER	GO:0006355 // GO:0006351	lysine-specific demethylase 4B // JmjC domain-containing histone demethylation protein 3B // Jumonji domain-containing protein 2B	RXN-20643 // RXN-20625 // RXN-20631 // RXN-20642 // RXN-20623 // RXN-20629	EC-1.14.11.69 // EC-1.14.11.66
CPLX-9348		limonene dehydrogenase	RXN-20143 // RXN-20139 // RXN-20138	EC-1.17.99.8
SYNPCC7942_0612-MONOMER	GO:0005975 // GO:0006099	citrate synthase // GltA	CITSYN-RXN	EC-2.3.3.3 // EC-2.3.3.16 // EC-2.3.3.1
CPLX-8566			RXN-13697 // ASPAMINOTRANS-RXN	EC-2.6.1.1
CPLX-85490		3'-deoxyuridine 3'-dehydratase	RXN-24616	
MONOMER-17714		quercetin-<i>O</i>-glucosyltransferase	RXN-8271 // RXN-13766 // RXN-13765 // RXN-8264 // RXN1F-462 // RXN-10788	EC-2.4.1 // EC-2.4.1.237 // EC-2.4.1.91
MONOMER-13299			ACETALD-DEHYDROG-RXN	EC-1.2.1.10
MONOMER-16561			RXN-20481 // RXN-23038 // RXN-20498 // RXN-20490 // RXN-20482 // RXN-23752 // MALONYL-COA-ACP-TRANSACYL-RXN	EC-2.3.1.39
YMR189W-MONOMER	GO:0019464 // GO:0006730 // GO:0006546 // GO:0006544	glycine decarboxylase subunit P // P protein	GCVMULTI-RXN // GCVP-RXN // GCVT-RXN // RXN-8629	EC-1.4.1.27 // EC-1.4.4.2 // EC-2.1.2.10 // EC-1.8.1.4
CPLX-8194		dissimilatory sulfate adenylyltransferase	SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
CPLX-8206		UWM6 synthase // JadDEI	RXN-11977	EC-2.3.1
MGI:94876-MONOMER		L-DOPA decarboxylase // DOPA decarboxylase	RXN3DJ-170	EC-4.1.1.28
CPLX66-381		nicotinamide mononucleotide adenylyltransferase 3	NICONUCADENYLYLTRAN-RXN // 2.7.7.1-RXN	EC-2.7.7.18 // EC-2.7.7.1
G1I0R-666-MONOMER		undecaprenyl phosphate-<i>N</i>-acetyl-&alpha;-D-glucosamine transferase // CsbB // GtlA	RXN-18036	EC-2.4.1
MONOMER-15107		5-carboxy-2-hydroxymuconate-6-semialdehyde decarboxylase // PraH	RXN-10883	
AT5G66690-MONOMER			2.4.1.111-RXN	EC-2.4.1.111
MONOMER-20363		lycopaoctaene synthase	RXN-19165 // RXN-13162 // RXN-12263 // RXN66-281 // RXN-19160 // 2.5.1.32-RXN // RXN-19159	EC-2.5.1.148 // EC-2.5.1.21 // EC-2.5.1.103
MONOMER-3021		cytochrome P-450cam // CamC	R541-RXN // R421-RXN // R424-RXN // RXN-13041 // R525-RXN	EC-1.14.15.1 // EC-1.14.15
YDR072C-MONOMER		mannosyl-inositol-phosphoceramide inositolphosphotransferase // inositolphosphotransferase	RXN3O-680	EC-2.7.1.228
MONOMER-18718		fusicoccadiene C-8 hydroxylase	RXN-15591	EC-1.14.14
CPLX-1704		starch synthase II // GBSII	GLYCOGENSYN-RXN	EC-2.4.1.21
CPLX-7601		<i>apo</i>-DhbB pentamer	ISOCHORMAT-RXN	EC-3.3.2.1
MONOMER-5147		tetrachloroethene-reductive dehalogenase // PceA // PCE-reductive dehalogenase // PCE-RDase	TCEREDCHLOR-RXN // 1.97.1.8-RXN	EC-1.21.99.M1 // EC-1.21.99.5
G6468-MONOMER	GO:0018339	ribosomal protein S12 methylthiotransferase accessory factor YcaO // YcaO // protein involved in &beta;-methylthiolation of ribosomal protein S12	ATP-PYROPHOSPHATASE-RXN	EC-3.6.1.8
MONOMER-14966			RXN-10690	EC-2.4.1
MONOMER-15509			RXN-11278 // RXN-2002	EC-4.2.1.17
CPLX-9731		phosphoglycolate phosphatase	GPH-RXN	EC-3.1.3.1 // EC-3.1.3.18
MONOMER-17641		exoglucanase 1 // exocellobiohydrolase I	3.2.1.91-RXN	EC-3.2.1.91
GDQC-105657-MONOMER		L-tryptophan:pyruvate aminotransferase	RXN-10139	EC-2.6.1.99
MONOMER-16252		&beta;-methylmalyl-CoA lyase // Mcl	MALYL-COA-LYASE-RXN // RXN-8961	EC-4.1.3.24
AT5G42810-MONOMER		polyphosphate 2-kinase	RXN-7185 // RXN-7163 // RXN-7182	EC-2.7.1 // EC-2.7.1.158
MONOMER-14927		carotenoid &chi;-ring synthase // CrtU // CruE // &beta;-carotene desaturase	RXN-19144 // RXN-10649 // RXN-10648	EC-1.3.99.40
AT3G44860-MONOMER		farnesoic acid carboxyl methyltransferase	RXN-11587	EC-2.1.1.325
GLUTKIN-CPLX		glutamate 5-kinase // G5K	GLUTKIN-RXN	EC-2.7.2.11
CPLX-7539			RXN-8954 // PYRDAMPTRANS-RXN	EC-2.6.1.54
MONOMER-19136		2,4,6-trinitrophenol reductase // NpdI // picric acid reductase	RXN-16305 // RXN-16304	EC-1.3.98.M5 // EC-1.7.1
MONOMER-6185			RXN-4705	
MONOMER-18504		anthocyanin acyltransferase	RXN-15329 // RXN-8204	EC-2.3.1 // EC-2.3.1.215
MONOMER-19305		15-dimethyl-2-<i>epi</i>-fumiquinazoline A oxidase	RXN-16587	EC-1.14.13
CPLX-9518		dissimilatory sulfite reductase system DsrABL	RXN-17803	EC-1.8.1.22
AT1G53240-MONOMER		malate dehydrogenase	MALATE-DEH-RXN	EC-1.1.1.37
MONOMER-17863			RXN-8177 // RXN-13965	EC-2.4.1 // EC-2.4.1.297
FY484_RS09400-MONOMER	GO:0009244 // GO:0016310 // GO:0006629 // GO:0009245	tetraacyldisaccharide 4'-kinase // LpxK	RXN2G6Z-1	EC-2.7.1.130
