	Naive	MinPath	Total families	Families found
P121-PWY	Yes	Yes	2	1
PWY-7187	Yes	Yes	7	4
PWY-4381	Yes	Yes	3	3
HISTSYN-PWY	Yes	Yes	9	7
PWY-8566	Yes	Yes	1	1
PWY-8188	Yes	Yes	2	2
PWY-8012	Yes	No	17	1
PWY-8040	Yes	Yes	9	1
PWY-8208	Yes	No	4	1
PWY-6373	Yes	No	5	1
ALANINE-VALINESYN-PWY	Yes	Yes	1	1
PWY-7396	Yes	Yes	8	2
ALACAT2-PWY	Yes	Yes	3	2
PWY-8207	Yes	No	4	1
PWY-7356	Yes	Yes	7	6
PWY-7210	Yes	Yes	8	3
GLUTORN-PWY	Yes	Yes	5	4
PHOSPHONOTASE-PWY	Yes	Yes	3	2
PWY-7698	Yes	Yes	7	1
PWY-5493	Yes	Yes	2	1
PWY-8014	Yes	No	5	1
PWY-8285	Yes	Yes	2	1
PWY0-1280	Yes	Yes	2	2
PWY-8130	Yes	No	3	1
PWY-6385	Yes	Yes	4	2
PWY-6012-1	Yes	Yes	1	1
PWY-7395	Yes	No	4	1
PWY0-1356	Yes	Yes	2	1
PWY-2201	Yes	Yes	13	6
PWY-5668	Yes	No	3	1
PWY-6277	Yes	Yes	5	4
ECASYN-PWY	Yes	No	5	1
OXIDATIVEPENT-PWY	Yes	No	3	1
PWY-5123	Yes	Yes	2	2
PWY-8377	Yes	No	8	3
PWY-8551	Yes	Yes	1	1
PWY-8509	Yes	Yes	1	1
PWY0-1264	Yes	Yes	3	3
PWY-5941	Yes	No	6	1
AMMASSIM-PWY	Yes	No	3	1
PWY-6901	Yes	Yes	8	8
PWY-8508	Yes	Yes	2	1
PWY66-21	Yes	Yes	3	3
PWY-8582	Yes	Yes	2	1
PWY-8346	Yes	No	3	1
PWY-8401	Yes	Yes	1	1
HOMOSER-METSYN-PWY	Yes	Yes	5	2
PWY-6753	Yes	Yes	2	1
PWY2DDB-9	Yes	Yes	2	1
PWY-5482	Yes	Yes	3	2
GLUAMCAT-PWY	Yes	Yes	2	2
PWY-5849	Yes	Yes	1	1
PWY-8489	Yes	No	6	1
TYRFUMCAT-PWY	Yes	No	5	1
PWY0-1517	Yes	Yes	2	1
PWY-8173	Yes	No	11	5
PWY-7666	Yes	No	3	1
PWY-6700	Yes	Yes	4	3
ASPARTATESYN-PWY	Yes	Yes	1	1
PWY-5104	Yes	Yes	6	3
PPGPPMET-PWY	Yes	Yes	4	3
PWY-4984	Yes	Yes	5	3
PWY-6749	Yes	Yes	9	2
PWY-8378	Yes	Yes	2	1
