	Naive	MinPath	Total families	Families found
PWY3O-246	Yes	Yes	1	1
PWY-7347	Yes	No	3	1
PWY-6174	Yes	No	7	3
PWY0-1261	Yes	Yes	13	7
PWY-8232	Yes	No	5	1
NAD-BIOSYNTHESIS-II	Yes	No	3	1
PWY-7216	Yes	No	5	1
PWY-6163	Yes	Yes	5	5
PWY-6906-1	Yes	Yes	8	3
PWYQT-4429	Yes	Yes	2	2
CITRULLINE-DEG-PWY	Yes	Yes	1	1
GALACTARDEG-PWY	Yes	No	4	1
SALVADEHYPOX-PWY	Yes	Yes	4	3
PWY-7224	Yes	No	6	1
PWY-5101	Yes	Yes	7	4
PWY-8219	Yes	No	6	1
PWY185E-1	Yes	No	8	1
PWY-5046	Yes	No	3	1
SERDEG-PWY	Yes	Yes	1	1
ILEUDEG-PWY	Yes	No	6	1
DAPLYSINESYN-PWY	Yes	Yes	9	8
PWY3O-1743	Yes	Yes	2	1
PWY0-662	Yes	Yes	1	1
PWY-4081	Yes	Yes	3	2
PWY-7220	Yes	Yes	3	3
ANAGLYCOLYSIS-PWY	Yes	Yes	11	9
PWY-5120	Yes	Yes	1	1
PWY-7953	Yes	Yes	8	6
PWY-6470	Yes	Yes	7	3
PWY-8431	Yes	No	4	1
PWY-1861	Yes	Yes	8	5
PWY490-4	Yes	Yes	4	1
PWY-5151	Yes	Yes	2	1
PWY-7815	Yes	No	12	1
CYSTSYN-PWY	Yes	Yes	2	2
PWY-6122	Yes	Yes	5	4
METHIONINE-DEG1-PWY	Yes	No	3	1
PWY-7657	Yes	No	5	2
ETOH-ACETYLCOA-ANA-PWY	Yes	Yes	2	2
PWY-8222	Yes	No	5	1
PWY-7328	Yes	Yes	2	2
PWY-5437	Yes	Yes	6	3
PWY-8291	Yes	Yes	2	1
PYRIDNUCSAL-PWY	Yes	Yes	7	3
PWY-7159	Yes	No	6	1
PWY-6613	Yes	Yes	2	2
2ASDEG-PWY	Yes	No	4	1
PWY-8280	Yes	No	6	2
PWY-8352	Yes	No	5	2
P121-PWY	Yes	Yes	2	2
PWY-7187	Yes	Yes	7	5
PWY-6938-1	Yes	Yes	2	2
PWY-4381	Yes	Yes	3	3
HISTSYN-PWY	Yes	Yes	9	7
PWY-8566	Yes	Yes	1	1
PWY-8188	Yes	Yes	2	1
PWY-8012	Yes	No	17	1
PWY-8040	Yes	Yes	9	1
PWY-7006	Yes	No	5	1
PWY-8208	Yes	No	4	1
ALANINE-VALINESYN-PWY	Yes	Yes	1	1
PWY-6388	Yes	Yes	1	1
PWY-7396	Yes	Yes	8	2
ALACAT2-PWY	Yes	No	3	1
PWY-8207	Yes	No	4	1
PWY-7356	Yes	Yes	7	2
PWY0-1466	Yes	Yes	2	1
PWY-7210	Yes	Yes	8	4
GLUTORN-PWY	Yes	Yes	5	4
PHOSPHONOTASE-PWY	Yes	No	3	1
PWY-7698	Yes	Yes	7	1
PWY-5493	Yes	Yes	2	1
PWY-7731	Yes	Yes	1	1
PWY-8014	Yes	No	5	1
PWY-5531	Yes	No	6	1
MANNCAT-PWY	Yes	Yes	2	2
PWY-8130	Yes	No	3	1
PWY-6385	Yes	Yes	4	2
PWY-6012-1	Yes	Yes	1	1
PWY-7395	Yes	Yes	4	3
PWY-2201	Yes	Yes	13	6
PWY-5668	Yes	Yes	3	2
PWY-6277	Yes	Yes	5	4
ECASYN-PWY	Yes	No	5	1
PWY-7684	Yes	Yes	2	2
PWY-5123	Yes	Yes	2	2
PWY-8377	Yes	No	8	2
PWY-8551	Yes	Yes	1	1
PWY0-1264	Yes	Yes	3	3
PWY-5941	Yes	Yes	6	3
AMMASSIM-PWY	Yes	No	3	1
PWY-6901	Yes	Yes	8	6
PWY66-21	Yes	No	3	1
PWY-8582	Yes	Yes	2	1
PWY-6556	Yes	Yes	2	1
HOMOSER-METSYN-PWY	Yes	Yes	5	3
PWY-5482	Yes	Yes	3	2
PWY-7177	Yes	Yes	2	1
GLUAMCAT-PWY	Yes	Yes	2	2
PWY-8489	Yes	No	6	1
PWY0-1314	Yes	Yes	1	1
TYRFUMCAT-PWY	Yes	No	5	1
PWY0-1517	Yes	Yes	2	1
PWY-8173	Yes	No	11	5
PWY-6700	Yes	Yes	4	4
ASPARTATESYN-PWY	Yes	Yes	1	1
PWY-5104	Yes	Yes	6	3
PPGPPMET-PWY	Yes	Yes	4	2
PWY-4984	Yes	Yes	5	3
PWY-6749	Yes	No	9	2
