S_S2_Bs_063_v1v9_301	6.1.1.5
S_S2_Bs_063_v1v9_302	3.5.2.6
S_S2_Bs_063_v1v9_303	3.5.2.6
S_S2_Bs_063_v1v9_304	2.7.1.33
S_S2_Bs_063_v1v9_305	2.7.1.33
S_S2_Bs_063_v1v9_306	2.1.2.9
S_S2_Bs_063_v1v9_307	2.7.1.6
S_S2_Bs_063_v1v9_308	3.1.11.2
S_S2_Bs_063_v1v9_309	3.5.1.25
S_S2_Bs_063_v1v9_310	3.5.1.124
S_S2_Bs_063_v1v9_311	3.5.1.124
S_S2_Bs_063_v1v9_312	6.3.1.20
S_S2_Bs_063_v1v9_313	6.3.1.20
S_S2_Bs_063_v1v9_314	3.4.11.18
S_S2_Bs_063_v1v9_315	3.4.11.18
S_S2_Bs_063_v1v9_316	2.7.1.23
S_S2_Bs_063_v1v9_317	2.7.1.23
S_S2_Bs_063_v1v9_318	3.1.3.5
S_S2_Bs_063_v1v9_319	3.1.3.5
S_S2_Bs_063_v1v9_320	3.1.3.5
S_S2_Bs_063_v1v9_321	3.1.3.5
S_S2_Bs_063_v1v9_322	6.3.2.17
S_S2_Bs_063_v1v9_323	6.3.2.12
S_S2_Bs_063_v1v9_324	2.7.1.202
S_S2_Bs_063_v1v9_325	2.7.1.202
S_S2_Bs_063_v1v9_326	2.7.1.202
S_S2_Bs_063_v1v9_327	2.7.1.202
S_S2_Bs_063_v1v9_328	2.1.1.45
S_S2_Bs_063_v1v9_329	5.3.1.24
S_S2_Bs_063_v1v9_330	5.3.1.24
S_S2_Bs_063_v1v9_331	5.3.1.24
S_S2_Bs_063_v1v9_332	4.4.1.16
S_S2_Bs_063_v1v9_333	5.1.99.1
S_S2_Bs_063_v1v9_334	2.1.3.15
S_S2_Bs_063_v1v9_335	2.1.3.15
S_S2_Bs_063_v1v9_336	2.1.3.15
S_S2_Bs_063_v1v9_337	5.1.3.3
S_S2_Bs_063_v1v9_338	2.7.4.22
S_S2_Bs_063_v1v9_339	1.2.1.12
S_S2_Bs_063_v1v9_340	1.2.1.12
S_S2_Bs_063_v1v9_341	2.3.1.179
S_S2_Bs_063_v1v9_342	2.3.1.179
S_S2_Bs_063_v1v9_343	2.7.14.1
S_S2_Bs_063_v1v9_344	2.7.7.60
S_S2_Bs_063_v1v9_345	2.7.7.60
S_S2_Bs_063_v1v9_346	2.7.7.60
S_S2_Bs_063_v1v9_347	6.1.1.2
S_S2_Bs_063_v1v9_348	2.7.1.4
S_S2_Bs_063_v1v9_349	2.7.1.4
S_S2_Bs_063_v1v9_350	2.3.1.29
S_S2_Bs_063_v1v9_351	2.3.1.29
S_S2_Bs_063_v1v9_352	2.1.1.228
S_S2_Bs_063_v1v9_353	1.20.4.1
S_S2_Bs_063_v1v9_354	1.20.4.1
S_S2_Bs_063_v1v9_355	2.4.1.1
S_S2_Bs_063_v1v9_356	1.1.1.103
S_S2_Bs_063_v1v9_357	3.6.3.8
S_S2_Bs_063_v1v9_358	1.2.3.3
S_S2_Bs_063_v1v9_359	2.4.2.18
S_S2_Bs_063_v1v9_360	4.2.1.46
S_S2_Bs_063_v1v9_361	4.2.1.46
S_S2_Bs_063_v1v9_362	2.7.7.24
S_S2_Bs_063_v1v9_363	6.3.4.15
S_S2_Bs_063_v1v9_364	6.4.1.3
S_S2_Bs_063_v1v9_365	6.1.1.21
S_S2_Bs_063_v1v9_366	1.1.1.85
S_S2_Bs_063_v1v9_367	2.7.2.3
S_S2_Bs_063_v1v9_368	2.5.1.15
S_S2_Bs_063_v1v9_369	6.3.4.4
S_S2_Bs_063_v1v9_370	2.1.2.2
S_S2_Bs_063_v1v9_371	1.2.1.88
S_S2_Bs_063_v1v9_372	1.2.1.88
S_S2_Bs_063_v1v9_373	1.11.1.6
S_S2_Bs_063_v1v9_374	1.11.1.6
S_S2_Bs_063_v1v9_375	1.11.1.6
S_S2_Bs_063_v1v9_376	3.5.1.42
S_S2_Bs_063_v1v9_377	2.7.1.40
S_S2_Bs_063_v1v9_378	2.1.2.10
S_S2_Bs_063_v1v9_379	1.4.4.2
S_S2_Bs_063_v1v9_380	1.4.4.2
S_S2_Bs_063_v1v9_381	1.17.7.3
S_S2_Bs_063_v1v9_382	1.17.7.1
S_S2_Bs_063_v1v9_383	2.7.8.8
S_S2_Bs_063_v1v9_384	3.1.1.29
S_S2_Bs_063_v1v9_385	6.1.1.7
S_S2_Bs_063_v1v9_386	2.1.1.182
S_S2_Bs_063_v1v9_387	6.3.3.1
S_S2_Bs_063_v1v9_388	2.4.2.14
S_S2_Bs_063_v1v9_389	4.1.1.36
S_S2_Bs_063_v1v9_390	6.3.2.5
S_S2_Bs_063_v1v9_391	3.1.3.100
S_S2_Bs_063_v1v9_392	3.1.3.15
S_S2_Bs_063_v1v9_393	4.2.3.12
S_S2_Bs_063_v1v9_394	2.7.4.8
S_S2_Bs_063_v1v9_395	2.3.1.180
S_S2_Bs_063_v1v9_396	2.3.1.180
S_S2_Bs_063_v1v9_397	1.1.1.267
S_S2_Bs_063_v1v9_398	2.7.7.3
S_S2_Bs_063_v1v9_399	2.7.7.9
S_S2_Bs_063_v1v9_400	2.7.7.9
S_S2_Bs_063_v1v9_401	2.7.7.9
S_S2_Bs_063_v1v9_402	2.7.7.39
S_S2_Bs_063_v1v9_403	2.5.1.74
S_S2_Bs_063_v1v9_404	2.5.1.72
S_S2_Bs_063_v1v9_405	3.6.5.4
S_S2_Bs_063_v1v9_406	4.1.2.50
S_S2_Bs_063_v1v9_407	6.1.1.11
S_S2_Bs_063_v1v9_408	4.2.1.2
S_S2_Bs_063_v1v9_409	6.2.1.26
S_S2_Bs_063_v1v9_410	4.3.3.7
S_S2_Bs_063_v1v9_411	4.3.3.7
S_S2_Bs_063_v1v9_412	1.17.1.8
S_S2_Bs_063_v1v9_413	2.7.6.3
S_S2_Bs_063_v1v9_414	2.1.2.11
S_S2_Bs_063_v1v9_415	4.2.1.24
S_S2_Bs_063_v1v9_416	6.1.1.3
S_S2_Bs_063_v1v9_417	6.1.1.3
S_S2_Bs_063_v1v9_418	2.4.1.129
S_S2_Bs_063_v1v9_419	2.4.1.129
S_S2_Bs_063_v1v9_420	2.4.1.129
S_S2_Bs_063_v1v9_421	2.4.1.129
S_S2_Bs_063_v1v9_422	1.1.1.94
S_S2_Bs_063_v1v9_423	6.1.1.6
S_S2_Bs_063_v1v9_424	6.3.5.2
S_S2_Bs_063_v1v9_425	2.6.1.42
S_S2_Bs_063_v1v9_426	2.6.1.42
S_S2_Bs_063_v1v9_427	4.1.2.13
S_S2_Bs_063_v1v9_428	4.1.2.13
S_S2_Bs_063_v1v9_429	4.1.1.20
S_S2_Bs_063_v1v9_430	2.8.1.10
S_S2_Bs_063_v1v9_431	2.4.99.17
S_S2_Bs_063_v1v9_432	4.3.99.3
S_S2_Bs_063_v1v9_433	1.1.1.95
S_S2_Bs_063_v1v9_434	1.1.1.95
S_S2_Bs_063_v1v9_435	1.1.1.399
S_S2_Bs_063_v1v9_436	1.1.1.399
S_S2_Bs_063_v1v9_437	6.1.1.22
S_S2_Bs_063_v1v9_438	1.1.1.205
S_S2_Bs_063_v1v9_439	4.2.1.10
S_S2_Bs_063_v1v9_440	4.2.1.10
S_S2_Bs_063_v1v9_441	2.5.1.54
S_S2_Bs_063_v1v9_442	4.1.1.11
S_S2_Bs_063_v1v9_443	2.7.7.2
S_S2_Bs_063_v1v9_444	2.7.7.2
S_S2_Bs_063_v1v9_445	2.7.7.2
S_S2_Bs_063_v1v9_446	2.7.1.26
S_S2_Bs_063_v1v9_447	2.7.1.26
S_S2_Bs_063_v1v9_448	2.7.1.26
S_S2_Bs_063_v1v9_449	5.4.99.25
S_S2_Bs_063_v1v9_450	3.1.3.7
S_S2_Bs_063_v1v9_451	3.1.13.3
S_S2_Bs_063_v1v9_452	6.3.4.19
S_S2_Bs_063_v1v9_453	6.3.4.19
S_S2_Bs_063_v1v9_454	2.3.1.8
S_S2_Bs_063_v1v9_455	4.2.1.19
S_S2_Bs_063_v1v9_456	2.7.6.1
S_S2_Bs_063_v1v9_457	1.1.3.15
