S_S2_Bs_063_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_266	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Bs_063_267	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Bs_063_268	4.3.1.17-RXN
S_S2_Bs_063_269	4.3.1.17-RXN
S_S2_Bs_063_270	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S2_Bs_063_271	FARNESYLTRANSTRANSFERASE-RXN
S_S2_Bs_063_272	FPPSYN-RXN
S_S2_Bs_063_273	GPPSYN-RXN
S_S2_Bs_063_274	QUINOPRIBOTRANS-RXN
S_S2_Bs_063_275	RXN0-6480
S_S2_Bs_063_275	3.1.26.5-RXN
S_S2_Bs_063_276	RXN0-6727
S_S2_Bs_063_276	RXN-13141
S_S2_Bs_063_277	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Bs_063_278	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Bs_063_279	GLUTAMATESYN-RXN
S_S2_Bs_063_280	GLUTAMATESYN-RXN
S_S2_Bs_063_281	RXN-11290
S_S2_Bs_063_282	RXN-11290
S_S2_Bs_063_283	MANNPISOM-RXN
S_S2_Bs_063_284	MANNPISOM-RXN
S_S2_Bs_063_285	MANNPISOM-RXN
S_S2_Bs_063_286	RXN0-302
S_S2_Bs_063_287	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S2_Bs_063_287	RXN-10949
S_S2_Bs_063_287	RXN-7253
S_S2_Bs_063_287	RXN0-5408
S_S2_Bs_063_287	RXN-10954
S_S2_Bs_063_287	RXN-10953
S_S2_Bs_063_287	RXN-10952
S_S2_Bs_063_288	RXN-11592
S_S2_Bs_063_289	1.8.4.8-RXN
S_S2_Bs_063_290	1.8.4.8-RXN
S_S2_Bs_063_291	RXN-12752
S_S2_Bs_063_291	RXN-13142
S_S2_Bs_063_292	MALONYL-COA-ACP-TRANSACYL-RXN
S_S2_Bs_063_293	MALONYL-COA-ACP-TRANSACYL-RXN
S_S2_Bs_063_294	MALONYL-COA-ACP-TRANSACYL-RXN
S_S2_Bs_063_295	1.11.1.15-RXN
S_S2_Bs_063_295	RXN0-5468
S_S2_Bs_063_296	1.11.1.15-RXN
S_S2_Bs_063_296	RXN0-5468
S_S2_Bs_063_297	1.11.1.15-RXN
S_S2_Bs_063_297	RXN0-5468
S_S2_Bs_063_298	RXN-12019
S_S2_Bs_063_299	RXN-12019
S_S2_Bs_063_300	3.4.23.36-RXN
S_S2_Bs_063_301	ISOLEUCINE--TRNA-LIGASE-RXN
S_S2_Bs_063_302	BETA-LACTAMASE-RXN
S_S2_Bs_063_303	BETA-LACTAMASE-RXN
S_S2_Bs_063_304	PANTOTHENATE-KIN-RXN
S_S2_Bs_063_305	PANTOTHENATE-KIN-RXN
S_S2_Bs_063_306	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S2_Bs_063_307	GALACTOKIN-RXN
S_S2_Bs_063_308	3.1.11.2-RXN
S_S2_Bs_063_309	NAG6PDEACET-RXN
S_S2_Bs_063_309	3.5.1.80-RXN
S_S2_Bs_063_314	3.4.11.18-RXN
S_S2_Bs_063_315	3.4.11.18-RXN
S_S2_Bs_063_316	NAD-KIN-RXN
S_S2_Bs_063_317	NAD-KIN-RXN
S_S2_Bs_063_318	RXN-14025
S_S2_Bs_063_318	RXN-14026
S_S2_Bs_063_318	RXN-7607
S_S2_Bs_063_318	RXN-7609
S_S2_Bs_063_318	AMP-DEPHOSPHORYLATION-RXN
S_S2_Bs_063_318	5-NUCLEOTID-RXN
S_S2_Bs_063_318	RXN-14227
S_S2_Bs_063_318	RXN-5841
S_S2_Bs_063_318	XMPXAN-RXN
S_S2_Bs_063_319	RXN-14025
S_S2_Bs_063_319	RXN-14026
S_S2_Bs_063_319	RXN-7607
S_S2_Bs_063_319	RXN-7609
S_S2_Bs_063_319	AMP-DEPHOSPHORYLATION-RXN
S_S2_Bs_063_319	5-NUCLEOTID-RXN
S_S2_Bs_063_319	RXN-14227
S_S2_Bs_063_319	RXN-5841
S_S2_Bs_063_319	XMPXAN-RXN
S_S2_Bs_063_320	RXN-14025
S_S2_Bs_063_320	RXN-14026
