S_S5_Ea_103_1	NADH-DEHYDROG-A-RXN
S_S5_Ea_103_295	RXN1G-818
S_S5_Ea_103_295	RXN1G-79
S_S5_Ea_103_295	RXN1G-172
S_S5_Ea_103_295	RXN1G-557
S_S5_Ea_103_295	RXN1G-32
S_S5_Ea_103_296	2.7.7.60-RXN
S_S5_Ea_103_297	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S5_Ea_103_298	FRUCTOKINASE-RXN
S_S5_Ea_103_299	FRUCTOKINASE-RXN
S_S5_Ea_103_300	AKBLIG-RXN
S_S5_Ea_103_301	RXN-14517
S_S5_Ea_103_301	RXN-12458
S_S5_Ea_103_302	RXN-982
S_S5_Ea_103_303	RXN-982
S_S5_Ea_103_304	RXN-14285
S_S5_Ea_103_304	RXN-14284
S_S5_Ea_103_304	RXN-14286
S_S5_Ea_103_304	RXN-14353
S_S5_Ea_103_304	RXN-9025
S_S5_Ea_103_304	RXN0-5182
S_S5_Ea_103_304	RXN0-5184
S_S5_Ea_103_304	GLYCOPHOSPHORYL-RXN
S_S5_Ea_103_304	RXN-12171
S_S5_Ea_103_304	GLYMALTOPHOSPHORYL-RXN
S_S5_Ea_103_304	RXN-1826
S_S5_Ea_103_304	RXN-12392
S_S5_Ea_103_305	3.6.3.8-RXN
S_S5_Ea_103_306	3.6.3.8-RXN
S_S5_Ea_103_307	3.6.3.8-RXN
S_S5_Ea_103_308	3.6.3.8-RXN
S_S5_Ea_103_309	1.2.3.3-RXN
S_S5_Ea_103_310	PRTRANS-RXN
S_S5_Ea_103_311	DTDPGLUCDEHYDRAT-RXN
S_S5_Ea_103_312	DTDPGLUCDEHYDRAT-RXN
S_S5_Ea_103_313	DTDPGLUCOSEPP-RXN
S_S5_Ea_103_314	BIOTINLIG-RXN
S_S5_Ea_103_315	HISTIDINE--TRNA-LIGASE-RXN
S_S5_Ea_103_316	RXN-13158
S_S5_Ea_103_316	RXN-14986
S_S5_Ea_103_317	PHOSGLYPHOS-RXN
S_S5_Ea_103_318	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S5_Ea_103_319	GART-RXN
S_S5_Ea_103_320	NMNAMIDOHYDRO-RXN
S_S5_Ea_103_321	RXN-14207
S_S5_Ea_103_321	PEPDEPHOS-RXN
S_S5_Ea_103_321	RXN-14117
S_S5_Ea_103_321	RXN-14192
S_S5_Ea_103_322	RXN-12460
S_S5_Ea_103_322	AMINOCYL-TRNA-HYDROLASE-RXN
S_S5_Ea_103_322	RXN-16637
S_S5_Ea_103_323	ALANINE--TRNA-LIGASE-RXN
S_S5_Ea_103_324	RXN-11633
S_S5_Ea_103_325	AIRS-RXN
S_S5_Ea_103_326	PRPPAMIDOTRANS-RXN
S_S5_Ea_103_327	P-PANTOCYSDECARB-RXN
S_S5_Ea_103_328	P-PANTOCYSLIG-RXN
S_S5_Ea_103_329	P-PANTOCYSLIG-RXN
S_S5_Ea_103_332	HISTIDPHOS-RXN
S_S5_Ea_103_333	GUANYL-KIN-RXN
S_S5_Ea_103_334	GUANYL-KIN-RXN
S_S5_Ea_103_335	2.3.1.180-RXN
S_S5_Ea_103_336	PANTEPADENYLYLTRAN-RXN
S_S5_Ea_103_337	GLUC1PURIDYLTRANS-RXN
S_S5_Ea_103_338	RXN-11047
S_S5_Ea_103_338	RXN-9217
S_S5_Ea_103_338	DMK-RXN
S_S5_Ea_103_338	RXN-9358
S_S5_Ea_103_338	RXN-9359
S_S5_Ea_103_338	RXN-9204
S_S5_Ea_103_338	RXN-9190
S_S5_Ea_103_338	RXN-9360
