S_S2_Bs_063_646	2.7.8.13
S_S2_Bs_063_647	6.3.2.10
S_S2_Bs_063_648	6.3.2.13
S_S2_Bs_063_649	2.1.1.199
S_S2_Bs_063_650	2.8.1.13
S_S2_Bs_063_651	1.1.1.100
S_S2_Bs_063_652	1.1.1.100
S_S2_Bs_063_653	1.1.1.100
S_S2_Bs_063_654	1.1.1.100
S_S2_Bs_063_655	1.1.1.100
S_S2_Bs_063_656	1.1.1.100
S_S2_Bs_063_657	1.1.1.100
S_S2_Bs_063_658	4.2.99.20
S_S2_Bs_063_659	1.4.3.16
S_S2_Bs_063_660	5.1.3.1
S_S2_Bs_063_661	5.1.3.1
S_S2_Bs_063_662	3.5.4.9
S_S2_Bs_063_663	6.3.4.2
S_S2_Bs_063_664	5.4.2.2
S_S2_Bs_063_665	6.1.1.1
S_S2_Bs_063_666	6.1.1.1
