S_S5_He_108_578	2.7.3.9
S_S5_He_108_579	6.3.3.2
S_S5_He_108_580	6.1.1.14
S_S5_He_108_581	1.1.1.22
S_S5_He_108_582	5.4.99.19
S_S5_He_108_583	3.6.3.21
S_S5_He_108_584	3.6.3.21
S_S5_He_108_585	3.6.3.21
S_S5_He_108_586	3.6.3.21
S_S5_He_108_587	1.2.1.38
S_S5_He_108_588	2.3.1.35
S_S5_He_108_589	5.3.1.16
S_S5_He_108_590	2.1.1.193
S_S5_He_108_591	1.5.1.3
S_S5_He_108_592	1.5.1.3
S_S5_He_108_593	2.7.1.50
S_S5_He_108_594	2.7.1.71
S_S5_He_108_595	2.7.1.71
S_S5_He_108_596	2.3.1.51
S_S5_He_108_597	2.3.1.51
S_S5_He_108_598	3.1.26.3
S_S5_He_108_599	2.1.1.198
S_S5_He_108_600	3.5.4.19
S_S5_He_108_601	3.2.2.28
S_S5_He_108_602	1.16.3.2
S_S5_He_108_603	6.3.5.1
S_S5_He_108_604	1.1.1.23
S_S5_He_108_605	2.7.7.87
S_S5_He_108_606	2.4.2.29
S_S5_He_108_607	2.1.1.33
S_S5_He_108_608	6.1.1.9
S_S5_He_108_609	5.4.2.12
S_S5_He_108_610	5.4.2.12
S_S5_He_108_611	2.2.1.7
S_S5_He_108_612	2.3.1.28
S_S5_He_108_613	2.3.1.28
S_S5_He_108_614	1.3.1.12
S_S5_He_108_615	3.5.4.12
S_S5_He_108_616	2.7.4.25
S_S5_He_108_617	2.7.4.25
S_S5_He_108_618	4.3.1.19
S_S5_He_108_619	2.6.1.59
S_S5_He_108_620	6.3.5.10
S_S5_He_108_621	2.7.8.26
S_S5_He_108_622	2.4.2.21
S_S5_He_108_623	6.3.1.10
S_S5_He_108_624	2.3.1.30
S_S5_He_108_625	2.3.1.30
S_S5_He_108_626	1.2.1.41
S_S5_He_108_627	2.7.2.11
S_S5_He_108_628	2.2.1.1
S_S5_He_108_629	2.2.1.1
S_S5_He_108_630	2.2.1.1
S_S5_He_108_631	2.2.1.1
S_S5_He_108_632	2.2.1.1
S_S5_He_108_633	2.2.1.1
S_S5_He_108_634	2.2.1.1
S_S5_He_108_635	2.2.1.1
S_S5_He_108_636	2.2.1.1
S_S5_He_108_637	2.2.1.1
S_S5_He_108_638	2.2.1.1
S_S5_He_108_639	2.2.1.1
S_S5_He_108_640	6.3.2.6
S_S5_He_108_641	3.5.4.28
S_S5_He_108_642	4.2.99.18
S_S5_He_108_643	4.2.99.18
S_S5_He_108_644	4.2.99.18
S_S5_He_108_645	4.2.99.18
S_S5_He_108_646	3.5.4.31
S_S5_He_108_647	6.3.4.5
S_S5_He_108_648	1.8.1.4
S_S5_He_108_649	1.8.1.4
S_S5_He_108_650	5.3.1.1
S_S5_He_108_651	5.3.1.1
S_S5_He_108_652	5.3.1.1
S_S5_He_108_653	2.1.1.14
S_S5_He_108_654	2.1.1.14
S_S5_He_108_655	2.1.1.14
S_S5_He_108_656	2.1.1.37
S_S5_He_108_657	2.1.1.37
S_S5_He_108_658	4.3.2.2
S_S5_He_108_659	4.3.2.2
S_S5_He_108_660	1.1.1.25
S_S5_He_108_661	1.1.1.25
S_S5_He_108_662	1.17.4.1
S_S5_He_108_663	1.17.4.1
S_S5_He_108_664	2.7.2.4
S_S5_He_108_665	2.7.2.4
S_S5_He_108_666	2.7.2.4
S_S5_He_108_667	1.1.1.3
S_S5_He_108_668	2.1.1.13
S_S5_He_108_669	2.1.1.13
S_S5_He_108_670	4.1.3.3
S_S5_He_108_671	3.4.11.4
S_S5_He_108_672	1.1.1.42
S_S5_He_108_673	2.7.7.8
S_S5_He_108_674	2.4.2.8
S_S5_He_108_675	2.3.1.183
S_S5_He_108_676	2.3.1.183
S_S5_He_108_677	4.2.1.59
S_S5_He_108_678	1.1.1.1
S_S5_He_108_679	1.1.1.1
S_S5_He_108_680	1.1.1.1
S_S5_He_108_681	6.1.1.17
S_S5_He_108_682	4.2.3.5
S_S5_He_108_683	2.5.1.7
S_S5_He_108_684	2.5.1.7
S_S5_He_108_685	2.7.9.1
S_S5_He_108_686	5.3.1.9
S_S5_He_108_687	5.3.1.9
S_S5_He_108_688	5.3.1.9
S_S5_He_108_689	1.5.1.2
S_S5_He_108_690	3.1.5.1
S_S5_He_108_691	3.1.5.1
S_S5_He_108_692	3.1.5.1
S_S5_He_108_693	5.4.99.12
S_S5_He_108_694	5.4.99.12
S_S5_He_108_695	2.7.7.18
S_S5_He_108_696	2.7.7.18
S_S5_He_108_697	6.3.3.3
S_S5_He_108_698	2.3.1.191
S_S5_He_108_699	2.3.1.191
S_S5_He_108_700	1.1.1.169
S_S5_He_108_701	1.1.1.169
S_S5_He_108_702	1.1.1.169
S_S5_He_108_703	6.3.4.3
S_S5_He_108_704	6.3.4.13
S_S5_He_108_705	3.1.3.83
S_S5_He_108_706	3.1.3.83
S_S5_He_108_707	3.1.3.82
S_S5_He_108_708	3.1.3.82
S_S5_He_108_709	5.3.1.28
S_S5_He_108_710	6.1.1.18
S_S5_He_108_711	2.1.1.192
S_S5_He_108_712	2.1.1.192
S_S5_He_108_713	3.2.2.20
S_S5_He_108_714	3.2.2.20
S_S5_He_108_715	2.3.1.57
S_S5_He_108_716	2.3.1.57
S_S5_He_108_717	2.6.1.62
S_S5_He_108_718	2.8.1.6
S_S5_He_108_719	2.8.1.6
S_S5_He_108_720	2.1.1.190
S_S5_He_108_721	2.1.1.190
S_S5_He_108_722	2.1.1.190
S_S5_He_108_723	6.1.1.15
S_S5_He_108_724	6.1.1.15
S_S5_He_108_725	2.1.1.297
S_S5_He_108_726	5.1.1.7
S_S5_He_108_727	5.1.1.7
S_S5_He_108_728	2.1.1.201
S_S5_He_108_729	2.1.1.163
