S_S2_Cc_069_615	3.1.26.11
S_S2_Cc_069_616	2.7.7.76
S_S2_Cc_069_617	2.7.8.41
S_S2_Cc_069_618	4.1.2.14
S_S2_Cc_069_619	4.1.2.14
S_S2_Cc_069_620	2.1.1.80
S_S2_Cc_069_621	2.7.1.45
S_S2_Cc_069_622	2.7.1.45
S_S2_Cc_069_623	3.1.1.61
S_S2_Cc_069_624	3.5.4.4
S_S2_Cc_069_625	4.1.3.42
S_S2_Cc_069_626	4.1.3.42
S_S2_Cc_069_627	2.7.1.35
S_S2_Cc_069_628	6.4.1.2
S_S2_Cc_069_629	6.4.1.2
S_S2_Cc_069_630	2.6.1.102
S_S2_Cc_069_631	2.6.1.83
S_S2_Cc_069_632	2.3.1.128
S_S2_Cc_069_633	2.3.1.128
S_S2_Cc_069_634	3.1.12.1
S_S2_Cc_069_635	2.7.7.27
S_S2_Cc_069_636	2.7.7.27
S_S2_Cc_069_637	2.7.7.27
S_S2_Cc_069_638	2.7.7.27
S_S2_Cc_069_639	4.2.3.3
S_S2_Cc_069_640	4.2.3.3
S_S2_Cc_069_641	1.1.1.38
S_S2_Cc_069_642	3.2.1.54
S_S2_Cc_069_643	3.2.1.54
S_S2_Cc_069_644	3.2.1.135
S_S2_Cc_069_645	3.2.1.135
S_S2_Cc_069_646	3.2.1.133
S_S2_Cc_069_647	3.2.1.133
S_S2_Cc_069_648	3.1.3.41
S_S2_Cc_069_649	1.15.1.2
S_S2_Cc_069_650	1.15.1.2
S_S2_Cc_069_651	5.1.2.1
S_S2_Cc_069_652	2.7.1.199
S_S2_Cc_069_653	4.2.1.6
S_S2_Cc_069_654	1.7.99.1
S_S2_Cc_069_655	1.7.99.1
S_S2_Cc_069_656	6.3.2.8
S_S2_Cc_069_657	6.3.4.21
S_S2_Cc_069_658	3.6.1.3
S_S2_Cc_069_659	4.2.1.5
S_S2_Cc_069_660	4.2.1.5
S_S2_Cc_069_661	2.7.7.85
S_S2_Cc_069_662	4.4.1.24
S_S2_Cc_069_663	1.21.98.3
S_S2_Cc_069_664	2.4.2.22
S_S2_Cc_069_665	5.3.1.17
S_S2_Cc_069_666	3.6.1.45
