S_S5_Ca_088_v1v9_383	EC:3.2.1.86
S_S5_Ca_088_v1v9_384	EC:3.2.1.86
S_S5_Ca_088_v1v9_385	EC:2.8.2.22
S_S5_Ca_088_v1v9_386	EC:2.7.1.15
S_S5_Ca_088_v1v9_387	EC:2.4.2.1
S_S5_Ca_088_v1v9_388	EC:3.4.22.70
S_S5_Ca_088_v1v9_389	EC:3.4.22.70
S_S5_Ca_088_v1v9_390	EC:3.2.2.1
S_S5_Ca_088_v1v9_391	EC:2.7.6.5
S_S5_Ca_088_v1v9_392	EC:3.5.1.18
S_S5_Ca_088_v1v9_393	EC:3.5.1.18
S_S5_Ca_088_v1v9_394	EC:3.2.1.172
S_S5_Ca_088_v1v9_395	EC:3.4.13.9
S_S5_Ca_088_v1v9_396	EC:1.3.1.14
S_S5_Ca_088_v1v9_397	EC:5.1.3.13
S_S5_Ca_088_v1v9_398	EC:5.1.3.13
S_S5_Ca_088_v1v9_399	EC:2.7.1.211
S_S5_Ca_088_v1v9_400	EC:2.6.1.16
S_S5_Ca_088_v1v9_401	EC:3.6.3.3
S_S5_Ca_088_v1v9_402	EC:3.6.3.3
S_S5_Ca_088_v1v9_403	EC:3.6.3.5
S_S5_Ca_088_v1v9_404	EC:3.6.3.5
S_S5_Ca_088_v1v9_405	EC:2.7.1.30
S_S5_Ca_088_v1v9_406	EC:5.4.2.10
S_S5_Ca_088_v1v9_407	EC:5.4.2.10
S_S5_Ca_088_v1v9_408	EC:5.4.99.9
S_S5_Ca_088_v1v9_409	EC:5.4.99.9
S_S5_Ca_088_v1v9_410	EC:3.6.3.40
S_S5_Ca_088_v1v9_411	EC:3.5.4.2
S_S5_Ca_088_v1v9_412	EC:5.3.1.6
S_S5_Ca_088_v1v9_413	EC:5.3.1.6
S_S5_Ca_088_v1v9_414	EC:3.2.1.26
S_S5_Ca_088_v1v9_415	EC:3.2.1.26
S_S5_Ca_088_v1v9_416	EC:1.1.1.69
S_S5_Ca_088_v1v9_417	EC:2.7.1.24
S_S5_Ca_088_v1v9_418	EC:2.5.1.17
S_S5_Ca_088_v1v9_419	EC:1.1.1.27
S_S5_Ca_088_v1v9_420	EC:1.1.1.27
S_S5_Ca_088_v1v9_421	EC:1.2.1.10
S_S5_Ca_088_v1v9_422	EC:2.7.2.2
S_S5_Ca_088_v1v9_423	EC:2.7.2.2
S_S5_Ca_088_v1v9_424	EC:2.7.8.41
S_S5_Ca_088_v1v9_425	EC:4.1.2.14
S_S5_Ca_088_v1v9_426	EC:2.7.1.45
