S_S2_Bs_063_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_v1v9_141	3.1.3.16-RXN
S_S2_Bs_063_v1v9_142	3.1.3.16-RXN
S_S2_Bs_063_v1v9_143	2.7.8.12-RXN
S_S2_Bs_063_v1v9_143	TEICHOICSYN4-RXN
S_S2_Bs_063_v1v9_144	RXN-16024
S_S2_Bs_063_v1v9_144	RXN-16117
S_S2_Bs_063_v1v9_144	RXN-10462
S_S2_Bs_063_v1v9_144	RXN-13805
S_S2_Bs_063_v1v9_144	RXN-1381
S_S2_Bs_063_v1v9_144	RXN-15045
S_S2_Bs_063_v1v9_145	RXN-16024
S_S2_Bs_063_v1v9_145	RXN-16117
S_S2_Bs_063_v1v9_145	RXN-10462
S_S2_Bs_063_v1v9_145	RXN-13805
S_S2_Bs_063_v1v9_145	RXN-1381
S_S2_Bs_063_v1v9_145	RXN-15045
S_S2_Bs_063_v1v9_146	THI-P-SYN-RXN
S_S2_Bs_063_v1v9_146	RXN-12610
S_S2_Bs_063_v1v9_146	RXN-12611
S_S2_Bs_063_v1v9_147	MALTACETYLTRAN-RXN
S_S2_Bs_063_v1v9_148	MALTACETYLTRAN-RXN
S_S2_Bs_063_v1v9_149	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_150	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_151	GLUCUROISOM-RXN
S_S2_Bs_063_v1v9_151	GALACTUROISOM-RXN
S_S2_Bs_063_v1v9_152	ADCLY-RXN
S_S2_Bs_063_v1v9_153	RXN-14971
S_S2_Bs_063_v1v9_153	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_S2_Bs_063_v1v9_153	RXN-15378
S_S2_Bs_063_v1v9_154	RXN-14971
S_S2_Bs_063_v1v9_154	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_S2_Bs_063_v1v9_154	RXN-15378
S_S2_Bs_063_v1v9_155	ABC-9-RXN
S_S2_Bs_063_v1v9_155	ABC-10-RXN
S_S2_Bs_063_v1v9_155	3.6.3.34-RXN
S_S2_Bs_063_v1v9_155	ABC-11-RXN
S_S2_Bs_063_v1v9_156	ABC-9-RXN
S_S2_Bs_063_v1v9_156	ABC-10-RXN
S_S2_Bs_063_v1v9_156	3.6.3.34-RXN
S_S2_Bs_063_v1v9_156	ABC-11-RXN
S_S2_Bs_063_v1v9_157	ABC-9-RXN
S_S2_Bs_063_v1v9_157	ABC-10-RXN
S_S2_Bs_063_v1v9_157	3.6.3.34-RXN
S_S2_Bs_063_v1v9_157	ABC-11-RXN
S_S2_Bs_063_v1v9_158	ABC-9-RXN
S_S2_Bs_063_v1v9_158	ABC-10-RXN
S_S2_Bs_063_v1v9_158	3.6.3.34-RXN
S_S2_Bs_063_v1v9_158	ABC-11-RXN
S_S2_Bs_063_v1v9_159	ABC-9-RXN
S_S2_Bs_063_v1v9_159	ABC-10-RXN
S_S2_Bs_063_v1v9_159	3.6.3.34-RXN
S_S2_Bs_063_v1v9_159	ABC-11-RXN
S_S2_Bs_063_v1v9_160	ABC-9-RXN
S_S2_Bs_063_v1v9_160	ABC-10-RXN
S_S2_Bs_063_v1v9_160	3.6.3.34-RXN
S_S2_Bs_063_v1v9_160	ABC-11-RXN
S_S2_Bs_063_v1v9_161	DALADALALIG-RXN
S_S2_Bs_063_v1v9_162	5.99.1.3-RXN
S_S2_Bs_063_v1v9_163	5.99.1.3-RXN
S_S2_Bs_063_v1v9_164	RXN-13163
S_S2_Bs_063_v1v9_165	RXN-13163
S_S2_Bs_063_v1v9_166	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Bs_063_v1v9_166	RXN-12729
S_S2_Bs_063_v1v9_167	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Bs_063_v1v9_167	RXN-12729
S_S2_Bs_063_v1v9_168	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Bs_063_v1v9_168	RXN-12729
S_S2_Bs_063_v1v9_169	SULFOCYS-RXN
S_S2_Bs_063_v1v9_169	RXN-12726
S_S2_Bs_063_v1v9_169	ACSERLY-RXN
S_S2_Bs_063_v1v9_170	SULFOCYS-RXN
S_S2_Bs_063_v1v9_170	RXN-12726
S_S2_Bs_063_v1v9_170	ACSERLY-RXN
S_S2_Bs_063_v1v9_171	SULFOCYS-RXN
S_S2_Bs_063_v1v9_171	RXN-12726
S_S2_Bs_063_v1v9_171	ACSERLY-RXN
S_S2_Bs_063_v1v9_172	OHMETPYRKIN-RXN
S_S2_Bs_063_v1v9_173	OHMETPYRKIN-RXN
S_S2_Bs_063_v1v9_174	PYRIMSYN3-RXN
S_S2_Bs_063_v1v9_175	PYRIMSYN3-RXN
S_S2_Bs_063_v1v9_176	PYRIMSYN1-RXN
S_S2_Bs_063_v1v9_177	GLUTAMINESYN-RXN
S_S2_Bs_063_v1v9_178	ADENPRIBOSYLTRAN-RXN
S_S2_Bs_063_v1v9_178	RXN-14270
S_S2_Bs_063_v1v9_179	ADENYL-KIN-RXN
S_S2_Bs_063_v1v9_180	3.4.21.89-RXN
S_S2_Bs_063_v1v9_181	3.4.21.89-RXN
S_S2_Bs_063_v1v9_182	3.4.21.89-RXN
S_S2_Bs_063_v1v9_183	3.4.21.89-RXN
S_S2_Bs_063_v1v9_184	3.4.21.89-RXN
S_S2_Bs_063_v1v9_185	RXN-15881
S_S2_Bs_063_v1v9_185	RXN-14384
S_S2_Bs_063_v1v9_185	RXN-14385
S_S2_Bs_063_v1v9_185	RXN-14386
S_S2_Bs_063_v1v9_185	RXN-12587
S_S2_Bs_063_v1v9_185	RXN-9787
S_S2_Bs_063_v1v9_185	RXN-12588
S_S2_Bs_063_v1v9_185	RXN0-308
S_S2_Bs_063_v1v9_186	RXN-15881
S_S2_Bs_063_v1v9_186	RXN-14384
S_S2_Bs_063_v1v9_186	RXN-14385
S_S2_Bs_063_v1v9_186	RXN-14386
S_S2_Bs_063_v1v9_186	RXN-12587
S_S2_Bs_063_v1v9_186	RXN-9787
S_S2_Bs_063_v1v9_186	RXN-12588
S_S2_Bs_063_v1v9_186	RXN0-308
S_S2_Bs_063_v1v9_187	RXN-15881
S_S2_Bs_063_v1v9_187	RXN-14384
S_S2_Bs_063_v1v9_187	RXN-14385
S_S2_Bs_063_v1v9_187	RXN-14386
S_S2_Bs_063_v1v9_187	RXN-12587
S_S2_Bs_063_v1v9_187	RXN-9787
S_S2_Bs_063_v1v9_187	RXN-12588
S_S2_Bs_063_v1v9_187	RXN0-308
S_S2_Bs_063_v1v9_188	RXN-15881
S_S2_Bs_063_v1v9_188	RXN-14384
S_S2_Bs_063_v1v9_188	RXN-14385
S_S2_Bs_063_v1v9_188	RXN-14386
S_S2_Bs_063_v1v9_188	RXN-12587
