"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","NS6_PPV","NS6_TP","NS6_FP","NS6_Total_ASVs","NS6_Unique_taxa","NS6_Taxa_with_no_species_before_filtering","NS6_Taxa_with_no_species_after_filtering"
450,400,0.001,35,1,98.6301369863014,72,1,73,28,36,0
450,400,0.005,35,1,98.6301369863014,72,1,73,28,36,0
450,400,0.01,35,1,98.6301369863014,72,1,73,28,36,0
450,400,0.05,35,2,100,71,0,71,27,36,0
450,400,0.1,35,4,100,62,0,62,24,36,0
450,400,0.15,35,6,100,59,0,59,24,36,0
450,400,0.2,35,7,100,55,0,55,24,36,0
500,200,0.001,35,1,98.6111111111111,71,1,72,28,36,0
500,200,0.005,35,1,98.6111111111111,71,1,72,28,36,0
500,200,0.01,35,1,98.6111111111111,71,1,72,28,36,0
500,200,0.05,35,2,100,70,0,70,27,36,0
500,200,0.1,35,4,100,61,0,61,24,36,0
500,200,0.15,35,6,100,58,0,58,24,36,0
500,200,0.2,35,7,100,54,0,54,24,36,0
500,250,0.001,35,1,98.6111111111111,71,1,72,28,36,0
500,250,0.005,35,1,98.6111111111111,71,1,72,28,36,0
500,250,0.01,35,1,98.6111111111111,71,1,72,28,36,0
500,250,0.05,35,2,100,70,0,70,27,36,0
500,250,0.1,35,4,100,61,0,61,24,36,0
500,250,0.15,35,6,100,58,0,58,24,36,0
500,250,0.2,35,7,100,54,0,54,24,36,0
500,300,0.001,35,1,98.6111111111111,71,1,72,28,36,0
500,300,0.005,35,1,98.6111111111111,71,1,72,28,36,0
500,300,0.01,35,1,98.6111111111111,71,1,72,28,36,0
500,300,0.05,35,2,100,70,0,70,27,36,0
500,300,0.1,35,4,100,61,0,61,24,36,0
500,300,0.15,35,6,100,58,0,58,24,36,0
500,300,0.2,35,7,100,54,0,54,24,36,0
500,350,0.001,35,1,98.6111111111111,71,1,72,28,36,0
500,350,0.005,35,1,98.6111111111111,71,1,72,28,36,0
500,350,0.01,35,1,98.6111111111111,71,1,72,28,36,0
500,350,0.05,35,2,100,70,0,70,27,36,0
500,350,0.1,35,4,100,61,0,61,24,36,0
500,350,0.15,35,6,100,58,0,58,24,36,0
500,350,0.2,35,7,100,54,0,54,24,36,0
500,400,0.001,35,1,98.6111111111111,71,1,72,28,36,0
500,400,0.005,35,1,98.6111111111111,71,1,72,28,36,0
500,400,0.01,35,1,98.6111111111111,71,1,72,28,36,0
500,400,0.05,35,2,100,70,0,70,27,36,0
500,400,0.1,35,4,100,61,0,61,24,36,0
500,400,0.15,35,6,100,58,0,58,24,36,0
500,400,0.2,35,7,100,54,0,54,24,36,0
550,200,0.001,35,1,98.5074626865672,66,1,67,28,36,0
550,200,0.005,35,1,98.5074626865672,66,1,67,28,36,0
550,200,0.01,35,1,98.5074626865672,66,1,67,28,36,0
550,200,0.05,35,2,100,66,0,66,27,36,0
550,200,0.1,35,4,100,57,0,57,24,36,0
550,200,0.15,35,6,100,55,0,55,24,36,0
550,200,0.2,35,7,100,52,0,52,24,36,0
550,250,0.001,35,1,98.5074626865672,66,1,67,28,36,0
550,250,0.005,35,1,98.5074626865672,66,1,67,28,36,0
550,250,0.01,35,1,98.5074626865672,66,1,67,28,36,0
550,250,0.05,35,2,100,66,0,66,27,36,0
550,250,0.1,35,4,100,57,0,57,24,36,0
550,250,0.15,35,6,100,55,0,55,24,36,0
550,250,0.2,35,7,100,52,0,52,24,36,0
550,300,0.001,35,1,98.5074626865672,66,1,67,28,36,0
550,300,0.005,35,1,98.5074626865672,66,1,67,28,36,0
550,300,0.01,35,1,98.5074626865672,66,1,67,28,36,0
550,300,0.05,35,2,100,66,0,66,27,36,0
550,300,0.1,35,4,100,57,0,57,24,36,0
550,300,0.15,35,6,100,55,0,55,24,36,0
550,300,0.2,35,7,100,52,0,52,24,36,0
550,350,0.001,35,1,98.5074626865672,66,1,67,28,36,0
550,350,0.005,35,1,98.5074626865672,66,1,67,28,36,0
550,350,0.01,35,1,98.5074626865672,66,1,67,28,36,0
550,350,0.05,35,2,100,66,0,66,27,36,0
550,350,0.1,35,4,100,57,0,57,24,36,0
550,350,0.15,35,6,100,55,0,55,24,36,0
550,350,0.2,35,7,100,52,0,52,24,36,0
550,400,0.001,35,1,98.5074626865672,66,1,67,28,36,0
550,400,0.005,35,1,98.5074626865672,66,1,67,28,36,0
550,400,0.01,35,1,98.5074626865672,66,1,67,28,36,0
550,400,0.05,35,2,100,66,0,66,27,36,0
550,400,0.1,35,4,100,57,0,57,24,36,0
550,400,0.15,35,6,100,55,0,55,24,36,0
550,400,0.2,35,7,100,52,0,52,24,36,0
600,200,0.001,35,1,98.4848484848485,65,1,66,28,36,0
600,200,0.005,35,1,98.4848484848485,65,1,66,28,36,0
600,200,0.01,35,1,98.4848484848485,65,1,66,28,36,0
600,200,0.05,35,2,100,65,0,65,27,36,0
600,200,0.1,35,4,100,57,0,57,24,36,0
600,200,0.15,35,6,100,55,0,55,24,36,0
600,200,0.2,35,7,100,52,0,52,24,36,0
600,250,0.001,35,1,98.4848484848485,65,1,66,28,36,0
600,250,0.005,35,1,98.4848484848485,65,1,66,28,36,0
600,250,0.01,35,1,98.4848484848485,65,1,66,28,36,0
600,250,0.05,35,2,100,65,0,65,27,36,0
600,250,0.1,35,4,100,57,0,57,24,36,0
600,250,0.15,35,6,100,55,0,55,24,36,0
600,250,0.2,35,7,100,52,0,52,24,36,0
600,300,0.001,35,1,98.4848484848485,65,1,66,28,36,0
600,300,0.005,35,1,98.4848484848485,65,1,66,28,36,0
600,300,0.01,35,1,98.4848484848485,65,1,66,28,36,0
600,300,0.05,35,2,100,65,0,65,27,36,0
600,300,0.1,35,4,100,57,0,57,24,36,0
600,300,0.15,35,6,100,55,0,55,24,36,0
600,300,0.2,35,7,100,52,0,52,24,36,0
600,350,0.001,35,1,98.4848484848485,65,1,66,28,36,0
600,350,0.005,35,1,98.4848484848485,65,1,66,28,36,0
600,350,0.01,35,1,98.4848484848485,65,1,66,28,36,0
600,350,0.05,35,2,100,65,0,65,27,36,0
600,350,0.1,35,4,100,57,0,57,24,36,0
600,350,0.15,35,6,100,55,0,55,24,36,0
600,350,0.2,35,7,100,52,0,52,24,36,0
600,400,0.001,35,1,98.4848484848485,65,1,66,28,36,0
600,400,0.005,35,1,98.4848484848485,65,1,66,28,36,0
600,400,0.01,35,1,98.4848484848485,65,1,66,28,36,0
600,400,0.05,35,2,100,65,0,65,27,36,0
600,400,0.1,35,4,100,57,0,57,24,36,0
600,400,0.15,35,6,100,55,0,55,24,36,0
600,400,0.2,35,7,100,52,0,52,24,36,0
