	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
71	GOLPDLCAT-PWY	Week_and_consortia	NS1_w9w10	0.797670700364613	0.0584808862790238	72	72	2.14918197630734e-21	9.13402339930621e-21	GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways			
72	P124-PWY	Week_and_consortia	NS1_w9w10	-1.0480841886291	0.0773030083348027	72	72	2.9207365534415802e-21	1.22430874705907e-20	P124-PWY	Bifidobacterium shunt // Bifidum fermentation // Bifidum pathway // fructose 6-phosphate pathway // Bifidum shunt // glucose fermentation to lactate (Bifidobacteria) // glucose fermentation to lactic acid (Bifidobacteria)	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
73	PWY-6353	Week_and_consortia	NS1_w9w10	0.636628480431539	0.0480494419874541	72	72	9.37573528472143e-21	3.8769932393577805e-20	PWY-6353	purine nucleotides degradation II (aerobic) // purine nucleotides catabolism	Degradation/utilization/assimilation	Superpathways					
74	P122-PWY	Week_and_consortia	NS1_w9w10	-0.982835553056451	0.0745593187636155	72	72	1.21197193204838e-20	4.9448454827573904e-20	P122-PWY	heterolactic fermentation // lactate heterofermentation // glucose fermentation to lactate // phosphoketolase pathway // lactic acid heterofermentation // glucose fermentation to lactic acid	Generation of precursor metabolites and energy						
75	PWY-6387	Week_and_consortia	NS1_w9w10	0.229475631405341	0.0174680991972845	72	72	1.4390658491262902e-20	5.79413355042954e-20	PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Biosynthesis						
76	PWY0-41	Week_and_consortia	NS1_w9w10	1.67591801822441	0.128230388484476	72	72	1.86014684244008e-20	7.39227186735928e-20	PWY0-41	allantoin degradation IV (anaerobic)	Degradation/utilization/assimilation	Superpathways					
77	ASPASN-PWY	Week_and_consortia	NS1_w9w10	0.479560644945105	0.0381234614895853	72	72	1.22971979734023e-19	4.82428535879629e-19	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis // Interconversion of L-aspartate and L-asparagine	Superpathways	Biosynthesis	Amino acid biosynthesis				
78	HOMOSER-METSYN-PWY	Week_and_consortia	NS1_w9w10	0.350222959938395	0.0280641117424385	72	72	1.8123209941671601e-19	7.019876255888e-19	HOMOSER-METSYN-PWY	L-methionine biosynthesis I // L-methionine biosynthesis from L-homoserine // L-methionine biosynthesis by transsulfuration	Biosynthesis						
79	P108-PWY	Week_and_consortia	NS1_w9w10	0.153938925525761	0.0123964715559605	72	72	2.3025394471725302e-19	8.807213385434941e-19	P108-PWY	pyruvate fermentation to propanoate I // succinate-propionate fermentation pathway // pyruvate fermentation to propionate I // succinate-propanoate fermentation pathway // pyruvic acid fermentation to propanoic acid I	Generation of precursor metabolites and energy						
80	GLUCONEO-PWY	Week_and_consortia	NS1_w9w10	0.0790130296480877	0.0063772929662372	72	72	2.57062214939457e-19	9.59280948432609e-19	GLUCONEO-PWY	gluconeogenesis I	Biosynthesis						
81	PWY-6892	Week_and_consortia	NS1_w9w10	0.28961198549099	0.023371602029878	72	72	2.55187606531339e-19	9.59280948432609e-19	PWY-6892	thiazole component of thiamine diphosphate biosynthesis I // (<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis	Biosynthesis						
82	PWY-6147	Week_and_consortia	NS1_w9w10	0.353204693326092	0.0295121662262541	72	72	1.3480007623569e-18	4.96973775037605e-18	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	Biosynthesis						
83	PWY0-862	Week_and_consortia	NS1_w9w10	-0.741066669666102	0.0622923875153054	72	72	1.78924940697745e-18	6.51797998256072e-18	PWY0-862	(5Z)-dodecenoate biosynthesis I // (5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I	Biosynthesis						
84	PWY-6282	Week_and_consortia	NS1_w9w10	-0.749000741926917	0.0635666287739563	72	72	2.8096304563275897e-18	1.0114669642779301e-17	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)	Biosynthesis						
85	PWY-7539	Week_and_consortia	NS1_w9w10	0.383611603038141	0.0328307458077673	72	72	4.1575783355148005e-18	1.47932438449713e-17	PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	Biosynthesis						
86	PYRIDNUCSAL-PWY	Week_and_consortia	NS1_w9w10	0.162956360579373	0.014042020505297	72	72	5.7133744061941894e-18	2.00953168769589e-17	PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle) // pyridine nucleotide cycling // nicotinamide adenine dinucleotide salvage	Biosynthesis						
87	PWY-7664	Week_and_consortia	NS1_w9w10	-0.678308352390086	0.0587500563801519	72	72	7.24148408302498e-18	2.5180615106882302e-17	PWY-7664	oleate biosynthesis IV (anaerobic) // <i>cis</i>-7-hexadecenoate biosynthesis // <i>cis</i>-9-octadecenoate biosynthesis // (7<i>Z</i>)-hexadec-7-enoate biosynthesis // (9<i>Z</i>)-octadec-9-enoate biosynthesis // (7<i>Z</i>)-hexadecenoate biosynthesis // (9<i>Z</i>)-octadecenoate biosynthesis	Biosynthesis						
88	PWYG-321	Week_and_consortia	NS1_w9w10	-0.672082133759629	0.0582291048850851	72	72	7.347567048989239e-18	2.52624215392214e-17	PWYG-321	mycolate biosynthesis	Biosynthesis						
89	PWY-7228	Week_and_consortia	NS1_w9w10	-0.282248778042756	0.024838463370159	72	72	1.50527058835758e-17	5.1179200004157904e-17	PWY-7228	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
90	PWY-5941	Week_and_consortia	NS1_w9w10	0.418493103938894	0.0371785328151496	72	72	2.31743628122875e-17	7.792697824791171e-17	PWY-5941	glycogen degradation II // glycogenolysis II	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation	Glycan pathways			
