Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
3997R_S2_L_Male_week5_S73_L001_R2_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 10.0)	(20.0, 54.0)	(21.0, 201.0)	(22.0, 316.0)	(23.0, 446.0)	(24.0, 524.0)	(25.0, 681.0)	(26.0, 936.0)	(27.0, 1372.0)	(28.0, 1818.0)	(29.0, 2664.0)	(30.0, 3779.0)	(31.0, 5573.0)	(32.0, 8400.0)	(33.0, 13193.0)	(34.0, 19726.0)	(35.0, 24025.0)	(36.0, 17166.0)	(37.0, 1646.0)			
3997R_S2_L_Male_week9_S87_L001_R1_001	(17.0, 2.0)	(18.0, 7.0)	(19.0, 21.0)	(20.0, 56.0)	(21.0, 137.0)	(22.0, 227.0)	(23.0, 441.0)	(24.0, 671.0)	(25.0, 1117.0)	(26.0, 1801.0)	(27.0, 2459.0)	(28.0, 3219.0)	(29.0, 3659.0)	(30.0, 4177.0)	(31.0, 4639.0)	(32.0, 5642.0)	(33.0, 7063.0)	(34.0, 9373.0)	(35.0, 13928.0)	(36.0, 24651.0)	(37.0, 101725.0)	(38.0, 1.0)				
3997R_S2_L_Male_week9_S87_L001_R2_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 7.0)	(19.0, 18.0)	(20.0, 96.0)	(21.0, 336.0)	(22.0, 674.0)	(23.0, 892.0)	(24.0, 1149.0)	(25.0, 1462.0)	(26.0, 1904.0)	(27.0, 2899.0)	(28.0, 4414.0)	(29.0, 6425.0)	(30.0, 8863.0)	(31.0, 12637.0)	(32.0, 18254.0)	(33.0, 26743.0)	(34.0, 35951.0)	(35.0, 38011.0)	(36.0, 22621.0)	(37.0, 1655.0)		
3997R_S2_R_Male_week5_S74_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 6.0)	(19.0, 8.0)	(20.0, 46.0)	(21.0, 100.0)	(22.0, 197.0)	(23.0, 305.0)	(24.0, 535.0)	(25.0, 955.0)	(26.0, 1573.0)	(27.0, 2272.0)	(28.0, 2741.0)	(29.0, 3286.0)	(30.0, 3805.0)	(31.0, 4172.0)	(32.0, 5154.0)	(33.0, 6356.0)	(34.0, 8571.0)	(35.0, 12511.0)	(36.0, 22511.0)	(37.0, 97373.0)	(38.0, 1.0)			
3997R_S2_R_Male_week5_S74_L001_R2_001	(15.0, 2.0)	(16.0, 4.0)	(17.0, 5.0)	(18.0, 6.0)	(19.0, 12.0)	(20.0, 76.0)	(21.0, 320.0)	(22.0, 671.0)	(23.0, 833.0)	(24.0, 922.0)	(25.0, 1201.0)	(26.0, 1666.0)	(27.0, 2436.0)	(28.0, 3595.0)	(29.0, 5159.0)	(30.0, 7338.0)	(31.0, 10642.0)	(32.0, 15957.0)	(33.0, 23315.0)	(34.0, 32737.0)	(35.0, 36805.0)	(36.0, 25861.0)	(37.0, 2916.0)			
3997R_S2_R_Male_week9_S88_L001_R1_001	(17.0, 3.0)	(18.0, 2.0)	(19.0, 11.0)	(20.0, 26.0)	(21.0, 49.0)	(22.0, 86.0)	(23.0, 180.0)	(24.0, 334.0)	(25.0, 582.0)	(26.0, 1010.0)	(27.0, 1541.0)	(28.0, 1811.0)	(29.0, 2072.0)	(30.0, 2431.0)	(31.0, 2811.0)	(32.0, 3343.0)	(33.0, 4203.0)	(34.0, 5766.0)	(35.0, 8245.0)	(36.0, 14743.0)	(37.0, 57403.0)					
3997R_S2_R_Male_week9_S88_L001_R2_001	(16.0, 1.0)	(17.0, 4.0)	(18.0, 3.0)	(19.0, 7.0)	(20.0, 59.0)	(21.0, 220.0)	(22.0, 373.0)	(23.0, 510.0)	(24.0, 614.0)	(25.0, 748.0)	(26.0, 1142.0)	(27.0, 1643.0)	(28.0, 2280.0)	(29.0, 3363.0)	(30.0, 4729.0)	(31.0, 7153.0)	(32.0, 10622.0)	(33.0, 15630.0)	(34.0, 20895.0)	(35.0, 21524.0)	(36.0, 13826.0)	(37.0, 1306.0)				
NS1_mouse_inoculum_S35_L001_R1_001	(16.0, 1.0)	(17.0, 6.0)	(18.0, 7.0)	(19.0, 9.0)	(20.0, 49.0)	(21.0, 119.0)	(22.0, 220.0)	(23.0, 397.0)	(24.0, 640.0)	(25.0, 998.0)	(26.0, 1514.0)	(27.0, 1935.0)	(28.0, 2588.0)	(29.0, 2914.0)	(30.0, 3379.0)	(31.0, 3577.0)	(32.0, 4436.0)	(33.0, 5156.0)	(34.0, 7011.0)	(35.0, 9645.0)	(36.0, 17135.0)	(37.0, 65924.0)				
NS1_mouse_inoculum_S35_L001_R2_001	(15.0, 2.0)	(16.0, 2.0)	(17.0, 6.0)	(18.0, 4.0)	(19.0, 11.0)	(20.0, 91.0)	(21.0, 348.0)	(22.0, 492.0)	(23.0, 637.0)	(24.0, 804.0)	(25.0, 1030.0)	(26.0, 1410.0)	(27.0, 1947.0)	(28.0, 2930.0)	(29.0, 4289.0)	(30.0, 6189.0)	(31.0, 8722.0)	(32.0, 12219.0)	(33.0, 17356.0)	(34.0, 24172.0)	(35.0, 26837.0)	(36.0, 16920.0)	(37.0, 1242.0)			
Positive_Control_S89_L001_R1_001	(17.0, 3.0)	(18.0, 5.0)	(19.0, 13.0)	(20.0, 26.0)	(21.0, 89.0)	(22.0, 231.0)	(23.0, 363.0)	(24.0, 746.0)	(25.0, 1203.0)	(26.0, 1972.0)	(27.0, 2965.0)	(28.0, 3833.0)	(29.0, 4501.0)	(30.0, 4757.0)	(31.0, 5382.0)	(32.0, 6031.0)	(33.0, 7204.0)	(34.0, 8927.0)	(35.0, 12452.0)	(36.0, 21406.0)	(37.0, 63024.0)					
Positive_Control_S89_L001_R2_001	(15.0, 1.0)	(16.0, 4.0)	(17.0, 6.0)	(18.0, 4.0)	(19.0, 16.0)	(20.0, 85.0)	(21.0, 321.0)	(22.0, 664.0)	(23.0, 780.0)	(24.0, 996.0)	(25.0, 1204.0)	(26.0, 1582.0)	(27.0, 2401.0)	(28.0, 3790.0)	(29.0, 5829.0)	(30.0, 8326.0)	(31.0, 11608.0)	(32.0, 15570.0)	(33.0, 21046.0)	(34.0, 27641.0)	(35.0, 27851.0)	(36.0, 14742.0)	(37.0, 666.0)			
S2_mouse_inoculum_S36_L001_R1_001	(17.0, 3.0)	(18.0, 10.0)	(19.0, 22.0)	(20.0, 53.0)	(21.0, 173.0)	(22.0, 332.0)	(23.0, 457.0)	(24.0, 805.0)	(25.0, 1271.0)	(26.0, 1970.0)	(27.0, 2793.0)	(28.0, 3422.0)	(29.0, 3981.0)	(30.0, 4501.0)	(31.0, 5035.0)	(32.0, 6023.0)	(33.0, 7300.0)	(34.0, 9610.0)	(35.0, 13781.0)	(36.0, 23764.0)	(37.0, 89360.0)	(38.0, 1.0)				
S2_mouse_inoculum_S36_L001_R2_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 7.0)	(18.0, 7.0)	(19.0, 13.0)	(20.0, 103.0)	(21.0, 402.0)	(22.0, 637.0)	(23.0, 827.0)	(24.0, 992.0)	(25.0, 1322.0)	(26.0, 1793.0)	(27.0, 2561.0)	(28.0, 3562.0)	(29.0, 5246.0)	(30.0, 7715.0)	(31.0, 11546.0)	(32.0, 16562.0)	(33.0, 24412.0)	(34.0, 33041.0)	(35.0, 37453.0)	(36.0, 24498.0)	(37.0, 1965.0)			
negative_ctrl_S90_L001_R1_001	(17.0, 1.0)	(18.0, 0.0)	(19.0, 5.0)	(20.0, 33.0)	(21.0, 65.0)	(22.0, 114.0)	(23.0, 121.0)	(24.0, 181.0)	(25.0, 282.0)	(26.0, 419.0)	(27.0, 639.0)	(28.0, 719.0)	(29.0, 786.0)	(30.0, 895.0)	(31.0, 1081.0)	(32.0, 1245.0)	(33.0, 1570.0)	(34.0, 2049.0)	(35.0, 2875.0)	(36.0, 4879.0)	(37.0, 8410.0)					
negative_ctrl_S90_L001_R2_001	(18.0, 1.0)	(19.0, 1.0)	(20.0, 16.0)	(21.0, 76.0)	(22.0, 107.0)	(23.0, 145.0)	(24.0, 190.0)	(25.0, 214.0)	(26.0, 344.0)	(27.0, 456.0)	(28.0, 772.0)	(29.0, 1109.0)	(30.0, 1669.0)	(31.0, 2304.0)	(32.0, 3363.0)	(33.0, 4724.0)	(34.0, 5490.0)	(35.0, 4146.0)	(36.0, 1212.0)	(37.0, 30.0)						
