Unique	Level 1	Level 2	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
NUCLEO-DEG	Degradation/utilization/assimilation	Nucleoside and nucleotide degradation	NA	NA	NA	NA	NA	NA
NUCLEO-DEG // Amino-Acid-Biosynthesis	Degradation/utilization/assimilation	Nucleoside and nucleotide degradation	Biosynthesis	Amino acid biosynthesis	NA	NA	NA	NA
NUCLEO-DEG // Energy-Metabolism	Degradation/utilization/assimilation	Nucleoside and nucleotide degradation	Generation of precursor metabolites and energy	NA	NA	NA	NA	NA
NUCLEO-DEG // Metabolic-Clusters	Degradation/utilization/assimilation	Nucleoside and nucleotide degradation	Metabolic clusters	NA	NA	NA	NA	NA
NUCLEO-DEG // Nucleotide-Biosynthesis	Degradation/utilization/assimilation	Nucleoside and nucleotide degradation	Biosynthesis	Nucleoside and nucleotide biosynthesis	NA	NA	NA	NA
NUCLEO-DEG // Super-Pathways	Degradation/utilization/assimilation	Nucleoside and nucleotide degradation	Superpathways	NA	NA	NA	NA	NA
Nucleotide-Alditols-Biosynthesis	Biosynthesis	Nucleotide-alditol biosynthesis	NA	NA	NA	NA	NA	NA
Nucleotide-Biosynthesis	Biosynthesis	Nucleoside and nucleotide biosynthesis	NA	NA	NA	NA	NA	NA
Other-biosynthesis	Biosynthesis	Other biosynthesis	NA	NA	NA	NA	NA	NA
Other-biosynthesis // Polyamine-Biosynthesis	Biosynthesis	Other biosynthesis	Biosynthesis	"Amide, amidine, amine, and polyamine biosynthesis"	NA	NA	NA	NA
Other-Degradation	Degradation/utilization/assimilation	Other degradation	NA	NA	NA	NA	NA	NA
Other-Degradation // Super-Pathways	Degradation/utilization/assimilation	Other degradation	NA	NA	NA	NA	NA	NA
Polyamine-Biosynthesis	Biosynthesis	"Amide, amidine, amine, and polyamine biosynthesis"	NA	NA	NA	NA	NA	NA
Polyamine-Biosynthesis // Metabolic-Regulators	Biosynthesis	"Amide, amidine, amine, and polyamine biosynthesis"	Biosynthesis	Metabolic regulator biosynthesis	NA	NA	NA	NA
Polymer-Degradation	Degradation/utilization/assimilation	Polymeric compound degradation	NA	NA	NA	NA	NA	NA
Polymer-Degradation // Carbohydrates-Degradation	Degradation/utilization/assimilation	Polymeric compound degradation	Degradation/utilization/assimilation	Carbohydrate degradation	NA	NA	NA	NA
Polymer-Degradation // Carbohydrates-Degradation // Glycan-Pathways	Degradation/utilization/assimilation	Polymeric compound degradation	Degradation/utilization/assimilation	Carbohydrate degradation	Glycan pathways	NA	NA	NA
Polymer-Degradation // Carbohydrates-Degradation // Metabolic-Clusters	Degradation/utilization/assimilation	Polymeric compound degradation	Degradation/utilization/assimilation	Carbohydrate degradation	Metabolic clusters	NA	NA	NA
Polyprenyl-Biosynthesis	Biosynthesis	Polyprenyl biosynthesis	NA	NA	NA	NA	NA	NA
Protein-Modification	Macromolecule modification	Protein modification	NA	NA	NA	NA	NA	NA
Protein-Modification // Cofactor-Biosynthesis	Macromolecule modification	Protein modification	Biosynthesis	"Cofactor, carrier, and vitamin biosynthesis"	NA	NA	NA	NA
Protein-Modification // Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Macromolecule modification	Protein modification	Biosynthesis	"Cofactor, carrier, and vitamin biosynthesis"	Biosynthesis	Tetrapyrrole biosynthesis	NA	NA
Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Macromolecule modification	Protein modification	Glycan pathways	NA	Biosynthesis	Carbohydrate biosynthesis	NA	NA
Protein-Modification // Metabolic-Clusters	Macromolecule modification	Protein modification	Metabolic clusters	NA	NA	NA	NA	NA
REACTIVE-OXYGEN-SPECIES-DEGRADATION	Superpathways	Reactive oxygen species degradation	NA	NA	NA	NA	NA	NA
REACTIVE-OXYGEN-SPECIES-DEGRADATION // Super-Pathways	Superpathways	Reactive oxygen species degradation	NA	NA	NA	NA	NA	NA
