Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
PWY-6583	Alcohol-Biosynthesis // Pyruvate-Butanol-Fermentation	Fermentation // Alcohol-Biosynthesis // Pyruvate-Degradation	Energy-Metabolism // Fermentation	Pathways // Energy-Metabolism	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-6397	Cell-Wall-Biosynthesis // Glycan-Pathways	Cell-Structure-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-3301	CINNAMATE-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-6493	INDOLE-ALKALOIDS // Toxin-Biosynthesis	ALKALOIDS-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	N-CONTAINING-SECONDARY-CMPD-SYN // Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES
PWY-7260	ANTHOCYANIN-SYN	FLAVONOID-SYN // Pigment-Biosynthesis	PHENYLPROPANOID-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	AROMATIC-COMPOUNDS-BIOSYN // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-8493	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7031	Oligosaccharides-Biosynthesis // Protein-Glycosylation	Carbohydrates-Biosynthesis // Glycan-Pathways // Protein-Modification	Biosynthesis // Pathways // Macromolecule-Modification	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY2DNV-3	Kdo-lipid-A-Biosynthesis	Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-5183	Super-Pathways // TOLUENE-DEG	Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
PWY-5100	Pyruvate-Acetate-Fermentation // Pyruvate-Lactate-Fermentation // Super-Pathways	Acetate-Formation // Pyruvate-Degradation // Fermentation-to-Lactate // Pathways	Fermentation-to-Acids // Fermentation // Generalized-Reactions	Fermentation // Energy-Metabolism // FRAMES	Energy-Metabolism // Pathways // THINGS	Pathways // Generalized-Reactions // 
PWY-7491	Glycosylation-Pathways // LIGNAN-SYN // Metabolic-Clusters	Other-biosynthesis // PHENYLPROPANOID-SYN // Pathways	Biosynthesis // AROMATIC-COMPOUNDS-BIOSYN // Generalized-Reactions	Pathways // Biosynthesis // FRAMES	Generalized-Reactions // Pathways // THINGS	FRAMES // Generalized-Reactions // 
PWY-5939	Acetoin-Biosynthesis	Pyruvate-Degradation	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-2381	Nitrobenzoate-Degradation	Nitroaromatic-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-6817	Carrageenan-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-621	SUCROSE-DEG	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7744	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8450	Opine-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8165	Molybdenum-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7476	Super-Pathways // TRITERPENOID-SYN	Pathways // Terpenoid-Biosynthesis	Generalized-Reactions // SECONDARY-METABOLITE-BIOSYNTHESIS	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions
LARABITOLUTIL-PWY	Xylitol-Degradation	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6679	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-2724	Hydrocarbon-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7134	FLAVONOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5733	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6120	TYROSINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-6576	Glycan-Pathways // Glycosaminoglycan-Degradation	Pathways // POLYSACCHARIDES-DEG	Generalized-Reactions // Carbohydrates-Degradation // Polymer-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-6408	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5062	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-5423	MONOTERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7562	Sugar-Derivatives	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-4181	Reductants	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6510	Methanol-Oxidation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7204	Vitamin-B6-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY2DDB-5	Metabolic-Clusters // PHENYLPROPANOID-DERIVATIVE-DEG	Pathways // Phenolic-Compounds-Degradation	Generalized-Reactions // AROMATIC-COMPOUNDS-DEGRADATION	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-5425	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8593	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8456	C1-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8414	Archaeal-Lipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
ADENOSYLHOMOCYSCAT-PWY	Methionine-Salvage	METHIONINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways
PWY-5027	Phylloquinone-Biosynthesis // Vitamin-Biosynthesis	Quinone-Biosynthesis // Cofactor-Biosynthesis	Electron-Carrier-Biosynthesis // Biosynthesis	Carriers-Biosynthesis // Pathways	Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES
PWY-7793	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5301	INDOLE-ALKALOIDS // TERPENOID-ALKALOIDS	ALKALOIDS-SYN // Terpenoid-Biosynthesis	N-CONTAINING-SECONDARY-CMPD-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY0-1608	GLYCINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7924	Rubber-Degradation	Polymer-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8515	Fluorescence	Bioluminescence-Fluoresence-Chromoproteins	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7108	Macrolides-Biosynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6241	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6117	SPERMINE-SPERMIDINE-DEG	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
P482-PWY	Arsenic-Detoxification	Detoxification	Pathways	Generalized-Reactions	FRAMES	THINGS
GLYCOCAT-PWY	Glycan-Pathways // Glycogen-Degradation	Pathways // POLYSACCHARIDES-DEG	Generalized-Reactions // Carbohydrates-Degradation // Polymer-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-3981	Beta-Alanine-Biosynthesis	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7810	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY0-1582	ANAEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-5785	Lipid-Anchor-Biosynthesis // Polyprenyl-Biosynthesis	Carriers-Biosynthesis // Biosynthesis	Cofactor-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS
PWY-2021	Indole-3-Acetate-Inactivation	Inactivation	Activation-Inactivation-Interconversion	Pathways	Generalized-Reactions	FRAMES
PWY4FS-5	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-702	Methionine-De-novo-Biosynthesis	METHIONINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways
PWY-8288	Carbofuran-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5950	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7999	Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
BGALACT-PWY	LACTOSE-DEG	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-5654	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6957	MANDELATE-DEG // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-2161	Folate-Biosynthesis	C1-Carrier-Biosynthesis // Vitamin-Biosynthesis	Carriers-Biosynthesis // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-762	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5466	LIGNAN-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
CYSTEINE-DEG-PWY	CYSTEINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7105	TERPENOPHENOLICS-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
ASPARTATE-DEG1-PWY	ASPARTATE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-4261	GLYCEROL-DEG	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-8161	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY0-1297	NUCLEO-DEG // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY0-1599	Protein-Modification	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8399	Icosanoid-Metabolism	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY66-378	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6505	Super-Pathways // TRYPTOPHAN-DEG	Pathways // Proteinogenic-Amino-Acids-Degradation	Generalized-Reactions // Amino-Acid-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-6677	Thiosulfate-Oxidation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-7580	Phycobilin-Biosynthesis	Porphyrin-Compounds-Biosynthesis	Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY66-380	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5863	Phylloquinone-Biosynthesis // Super-Pathways	Quinone-Biosynthesis // Pathways	Electron-Carrier-Biosynthesis // Generalized-Reactions	Carriers-Biosynthesis // FRAMES	Cofactor-Biosynthesis // THINGS	Biosynthesis // 
PWY-7941	Isorenieratene-Biosynthesis	C40-Carotenoids-Biosynthesis	CAROTENOID-SYN // TETRATERPENOID-SYN	Pigment-Biosynthesis // Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
PWY-7206	Metabolic-Clusters // Pyrimidine-Deoxyribonucleosides-Deg	Pathways // Pyrimidine-Degradation	Generalized-Reactions // NUCLEO-DEG	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-5940	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
P101-PWY	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8004	Entner-Duodoroff-Pathways // Sugars-And-Polysaccharides-Degradation // Super-Pathways	Energy-Metabolism // Carbohydrates-Degradation // Pathways	Pathways // Degradation // Generalized-Reactions	Generalized-Reactions // Pathways // FRAMES	FRAMES // Generalized-Reactions // THINGS	THINGS // FRAMES // 
PWY-7417	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5403	BETALAIN-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
2AMINOBENZDEG-PWY	2-Aminobenzoate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7915	Bioluminescence	Bioluminescence-Fluoresence-Chromoproteins	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5901	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8016	Stickland-Reductive // TYROSINE-DEG	Amino-Acid-Fermentation // Proteinogenic-Amino-Acids-Degradation	Fermentation // Amino-Acid-Degradation	Energy-Metabolism // Degradation	Pathways	Generalized-Reactions
PWY-6088	3-Chlorobenzoate-Degradation	Chlorobenzoate-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-5418	Phenol-Degradation	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-7095	CYANOGENIC-GLUCOSIDE-SYN	N-CONTAINING-GLUCOSIDE-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7913	Bioluminescence	Bioluminescence-Fluoresence-Chromoproteins	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7226	Guanosine-Deoxy-Denovo-Biosynthesis	Purine-Deoxyribonuc-De-Novo-Biosynthesis	Deoxyribonucleotide-Biosynthesis // Purine-Nucleotide-De-Novo-Biosynthesis	Nucleotide-Biosynthesis // PUR-NUC-SYN	Biosynthesis // Nucleotide-Biosynthesis	Pathways // Biosynthesis
PWY-7678	ANTHOCYANIN-SYN // Metabolic-Clusters	FLAVONOID-SYN // Pigment-Biosynthesis // Pathways	PHENYLPROPANOID-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	AROMATIC-COMPOUNDS-BIOSYN // Biosynthesis // FRAMES	Biosynthesis // Pathways // THINGS	Pathways // Generalized-Reactions // 
PWY-7288	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
CENTFERM-PWY	Acetyl-CoA-Butyrate // Pyruvate-Degradation	Fermentation-to-Acids // Fermentation	Fermentation // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY185E-7	Lipopolysaccharide-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-8590	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7625	Phosphatidylinositol-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7433	Protein-Glycosylation	Carbohydrates-Biosynthesis // Glycan-Pathways // Protein-Modification	Biosynthesis // Pathways // Macromolecule-Modification	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-7104	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-5630	Beta-Lactam-Antibiotics-BioSynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-5045	Metabolic-Clusters // STILBENE-PHYTOALEXINS // STILBENE-SYN	Pathways // PHYTOALEXIN-SYN // PHENYLPROPANOID-SYN	Generalized-Reactions // Toxin-Biosynthesis // AROMATIC-COMPOUNDS-BIOSYN	FRAMES // SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	THINGS // Biosynthesis // Pathways	 // Pathways // Generalized-Reactions
PWY-7334	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-5867	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7372	Demethylmenaquinol-6-Biosynthesis	Demethylmenaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis
PWY-7029	Alkenes-Biosynthesis	Olefins-Biosynthesis	Hydrocarbon-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8492	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6215	Chlorobenzoate-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-5704	Urea-Degradation	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6623	Salicylate-Glycosylation	Glycosylation-Pathways	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-4021	Betaine-Biosynthesis // MISCELLANEOUS-DEG	Organic-solutes-Biosynthesis // Polyamine-Biosynthesis // Amino-Acid-Degradation	Metabolic-Regulators // Biosynthesis // Degradation	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY0-1324	NAN-MANNACs-degradation	Sugar-Derivatives	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways
GLYOXYLATE-BYPASS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-5080	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6894	Thiamin-Diphosphate-Biosynthesis	Thiamine-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
NAGLIPASYN-PWY	Lipid-IV-A-Biosynthesis	Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-7979	Protein-Glycosylation	Carbohydrates-Biosynthesis // Glycan-Pathways // Protein-Modification	Biosynthesis // Pathways // Macromolecule-Modification	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-5109	Fermentation-to-Acids	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES
PWY-6769	Glycan-Pathways // Rhamnogalacturonan-Degradation	Pathways // POLYSACCHARIDES-DEG	Generalized-Reactions // Carbohydrates-Degradation // Polymer-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-6927	Chlorophyll-A-Degradation	Tetrapyrrole-Degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-8555	Electron-Transfer // Iron-Oxidation	Energy-Metabolism // Iron-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions
PWY-7556	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY3O-4107	NAD-SYN	Enzyme-Cofactor-Biosynthesis // NAD-Metabolism	Cofactor-Biosynthesis // Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Biosynthesis // Carriers-Biosynthesis // Cofactor-Biosynthesis	Pathways // Cofactor-Biosynthesis // Biosynthesis	Generalized-Reactions // Biosynthesis // Pathways
PWY8J2-22	Kanosamine-Biosynthesis	SUGAR-DERIVS	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
P222-PWY	CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Sulfide-Oxidation	Energy-Metabolism // Sulfur-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions
PWY-8295	NON-PROTEIN-AMINO-ACID-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5279	Sulfite-Oxidation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-7172	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY0-1587	Nucleic-Acid-Processing	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7254	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8579	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6047	Dimethylsulfide-Degradation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-6718	Sulfoacetaldehyde-Degradation	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions
PWY-6612	Folate-Biosynthesis // Super-Pathways	C1-Carrier-Biosynthesis // Vitamin-Biosynthesis // Pathways	Carriers-Biosynthesis // Cofactor-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // Biosynthesis // FRAMES	Biosynthesis // Pathways // THINGS	Pathways // Generalized-Reactions // 
PWY-6626	Cell-Wall-Biosynthesis	Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
GLUCONEO-PWY	Gluconeogenesis	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7887	Protein-Modification	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES	THINGS
GLUCOSE1PMETAB-PWY	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5487	p-Nitrophenol-Degradation	Nitrophenol-Degradation	Nitroaromatic-Degradation // Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-8486	Cyclohexane-1-Carboxylate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8307	CARN-DEG	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
