Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
PWY-7097	Vanillin-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6959	Ascorbate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-2841	CYTOKININS-DEGRADATION // Metabolic-Clusters	PLANT-HORMONE-DEG // Pathways	HORMONE-DEG // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7781	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY1R65-1	Lipid-A-core-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways // Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Pathways // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Generalized-Reactions // Biosynthesis	Generalized-Reactions // FRAMES // Pathways	FRAMES // THINGS // Generalized-Reactions
PWY-5686	UMP-Biosynthesis	Pyrimid-Ribonucleot-De-Novo-Biosyn	Pyrimidine-De-Novo-Biosyn	PYR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis
PWY4FS-4	PhosphatidylcholineBiosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY18C3-3	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8139	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
PWY-8388	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6103	3-Chlorotoluene-Degradation	Chlorotoluene-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY0-1296	Purine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5677	Acetyl-CoA-Butyrate	Fermentation-to-Acids	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-6739	Pinitol-Biosynthesis	Cyclitols-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY1YI0-1	Arsenate-Detoxification	Arsenic-Detoxification	Detoxification	Pathways	Generalized-Reactions	FRAMES
PWY-7984	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
2PHENDEG-PWY	Phenylethylamine-Degradation	AMINE-DEG // Phenolic-Compounds-Degradation	Degradation // AROMATIC-COMPOUNDS-DEGRADATION	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-7552	Heme-b-Biosynthesis	HEME-SYN	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis	Cofactor-Biosynthesis // Tetrapyrrole-Biosynthesis	Biosynthesis	Pathways
PWY-8039	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8245	Lipid-IV-A-Biosynthesis	Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY4FS-11	Ascorbate-Biosynthesis	Carboxylate-Biosynthesis // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Biosynthesis // Cofactor-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-6821	Carrageenan-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions
P201-PWY	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY0-1312	Acetate-Formation	Fermentation-to-Acids	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions
PWY-7848	Heme-Degradation	Tetrapyrrole-Degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6855	Chitin-Degradation // Glycan-Pathways	POLYSACCHARIDES-DEG // Pathways	Carbohydrates-Degradation // Polymer-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-6217	Chlorobenzoate-Degradation	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-6538	CAFFEINE	ALKALOIDS	N-CONTAINING-SECONDARY-CMPD-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways
PWY-7056	COUMARIN-SYN // Interconversion	PHENYLPROPANOID-SYN // Activation-Inactivation-Interconversion	AROMATIC-COMPOUNDS-BIOSYN // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS
PWY-5835	Interconversion // MONOTERPENOID-SYN	Activation-Inactivation-Interconversion // Terpenoid-Biosynthesis	Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Generalized-Reactions // Biosynthesis	FRAMES // Pathways	THINGS // Generalized-Reactions
PWY1YI0-3	AEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-8542	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8439	Cell-Wall-Biosynthesis	Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5971	Palmitate-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7200	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7606	Docosahexaenoate-Biosynthesis	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis
PWY-401	Glycolipids-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7651	Glycosaminoglycan-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions
