	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa
184	PWY-5654	Yes	No	4	1	CARBOXYLATES-DEG	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	Burkholderia cenocepacia,Burkholderia terrae,Pseudomonas fluorescens
185	P3-PWY	Yes	No	11	2	AROMATIC-COMPOUNDS-DEGRADATION	gallate degradation III (anaerobic)	Eubacterium oxidoreducens
186	GLYCOL-GLYOXDEG-PWY	Yes	Yes	7	3	Alcohol-Degradation // Super-Pathways	superpathway of glycol metabolism and degradation	Escherichia coli,Pseudomonas putida
187	PWY-6071	Yes	Yes	11	1	AMINE-DEG // AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	superpathway of phenylethylamine degradation	Escherichia coli
188	CODH-PWY	Yes	No	12	3	C1-COMPOUNDS	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria) // Wood pathway // acetate synthesis // acetyl-CoA pathway // carbon monoxide dehydrogenase pathway // carbon fixation // CO<SUB>2</SUB> fixation // Ljungdahl-Wood pathway // Wood-Ljungdahl pathway // reductive acetyl CoA pathway	Acetitomaculum ruminis,Acetobacterium carbinolicum,Acetobacterium woodii,Blautia producta,Clostridium autoethanogenum,Clostridium formicaceticum,Eubacterium limosum,Neomoorella thermoacetica,Sporomusa malonica,Sporomusa termitida,Syntrophococcus sucromutans,[Butyribacterium] methylotrophicum
189	PWY-2201	Yes	Yes	13	7	Cofactor-Biosynthesis	folate transformations I	Blautia producta,Clostridium formicaceticum,Escherichia coli,Homo sapiens,Lacticaseibacillus casei,Methylobacterium organophilum,Methylorubrum extorquens,Neomoorella thermoacetica,Hyphomicrobium methylovorum,Hyphomicrobium zavarzinii,Pseudomonas sp. MS
190	PWY-7254	Yes	No	9	3	Energy-Metabolism	TCA cycle VII (acetate-producers) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle // TCA cycle VII (acetic acid-producers)	Acetobacter aceti,Geobacter sulfurreducens
191	GLYCOLYSIS-TCA-GLYOX-BYPASS	Yes	Yes	26	15	Super-Pathways // Energy-Metabolism	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	Escherichia coli
192	PWY-6285	Yes	Yes	53	39	Super-Pathways // Lipid-Biosynthesis	superpathway of fatty acids biosynthesis (<i>E. coli</i>)	Escherichia coli
193	PWY-6284	Yes	Yes	20	14	Super-Pathways // Lipid-Biosynthesis	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	Escherichia coli
