Reaction	EC-Number	In-Pathway	Common-Name	Names
RXN-18014	EC-6.2.1.54	PWY-7815 // PWY-7818 // TEICHOICACID-PWY // PWY-7816 // PWY-7817 // PWY-8040 // PWY-8343		Chemical Reactions
ARG-OXIDATION-RXN	EC-1.4.3.25	ARGDEG-IV-PWY		Chemical Reactions
RXN-14609		RXN-14600		Chemical Reactions
RXN-13054	EC-6.3.2.38	AEROBACTINSYN-PWY		Chemical Reactions
SORBOSE-DEHYDROGENASE-RXN	EC-1.1.99.12			Chemical Reactions
RXN-17642	EC-1.1.2.9	PWY-7780		Chemical Reactions
RXN-21283	EC-2.6.1			Chemical Reactions
RXN0-703	EC-1.1.1.130	PWY-6961		Chemical Reactions
RXN-16449	EC-1.5.3	PWY-7638		Chemical Reactions
RXN-17462		PWY-7760 // RXN-18421		Chemical Reactions
RXN-11103	EC-6.3.2.33	PWY-8456		Chemical Reactions
