Reaction	EC-Number	In-Pathway	Common-Name	Names
RXN-15792		PWY-6955		Chemical Reactions
RXN-11560	EC-2.8.2	PWY-6567		Chemical Reactions
RXN-24377		PWY-8498		Chemical Reactions
1.2.1.55-RXN	EC-1.1.1.279			Chemical Reactions
RXN-18776	EC-2.4.1.371	PWY-7905		Chemical Reactions
RXNQT-4364		PWYQT-4477		Chemical Reactions
RXN-22042	EC-2.4.1	PWY-8204		Chemical Reactions
RXN-11524	EC-4.4.1.4	PWY-6539		Chemical Reactions
RXN-12753		PWY-6938-1 // PWY-6938		Chemical Reactions
RXN-25513	EC-1.14.14.M71	PWY-8605		Chemical Reactions
1.3.7.2-RXN	EC-1.3.7.2	PWY-5915 // PWY-7579		Chemical Reactions
3.2.1.111-RXN	EC-3.2.1.111			Chemical Reactions
RXN-21692	EC-4.2.1.59	PWY-8175		Chemical Reactions
RXN-21982	EC-1.1.1.146	PWY-8202		Chemical Reactions
RXN-18406	EC-1.8.5.7	PCPDEG-PWY // TECH1REDHAL-RXN		Chemical Reactions
RXN-18057	EC-2.4.1	PWY-7819		Chemical Reactions
RXN-8001	EC-1.1.1.23			Small-Molecule Reactions
RXN-17163	EC-1.14.14	RXN-19730 // PWY-7736		Chemical Reactions
RXN-17861	EC-2.3.1.255	PWY-7800		Chemical Reactions
2.7.9.3-RXN	EC-2.7.9.3	PWY-6281 // PWY0-901		Chemical Reactions
RXN-16533		PWY-7653		Chemical Reactions
RXN-15698	EC-2.5.1.126	PWY-8115		Chemical Reactions
RXN-8730	EC-3.1.3.56	PWY-6362 // PWY-6364		Chemical Reactions
RXN66-511	EC-1.13.11.34	PWY-8400 // PWY-8355 // PWY66-397		Chemical Reactions
RXN-21726	EC-2.3.1.86	PWYG-321		Chemical Reactions
RXN-13856	EC-1.13.11.73	PWY-8067		Chemical Reactions
RXN-14092	EC-3.2.1.187			Chemical Reactions
RXN-17256	EC-6.2.1.M2			Chemical Reactions
RXN-10845	EC-1.13.12.17	PWY-6324		Chemical Reactions
RXN-22891	EC-3.2.1.62			Chemical Reactions
RXN-23623		PWY-8424		Chemical Reactions
RXN-9346				Chemical Reactions
RXN-12455	EC-1.3.1.88			Chemical Reactions
RXN1G-445	EC-2.3.1.41	PWYG-321		Chemical Reactions
RXN-20517	EC-3.1.4.54			Chemical Reactions
DIENOYLCOAREDUCT-RXN	EC-1.3.1.34			Chemical Reactions
RXN-22	EC-4.3.2.1	PWY-5		Chemical Reactions
RXN-20771		PWY-6409		Chemical Reactions
TREHALOSE6PSYN-RXN	EC-2.4.1.15	TRESYN-PWY		Chemical Reactions
RXN-22176	EC-2.4.1			Chemical Reactions
RXN-13118	EC-1.1.1.329	PWY-7014 // PWY-8367 // PWY-7000		Chemical Reactions
RXN-20438	EC-1.14.14.154	PWY18C3-1		Small-Molecule Reactions
RXN-20226	EC-2.3.1.26			Chemical Reactions
RXN-9667	EC-1.14.19.35	PWY-5997		Chemical Reactions
RXN-13824		PWY-7376 // 2.1.1.132-RXN		Chemical Reactions
RXN-18919		PWY-7919 // RXN-18911		Chemical Reactions
RXN-15369	EC-3.13.1	PWY-7898		Chemical Reactions
RXN18C3-23	EC-1.14.13	PWY18C3-7		Chemical Reactions
RXN-8871	EC-4.1.2.66	PWY-5754 // PWY-6431 // PWY-5665		Small-Molecule Reactions
RXN-15734	EC-2.5.1.105	PWY-6148		Chemical Reactions
RXN-18837		PWY-7912		Small-Molecule Reactions
RXN-20604		RXN-21595 // RXN-20616		Chemical Reactions
RXN-25608	EC-1.3.1.az			Chemical Reactions
RXN-15851	EC-1.1.3.47			Small-Molecule Reactions
2.3.1.154-RXN	EC-2.3.1.176			Chemical Reactions
ISOFLAVONE-2-HYDROXYLASE-RXN	EC-1.14.14.89	PWY-2463		Chemical Reactions
RXN-20630		RXN-20640		Chemical Reactions
RXN-24693		PWY-8532		Chemical Reactions
RXN-21791	EC-2.7.2.14			Chemical Reactions
SPERMINE-SYNTHASE-RXN	EC-2.5.1.22	ARGSPECAT-PWY // POLYAMINSYN3-PWY		Chemical Reactions
3.2.1.61-RXN	EC-3.2.1.61			Chemical Reactions
RXNQT-4174	EC-1.1.1.85			Small-Molecule Reactions
RXN0-5294	EC-2.4.99.26			Chemical Reactions
RXN-16100	EC-2.3.1	PWY-7602		Chemical Reactions
RXN2DNV-8	EC-3.1.3.M9	PWY2DNV-3		Chemical Reactions
RXN-20666	EC-3.6.1.69	PWY-8061 // RXN-14205		Chemical Reactions
RXN-21089	EC-2.7.8.28	PWY-8112		Chemical Reactions
RXN-14641	EC-1.1.1.359	PWY-7294	xylose dehydrogenase	Chemical Reactions
RXN-1901	EC-3.13.1.7	PWY-743 // PWY-7926 // RXN-14638 // PWY-5336 // PWY-1164		Chemical Reactions
RXN-21043	EC-5.2.1.M1			Chemical Reactions
RXN-7852	EC-2.3.1.206			Small-Molecule Reactions
RXN-13710	EC-1.14.18.9	PWY66-3	4&alpha;-methyl-cholesta-8-enol 4- monooxygenase	Small-Molecule Reactions
RXN-23017	EC-2.3.2.2	PWY-8355		Chemical Reactions
RXN-17449	EC-2.1.1.333			Chemical Reactions
RXN-15091	EC-2.7.1.174	PWY-7420	diacylglycerol kinase	Chemical Reactions
RXN-8479	EC-2.4.1	PWY-5399		Chemical Reactions
RXN-16779	EC-2.4.1.295	PWY-7678		Chemical Reactions
RXN-15707	EC-4.2.3.150			Chemical Reactions
RXN-15022	EC-2.5.1	PWY-7407 // PWY-7405		Chemical Reactions
2.5.1.43-RXN	EC-2.5.1.43	PWY-5912 // PWY-5957		Chemical Reactions
RXN-22007	EC-1.3.1.22	PWY-8202		Chemical Reactions
RXN-8434	EC-5.4.99.40	PWY-7251 // PWY-5377 // PWY-6109		Chemical Reactions
RXN-25495	EC-2.7.8.M15	PWY-8601		Chemical Reactions
RXN185E-62	EC-2.3.1			Chemical Reactions
RXN-14181	EC-3.1.3.1 // EC-3.1.3.74	PWY-8077 // PWY-7204		Chemical Reactions
GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN	EC-1.1.1.281 // EC-1.1.1.187	GDPRHAMSYN-PWY		Chemical Reactions
RXN-10036	EC-3.1.3.86	PWY-6368		Chemical Reactions
RXN-11279		PWY-6447		Chemical Reactions
RXN-22070	EC-2.4.1	PWY-8244 // PWY-8209		Chemical Reactions
CPM-KDOSYNTH-RXN	EC-2.7.7.38	PWY-1269		Chemical Reactions
RXN66-498	EC-1.14.99	PWY-8400 // PWY66-395		Chemical Reactions
RXN-18681	EC-2.4.1.M24	PWY-7885		Chemical Reactions
RXN-23336		PWY-5410		Chemical Reactions
1.13.11.48-RXN	EC-1.13.11.48			Chemical Reactions
RXN-25312				Chemical Reactions
RXN-24337	EC-6.2.1	PWY-8492		Chemical Reactions
RXN-14986	EC-1.1.1.85	PWY-7396		Small-Molecule Reactions
GLY3KIN-RXN	EC-2.7.1.31	PWY-181 // PWY-8363		Chemical Reactions
RXN-24599	EC-2.1.1	PWY-8523		Chemical Reactions
RXN-20614		RXN-20620		Chemical Reactions
RXN-17875	EC-3.4.11.18	PWY-7800		Chemical Reactions
RXN-5469	EC-2.4.1.261	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS		Chemical Reactions
RXN-19015	EC-2.4.1	PWY-7921		Chemical Reactions
RXN-21986	EC-1.1.1.149			Chemical Reactions
RXN-16666		PWY-7667		Small-Molecule Reactions
CHOLOYLGLYCINE-HYDROLASE-RXN	EC-3.5.1.24	PWY-8135		Chemical Reactions
GLUCOKIN-RXN	EC-2.7.1.1 // EC-2.7.1.2	P124-PWY // PWY-7385 // PWY-5514 // PWY-5661 // ANAGLYCOLYSIS-PWY // GLYCOCAT-PWY // PWY-5941 // UDPNACETYLGALSYN-PWY // GLUCOSE1PMETAB-PWY // PWY0-1182 // PWY-2722 // TREDEGLOW-PWY // PWY-7238 // P122-PWY // PWY-621 // PWY-2723		Chemical Reactions
RXN0-6510	EC-5.3.3.18	PWY0-321		Chemical Reactions
RXN-14704	EC-3.1.3.91			Chemical Reactions
RXN-16539	EC-1.3.1	PWY-7653		Chemical Reactions
POLYSACCHARIDE-O-METHYLTRANSFERASE-RXN	EC-2.1.1.18			Chemical Reactions
RXN-21336	EC-4.2.1.106	PWY-7754		Chemical Reactions
SULFUR-DIOXYGENASE-RXN		SULFUROX-PWY // FESULFOX-PWY	Sulfur dioxygenase	Chemical Reactions
RXN-18166	EC-1.14.14	PWY-601		Chemical Reactions
RXN-14525	EC-3.1.3.34			Chemical Reactions
RXN-18011		RXN-23795 // RXN-18014		Chemical Reactions
RXN-17954	EC-2.7.8.37	PWY-7805		Chemical Reactions
RXN-20933	EC-1.1.1.421	PWY-8090 // PWY-8091 // PWY-8092		Chemical Reactions
RXN-10000	EC-2.3.1.202	PWY-6143		Chemical Reactions
RXN-5464	EC-2.4.1.131	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS		Chemical Reactions
RXN-18715		PWY-7895		Chemical Reactions
RXN-8924		PWY-5701		Chemical Reactions
RXN-24989	EC-2.7.12.1			Chemical Reactions
RXN-15224	EC-2.4.1.166	PWY-6524		Chemical Reactions
RXN-19081		PWY-7930 // RXN-19067		Chemical Reactions
RXN-8288	EC-2.4.1	PWY-5342		Chemical Reactions
SUCCGLUDESUCC-RXN	EC-3.5.1.96	AST-PWY		Chemical Reactions
RXN-9824	EC-2.4.1.M58	PWY-6036		Chemical Reactions
R602-RXN	EC-1.14.12	P661-PWY		Chemical Reactions
RXN-20039				Chemical Reactions
RXN-22626	EC-2.4.2.5			Chemical Reactions
RXN-12151	EC-1.7.1	PWY-6720		Chemical Reactions
RXN-19060	EC-1.14.19.M18	PWY-7932		Chemical Reactions
RXN-8324	EC-1.14.19.22	PWY-762		Chemical Reactions
RXN-17550		RXN-18025		Chemical Reactions
RXN-11842	EC-5.4.99.28			Chemical Reactions
RXN-712	EC-1.1	PWY-699 // PWY-2582		Chemical Reactions
RXN-20187	EC-1.14.11.77			Chemical Reactions
RXN-21694	EC-1.3.1.104 // EC-1.3.1.10	PWY-8175		Chemical Reactions
MANGANESE-PEROXIDASE-RXN	EC-1.11.1.16 // EC-1.11.1.13	RXN-18155 // PWY-6591		Chemical Reactions
RXN-11592	EC-2.1.1.177			Chemical Reactions
RXN-9420	EC-1.14.13.105	PWY-5927		Chemical Reactions
RXN-16616	EC-1.1.1.100	PWY-7664		Chemical Reactions
RXN-21693	EC-1.3.1.9	PWY-8175		Chemical Reactions
ARISTOLOCHENE-SYNTHASE-RXN	EC-4.2.3.9			Chemical Reactions
RXN-9635	EC-1.3.1.9	PWYG-321 // PWY-5989	<i>trans</i>-octadec-2-enoyl-[acyl-carrier-protein] reductase	Chemical Reactions
RXN-8686		RXN-18224 // PWY-5467		Chemical Reactions
RXN-12886	EC-1.14.99.46			Small-Molecule Reactions
RXN1G-481	EC-1.1.1.M9	PWYG-321	cis,cis-delta15,27-3-oxo-C46:2-[acyl-carrier protein] reductase	Chemical Reactions
RXN-17509	EC-1.14.14.33			Small-Molecule Reactions
RXN-10109	EC-5.5.1.7			Chemical Reactions
1.1.1.277-RXN	EC-1.1.1.277	PWY-6032		Chemical Reactions
3.1.1.56-RXN	EC-3.1.1.56			Chemical Reactions
RXN-16137	EC-2.3.1.16	PWY-7606		Chemical Reactions
RXN-19133	EC-1.3.99.39	PWY-7938		Chemical Reactions
R606-RXN	EC-1.14.12	P662-PWY		Chemical Reactions
RXN2DNV-7	EC-2.3.1.243	PWY2DNV-2		Chemical Reactions
RXN-17506	EC-3.2.1.197			Chemical Reactions
RXN-17960	EC-2.3.1.280			Chemical Reactions
RXN-20582	EC-1.13.11.34	PWY-8399 // PWY66-394		Chemical Reactions
RXN-23001	EC-4.6.1.26			Chemical Reactions
ALPHA-PINENE-OXIDE-DECYCLASE-RXN	EC-5.5.1.10			Chemical Reactions
RXN-13736	EC-2.3.1.198			Chemical Reactions
RXN-11506		PWY-6532		Chemical Reactions
RXN-22078	EC-2.4.1			Chemical Reactions
RXN-24024	EC-1.14.14	PWY-8464		Chemical Reactions
RXN-16488	EC-1.14.11	PWY-7648	L-leucine 5-hydroxylase	Chemical Reactions
RXN-8693		PWY-5468		Chemical Reactions
RXN-8132	EC-2.1.1.252	PWY-5261		Chemical Reactions
RXN-24996	EC-2.8.2			Chemical Reactions
RXN-25516	EC-1.14.14	PWY-8604 // RXN-25514		Chemical Reactions
RXN-12019	EC-1.8.4.10	PWY-6683		Chemical Reactions
ADENYLATECYC-RXN	EC-4.6.1.1			Chemical Reactions
RXN-10108		PWY-6191		Chemical Reactions
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9	ILEUSYN-PWY // PWY-5101 // PWY-5104 // PWY-5103	2,3-Dihydroxy-3-methylvalerate dehydratase	Chemical Reactions
RXN-12172	EC-3.2.1.171			Chemical Reactions
RXN-15494		PWY-7492		Chemical Reactions
RXN-14317	EC-1.14.11	PWY-7232	gibberellin A<sub>20</sub> 2,3-desaturase	Chemical Reactions
RXN-22282	EC-2.7.1.181	PWY-8250		Chemical Reactions
RXN-19192	EC-6.2.1.2	PWY-7948		Chemical Reactions
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17	HISTSYN-PWY		Chemical Reactions
RXN-12677		PWY-6926		Small-Molecule Reactions
RXN-23511		PWY-8412 // PWY-8400		Chemical Reactions
RXN-12795	EC-2.1.1	PWY-4161		Chemical Reactions
RXN-11843	EC-5.4.99.29			Chemical Reactions
RXN-9467		PWY-5940		Small-Molecule Reactions
RXN-22809	EC-1.1.99.13			Chemical Reactions
RXN-25117		PWY-8567		Chemical Reactions
RXN-15395		PWY-8000 // RXN-19684		Chemical Reactions
RXN-23988	EC-2.4.1	PWY-8459		Chemical Reactions
TROPINONE-REDUCTASE-RXN	EC-1.1.1.236	PWY-5318		Chemical Reactions
RXN-3942		PWY-8087		Chemical Reactions
RXN-10029	EC-1.5.1.47		dihydromethanopterin reductase	Chemical Reactions
RXN-4513	EC-1.14.14.135	PWY-2762		Chemical Reactions
RXN-21588	EC-1.1.1.443	PWY-8609		Chemical Reactions
RXN-6002	EC-1.2.1.4	PWY-3641		Chemical Reactions
RXN-23130	EC-2.7.8.41			Chemical Reactions
RXN-12419	EC-2.4.1.168	PWY-5936		Chemical Reactions
RXN-19291	EC-2.1.1.M44			Chemical Reactions
2.7.8.24-RXN	EC-2.7.8.24	PWY-6826		Chemical Reactions
TRYPTOPHAN-2-MONOOXYGENASE-RXN	EC-1.13.12.3	PWY-3161		Chemical Reactions
RXN0-5410	EC-1.1.1			Chemical Reactions
PANTOATE-BETA-ALANINE-LIG-RXN	EC-6.3.2.1	PANTO-PWY		Chemical Reactions
RXN-25070	EC-2.8.1.o			Chemical Reactions
RXN-11998	EC-1.2.1.82	PWY-6681		Chemical Reactions
RXN-8592	EC-4.2.3.126			Chemical Reactions
RXN0-7123	EC-1.6.5.9	PWY2O6K-4 // PWY2O6K-2		Small-Molecule Reactions
RXN-14932	EC-1.1.99.39	PWY-5283		Chemical Reactions
PSERPHOSPHA-RXN	EC-3.1.3.3			Chemical Reactions
RXN-9368		PWY-5290 // PWY-8069 // RXN-12961		Chemical Reactions
3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN	EC-1.1.1.59	PWY-6373 // PWY-7574 // PWY-3941		Chemical Reactions
RXN-17586		PWY-7776		Chemical Reactions
RXN-19162		PWY-7943		Chemical Reactions
RXN-9632	EC-2.3.1.41	PWYG-321 // PWY-8280 // PWY-5989	3-oxo-stearoyl-[acyl-carrier protein] synthase	Chemical Reactions
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64 // EC-2.7.7.9	PWY-7817 // PWY-7343 // PWY-3801 // PWY-7238 // PWY-6527		Chemical Reactions
RXN-9307	EC-1.2.1.M7	PWY-5875		Chemical Reactions
RXN-20484	EC-1.1.1.24	PWY-6419		Chemical Reactions
RXN-17098	EC-4.1.2.58	PWY-7722		Chemical Reactions
DOPACHROME-DELTA-ISOMERASE-RXN	EC-5.3.3.12	PWY-6498		Chemical Reactions
RXN-9545	EC-4.2.1.119	PWY-5972	3-hydroxystearoyl-dehydratase	Chemical Reactions
RXN-20962	EC-1.14.14.M47	PWY-6032		Chemical Reactions
RXN-18074	EC-2.3.1.M33	PWY-7821		Chemical Reactions
RXN1G-374	EC-2.3.1.294	PWYG-321	cis,cis-delta19,37-3-oxo-C56:2-[acyl-carrier protein] synthase	Chemical Reactions
QUERCETIN-3-O-METHYLTRANSFERASE-RXN	EC-2.1.1.76	PWY-6064 // PWY-7161		Chemical Reactions
RXN-23979	EC-2.4.1.344	PWY-8459		Chemical Reactions
2.8.3.9-RXN	EC-2.8.3.9	P163-PWY // PWY-6588		Chemical Reactions
RXN-6549	EC-1.14.14	PWY-5047		Chemical Reactions
THREODEHYD-RXN	EC-1.1.1.103	PWY-7378 // THRDLCTCAT-PWY // RXN-14249 // THREONINE-DEG2-PWY		Chemical Reactions
RXN-8301	EC-1.14.19.35	PWY-782		Chemical Reactions
RXN-9807	EC-1.14.14.80	PWY-321		Chemical Reactions
RXN-10939	EC-3.1.3.57			Chemical Reactions
RXN-18890	EC-4.2.3.185			Chemical Reactions
RXN-17702		PWY-6660 // PWY-6661 // RXN-17710		Chemical Reactions
RXN-9603	EC-2.4.1.245	PWY-5983		Chemical Reactions
RXN-21092	EC-2.4.1.1	GLYCOCAT-PWY		Chemical Reactions
RXN-20553	EC-3.1.4.54	PWY-8053		Chemical Reactions
1.3.99.15-RXN	EC-1.3.7.8	CENTBENZCOA-PWY // P321-PWY		Chemical Reactions
RXN8J2-139	EC-3.9.1.2			Chemical Reactions
RXN-8661	EC-1.14.11		[histone-H3]-lysine-36 demethylase	Chemical Reactions
RXN-23725		PWY-8435		Chemical Reactions
RXN-11680	EC-1.14.19.47	PWY-5353 // PWY-6603		Chemical Reactions
RXN-12476	EC-1.3.1.90			Chemical Reactions
1.1.1.248-RXN	EC-1.1.1.248	PWY-5270		Chemical Reactions
1.5.1.35-RXN	EC-1.2.1		1-pyrroline dehydrogenase	Chemical Reactions
RXN-14680	EC-1.14.14.M65	PWY-7300		Chemical Reactions
RXN-17040	EC-1.14.14	PWY-7730		Chemical Reactions
TYROSINE-DECARBOXYLASE-RXN	EC-4.1.1.28 // EC-4.1.1.25	PWY-7826 // PWY-3581 // PWY-6133 // PWY-5254 // PWY-7297 // PWY-6802 // PWY-5474		Chemical Reactions
RXN-4731	EC-2.4.1	PWY-2881		Chemical Reactions
RXN0-7046	EC-3.1.2			Chemical Reactions
RXN-13941	EC-2.4.1	PWY-7166	kaempferide 3-<i>O</i>-glucosyltransferase	Chemical Reactions
RXN-22958	EC-1.4.1.28			Chemical Reactions
RXN-9229	EC-2.1.1.64	PWY-5855 // PWY-5873	3-demethylubiquinone-7 3-O-methyltransferase	Chemical Reactions
RXN-21135	EC-1.1.1.422			Chemical Reactions
RXN-20671	EC-2.7.4.33			Chemical Reactions
RXN-18385	EC-1.14.20.4			Small-Molecule Reactions
RXN-7590	EC-1.14.20	PWY-5036		Chemical Reactions
RXN-12463	EC-2.1.1.226			Chemical Reactions
RXN185E-53	EC-2.4.1	PWY185E-9		Chemical Reactions
RXN-9892	EC-5.5.1.7	PWY-6087 // PWY-6107		Chemical Reactions
CYSTINE-REDUCTASE-NADH-RXN	EC-1.8.1.6			Chemical Reactions
RXN-16063	EC-3.1.2.2			Chemical Reactions
RXN-9876		PWY-6099		Chemical Reactions
RXN-21280	EC-1.14.11.74			Chemical Reactions
RXN-23591	EC-1.1.1.218			Chemical Reactions
RXN-24446		PWY-8506		Chemical Reactions
RXN-9653	EC-2.3.1.41	PWY66-430		Chemical Reactions
TARTRATE-EPIMERASE-RXN	EC-5.1.2.5			Chemical Reactions
RXN-25181	EC-2.6.1.127	PWY-8575		Chemical Reactions
RXN-16234		PWY-6401		Chemical Reactions
RXN-20791	EC-2.4.99.13	PWY-8074		Chemical Reactions
RXN-13697	EC-2.6.1.1	PWY-7117 // PWY-7115		Chemical Reactions
RXN-8271	EC-2.4.1	PWY-5321 // PWY-7129		Chemical Reactions
BETA-DIKETONE-HYDROLASE-RXN	EC-3.7.1.7			Chemical Reactions
RXN-13763	EC-4.2.3.137			Chemical Reactions
4.1.2.23-RXN	EC-4.1.2.23			Chemical Reactions
RXN-20619	EC-2.1.1.359			Small-Molecule Reactions
3.6.1.52-RXN	EC-3.6.1.52			Chemical Reactions
RXN-16579	EC-1.14.13	PWY-7659		Chemical Reactions
RXN-24743		PWY-8539		Chemical Reactions
RXN-7461	EC-2.5.1.52	PWY-4985		Chemical Reactions
RXN-20344	EC-2.3.1.199	PWY-8041		Chemical Reactions
2.1.1.130-RXN	EC-2.1.1.130	PWY-7376		Chemical Reactions
RXN-23577		PWY-3721 // RXN-13178		Chemical Reactions
1.17.99.3-RXN	EC-1.17.99.3			Chemical Reactions
RXN-17763	EC-1.1.1.M28	PWY-7788		Chemical Reactions
RXN-14808				Chemical Reactions
RXN-20931	EC-1.1.1.420	PWY-8093		Chemical Reactions
RXN-15430	EC-1.14.99.62	PWY-7482	CotB4	Chemical Reactions
RXN-19395				Small-Molecule Reactions
RXN-20192	EC-5.4.99.67	PWY-8032		Chemical Reactions
RXN-12242	EC-1.3.5.6			Small-Molecule Reactions
ETHANOLAMINE-PHOSPHATE-PHOSPHO-LYASE-RXN	EC-4.2.3.2			Chemical Reactions
RXN-20851	EC-1.14.11	PWY-8080		Chemical Reactions
RXN-15400	EC-2.5.1.M31	PWY-8382		Chemical Reactions
RXN-10935		PWY-6141	archaetidylserine decarboxylase	Chemical Reactions
RXN-12532	EC-3.4.17.25	PWY-6842		Chemical Reactions
ANTHRANILATE-N-METHYLTRANSFERASE-RXN	EC-2.1.1.111	PWY-7463 // PWY-5958		Chemical Reactions
RXN-15555	EC-1.5.99.15	PWY-6148		Chemical Reactions
RXN-15922	EC-1.14.13	PWY-7565	preaspyridone A hydroxylase	Chemical Reactions
RXN-13766	EC-2.4.1	PWY-7129	quercetin-4'-<i>O</i>-glucosyltransferase	Chemical Reactions
LACTOSE-6-PHOSPHATE-ISOMERASE-RXN	EC-5.3.1.26	LACTOSECAT-PWY		Chemical Reactions
GLYCINE-AMINOTRANSFERASE-RXN	EC-2.6.1.4	PWY-181 // PWY-8363 // PWY-8362		Chemical Reactions
RXN-14522	EC-3.1.3.34			Chemical Reactions
RXN-17538	EC-3.1.3	PWY-7771		Chemical Reactions
RXN-13503		PWY-7069 // RXN-13509		Chemical Reactions
3.2.1.121-RXN	EC-3.2.1.121			Chemical Reactions
RXN-16745	EC-2.8.3.23			Chemical Reactions
RXN-10129	EC-1.14.13.7	PWY-6197		Chemical Reactions
1.1.1.181-RXN	EC-1.1.1.181	PWY-6061		Chemical Reactions
RXN-16190	EC-3.4.11.7	PWY-5707		Chemical Reactions
RXN-18039	EC-2.3.1.M32	PWY-7817		Chemical Reactions
RXN-18179	EC-2.8.2.38			Chemical Reactions
RXN-14263	EC-3.1.6.2			Chemical Reactions
RXN-23182	EC-2.3.1	PWY-8371		Chemical Reactions
RXN-13496		PWY-7066		Chemical Reactions
RXN-15322	EC-2.3.1.213	PWY-7449		Chemical Reactions
RXN-13346		PWY-7040		Chemical Reactions
ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.106	PWY-6024		Chemical Reactions
RXN-11258	EC-2.3.1.M34	PWY-6442		Chemical Reactions
RXN-14585		RXN-14626		Chemical Reactions
RXN-18221	EC-4.8.1.8 // EC-4.8.1.6			Chemical Reactions
RXN-25193	EC-1.14.14	PWY-5318		Chemical Reactions
RXN-25304	EC-1.14.14.185	PWY-5660		Chemical Reactions
RXN-12021	EC-1.10.3.16	PWY-5770		Chemical Reactions
RXN-22428				Chemical Reactions
RXN-13406	EC-2.1.1.162			Small-Molecule Reactions
RXN-20320		PWY-8039		Unknown Conversions
RXN-15252	EC-1.7.1	P201-PWY		Chemical Reactions
RXN-1725	EC-1.14.19.43	PWY-762		Chemical Reactions
RXN-15523	EC-2.4.1.237	PWY-7495		Chemical Reactions
RXN-22524		PWY-8297		Chemical Reactions
RXN-9589	EC-2.4.2.41	PWY-5980		Chemical Reactions
RXN-13551	EC-2.1.1	PWY-7079	desmethylsulochrin <i>O</i>-methyltransferase	Chemical Reactions
RXN-15056	EC-4.2.1.154	PWY-7485 // PWY-7483	ElmI	Chemical Reactions
RXN-22337		PWY-4202		Chemical Reactions
RXN-11798				Chemical Reactions
RXN-13446	EC-3.1.2			Chemical Reactions
OROTATE-REDUCTASE-NADH-RXN	EC-1.3.1.14	PWY-7791		Chemical Reactions
RXN-18814	EC-1.1.1.306	PWY-7908		Chemical Reactions
RXN-2043	EC-3.2.1.4	PWY-6788		Chemical Reactions
RXN-23352		PWY-8389		Chemical Reactions
RXN-24398		RXN-24241		Chemical Reactions
RXN-7596	EC-2.1.1.158	PWY-5037 // PWY-5039 // PWY-5038		Chemical Reactions
RXN-12496	EC-5.5.1.19			Chemical Reactions
RXN-18188		PWYQT-4450 // RXNQT-4170		Chemical Reactions
RXN-24015	EC-2.3.1.16	PWY-8463		Chemical Reactions
RXN-19114	EC-1.14.19.55			Small-Molecule Reactions
RXN-18532		PWY-7743 // PWY-7744 // RXN-18531		Chemical Reactions
RXN-16199		PWY-7614		Chemical Reactions
RXN-16799	EC-1.14.12.23			Chemical Reactions
RXN-12450	EC-1.5.1.40			Chemical Reactions
2.4.1.143-RXN	EC-2.4.1.143	PWY-7920 // PWY-7426		Chemical Reactions
RXN-16814		PWY-7682		Chemical Reactions
RXN-8300	EC-1.14.19.23	PWY-782		Chemical Reactions
D-2-HYDROXY-ACID-DEHYDROGENASE-RXN	EC-1.1.99.6			Chemical Reactions
RXN-16764	EC-1.14.13	PWY-7667 // PWY-7668		Chemical Reactions
RXN-14892		PWY-6790		Chemical Reactions
RXN-23394		PWY-8397	13,14-dihydroprostaglandin F2 alpha synthetase	Chemical Reactions
RXN-13868	EC-1.10.3.15	PWY-7153		Chemical Reactions
RXN-8142	EC-1.14.19.54	PWY-5270		Chemical Reactions
RXN-21176		PWY-6682		Small-Molecule Reactions
RXN-11695	EC-4.6.1.15			Chemical Reactions
RXN-23723	EC-3.2.1			Chemical Reactions
RXN-22065	EC-2.7.7.69			Chemical Reactions
RXN-5501	EC-2.1.1	PWY-2083		Chemical Reactions
RXN-16128	EC-1.14.19	PWY-7605	cytochrome P450 dependent roquefortine D oxidoreductase	Chemical Reactions
GLUTAMINE-N-ACYLTRANSFERASE-RXN	EC-2.3.1.68			Chemical Reactions
RXN-21537				Chemical Reactions
RXN-21199		PWY-8118		Small-Molecule Reactions
ISPH2-RXN	EC-1.17.7.4	PWY-7560		Chemical Reactions
RXN-10619	EC-2.4.1.17	PWY-6261		Chemical Reactions
1.5.1.11-RXN	EC-1.5.1.11	PWY-8450 // PWY-7351		Chemical Reactions
LXULRU5P-RXN	EC-5.1.3.22	LYXMET-PWY // PWY0-301 // PWY-6961		Chemical Reactions
RXN-14485	EC-4.2.1.134	PWY-7035 // PWY-6433		Chemical Reactions
RXN-16341	EC-2.1.1.M19	PWY-7629		Chemical Reactions
RXN-13797	EC-2.4.1	PWY-5321 // PWY-7137	quercetin-3-glucoside 1,6-glucosyltransferase	Chemical Reactions
RXN-10947	EC-3.1.3.67	PWY-6368		Chemical Reactions
RXN-20422		PWY-8044		Chemical Reactions
RXN-14642	EC-1.2.99	PWY-7295 // PWY-7294		Chemical Reactions
RXN-23199	EC-6.2.1.70	PWY-8374		Chemical Reactions
RXN-18082	EC-3.2.1.52			Chemical Reactions
RXN-12803	EC-2.4.1	PWY-6971		Chemical Reactions
RXN8J2-190	EC-6.3.1.22			Chemical Reactions
