ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Glycan pathways	Metabolite activation/inactivation/interconversion	Macromolecule modification	Detoxification	Transport	Bioluminescence/fluorescence/chromoprotein biosynthesis	Degradation/utilization/assimilation	Superpathways	Generation of precursor metabolites and energy	Metabolic clusters	nan	Biosynthesis
S_S2_Blss_067_v1v9_default_parsed_report.tsv	335	335	194	233	102	14	4	13	3	0	0	76	184	63	14	332	176
S_NS6_Bv_037_v1v9_default_parsed_report.tsv	404	404	277	287	117	22	5	12	7	0	1	100	213	67	20	400	217
S_S5_Blss_094_default_parsed_report.tsv	332	332	192	232	100	14	4	13	3	0	0	76	183	63	14	329	173
S_NS6_Cb_041_default_parsed_report.tsv	412	412	282	303	109	15	4	14	5	0	0	122	221	79	17	409	193
S_NS6_Pp_057_default_parsed_report.tsv	313	313	207	220	93	7	3	13	4	0	1	71	178	55	12	310	167
S_NS6_Pm_056_v1v9_default_parsed_report.tsv	384	384	269	270	114	19	5	11	7	0	1	91	205	69	17	380	205
S_S2_Rg_085_v1v9_default_parsed_report.tsv	353	353	232	256	97	13	2	14	7	0	0	89	203	56	15	350	186
S_S2_Pd_083_default_parsed_report.tsv	387	387	280	275	112	19	5	11	7	0	1	89	204	74	19	383	206
S_S2_Hf_081_v1v9_default_parsed_report.tsv	228	228	111	162	66	7	2	13	3	0	0	61	135	44	9	225	107
S_S5_Am_089_default_parsed_report.tsv	331	331	218	232	99	13	5	14	3	0	0	56	189	64	16	327	191
S_NS1_Ig_115_v1v9_default_parsed_report.tsv	363	363	231	264	99	7	3	14	5	0	0	103	200	71	15	360	172
S_NS1_Af_002_default_parsed_report.tsv	328	328	211	224	104	13	3	12	5	0	1	62	185	54	15	324	194
S_S5_Blss_094_v1v9_default_parsed_report.tsv	332	332	192	232	100	14	4	13	3	0	0	76	183	63	14	329	173
S_NS6_Bx_038_2_default_parsed_report.tsv	385	385	271	271	114	20	5	11	5	0	1	92	205	67	19	381	208
